identifier	name	homepage	description	pattern	example	email	uri_format	download.owl	download.obo	synonyms	deprecated	aberowl	agroportal	bartoc	biocontext	bioportal	cellosaurus	cheminf	cropoct	ecoportal	edam	hl7	integbio	lov	miriam	n2t	obofoundry	ols	ontobee	pathguide	prefixcc	prefixcommons	re3data	rrid	togoid	uniprot	wikidata	zazuko	part_of	provides	has_canonical
ado	Alzheimer's Disease Ontology	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer'S Disease, foundamentally structured by upper level Basic Formal Ontology(BFO). This Ontology is enriched by the interrelational entities that demonstrate the nextwork of the understanding on Alzheimer's disease and can be readily applied for text mining.	^\d{7}$	0000001	alpha.tom.kodamullil@scai.fraunhofer.de	http://purl.obolibrary.org/obo/ADO_$1				False	ADO				ADO											ado	ado	ADO												
adw	Animal natural history and life history	http://www.animaldiversity.org	Animal Diversity Web (ADW) is an online database of animal natural history, distribution, classification, and conservation biology.	^[A-Z_a-z]+$	Lycalopex_vetulus	adw_geeks@umich.edu	https://animaldiversity.org/accounts/$1				True	ADW	ADW		ADW	ADW									adw	adw	adw														
aeo	Anatomical Entity Ontology	https://github.com/obophenotype/human-developmental-anatomy-ontology/	AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology	^\d{7}$	0001017	J.Bard@ed.ac.uk	http://purl.obolibrary.org/obo/AEO_$1		http://purl.obolibrary.org/obo/aeo.obo	AEO_RETIRED	True	AEO		181	AEO	AEO											aeo	aeo	AEO												
aeon	Academic Event Ontology	https://tibonto.github.io/aeon/	The academic event ontology, currently still in development and thus unstable, is an OBO compliant reference ontology for describing academic events such as conferences, workshops or seminars and their series. It is being developed as part of the [ConfIDent project](https://projects.tib.eu/confident/) to allow RDF representations of the academic events and series stored and curated in the [ConfIDent platform](https://www.confident-conference.org/index.php/main_page).	^\d{7}$	0000001	Philip.Stroemert@tib.eu	http://purl.obolibrary.org/obo/AEON_$1	https://raw.githubusercontent.com/tibonto/aeon/main/aeon.owl			False																														
aero	Adverse Event Reporting Ontology	http://purl.obolibrary.org/obo/aero	The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events	^\d{7}$	0000125	mcourtot@gmail.com	http://purl.obolibrary.org/obo/AERO_$1				True	AERO			AERO	AERO											aero	aero													
affy.probeset	Affymetrix Probeset	http://www.affymetrix.com/	An Affymetrix ProbeSet is a collection of up to 11 short (~22 nucleotide) microarray probes designed to measure a single gene or a family of genes as a unit. Multiple probe sets may be available for each gene under consideration.	^\d{4,}((_[asx])?_at)$	243002_at		https://www.affymetrix.com/LinkServlet?probeset=$1				False				AFFY.PROBESET										affy.probeset	affy.probeset									AffyProbeset						
afo	Allotrope Merged Ontology Suite	https://www.allotrope.org/	Allotrope Merged Ontology Suite			more.info@allotrope.org					False	AFO				AFO												afo	AFO												
afpo	African Population Ontology	https://github.com/h3abionet/afpo	AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people in a standardised and structured format. The AfPO can be employed to classify African study participants comprehensively in prospective research studies. It can also be used to classify past study participants by mapping them using a language or ethnicity identifier or synonyms.		0000440	mcmelek@msn.com	http://purl.obolibrary.org/obo/AfPO_$1				False	AFPO				AFPO											afpo		AfPO												
aftol.category	Assembling the Fungal Tree of Life - Category	https://aftol.umn.edu	Categories in the AFTOL database		229	davem@umn.edu	https://aftol.umn.edu/glossary?category=$1				False																														
aftol.taxonomy	Assembling the Fungal Tree of Life - Taxonomy	https://aftol.umn.edu	The Assembling the Fungal Tree of Life (AFTOL) project is dedicated to significantly enhancing our understanding of the evolution of the Kingdom Fungi, which represents one of the major clades of life. There are roughly 80,000 described species of Fungi, but the actual diversity in the group has been estimated to be about 1.5 million species.	^\d+$	959	davem@umn.edu	http://wasabi.lutzonilab.net/pub/displayTaxonInfo?aftol_id=$1				False				AFTOL.TAXONOMY										aftol.taxonomy	aftol.taxonomy															
agilent.probe	Agilent Probe	https://www.ebi.ac.uk/arrayexpress/files/A-MEXP-2320/A-MEXP-2320.adf.txt	This is the Agilent SurePrint G3 Human GE v2 8x60k Microarray, Agilent design ID 039494, GridName 039494_D_F_20120628. Probe layout is 1 x 1 x 384 rows x 164 cols, which is different from a similar ADF A-GEOD-16699 (1 x 1 x 328 rows x 192 cols). Version 2 of this array  contains long intergenic non-coding RNA (lincRNA) probes designed to the human catalog of lincRNAs from the Broad Institute, along with an update of mRNA content when compared to version 1. Probes were designed using GRCh37 assembly of the human genome. Annotation of probes came from the following database: RefSeq Build 50, Ensembl Release 52, Unigene Build 216, GenBank (April 2009), Broad Institute Human lincRNA catalog (Nov 2011), Broad Institute TUCP transcripts catalog (Nov 2011).  Probe annotation was taken from A-GEOD-16699.	^A_\d+_.+$	A_24_P98555						False																														
agricola	Agricultural Online Access	http://agricola.nal.usda.gov/	AGRICOLA (AGRICultural OnLine Access) serves as the catalog and index to the collections of the National Agricultural Library, as well as a primary public source for world-wide access to agricultural information. The database covers materials in all formats and periods, including printed works from as far back as the 15th century.	^\d+$	50018	judith.blake@jax.org	https://agricola.nal.usda.gov/vwebv/holdingsInfo?bibId=$1			AGR|AGRICOLA_ID	False				AGRICOLA										agricola	agricola										DB-0266					
agrkb	Alliance of Genome Resources Knowledge Base	https://www.alliancegenome.org	"The [Alliance of Genome Resources](https://www.alliancegenome.org/about-us) creates identifiers for several biological entity types including genes, other sequence features, constructs, morpholinos, TALENs, CRISPRs, variants, alleles, genotypes, strains, environments and experiments, phenotype annotations, expression annotations, disease annotations, interactions, and variant annotations.

The Alliance of Genome Resources was founded by the following Model Organism databases and the Gene Ontology Consortium and distributes high-quality, curated knowledge about several model organisms in a single, unified location:

- [ZFIN](https://zfin.org) - Zebrafish Information Network
- [WormBase](https://wormbase.org)
- [MGI](https://www.mgi.org) - Mouse Genome Informatics
- [RGD](https://rgd.mcw.edu) - Rat Genome Database
- [SGD](https://www.yeastgenome.org) - Saccharomyces Genome Database
- [FlyBase](https://flybase.org)
- [Xenbase](https://www.xenbase.org)"	^[1-9][0-9]{14}$	100000000000001	cjmungall@lbl.gov	https://www.alliancegenome.org/accession/$1				False																														
agro	Agronomy Ontology	https://github.com/AgriculturalSemantics/agro	AgrO is an ontlogy for representing agronomic practices, techniques, variables and related entities	^\d{8}$	00020007	m.a.laporte@cgiar.org	http://purl.obolibrary.org/obo/AGRO_$1		https://raw.githubusercontent.com/KrishnaTO/agro/master/agro.obo		False	AGRO	AGRO		AGRO	AGRO											agro	agro	AGRO												
agrovoc	Agronomy Vocabulary	https://data.apps.fao.org/catalog/organization/agrovoc	AGROVOC is a multilingual and controlled vocabulary designed to cover concepts and terminology under FAO's areas of interest. It is the largest Linked Open Data set about agriculture available for public use and its greatest impact is through providing the access and visibility of data across domains and languages.	^[a-z0-9]+$	2842	agrovoc@fao.org	http://aims.fao.org/aos/agrovoc/c_$1				False		AGROVOC	305						AGROVOC																	P8061				
agsc	Ambystoma Genetic Stock Center	https://ambystoma.uky.edu/genetic-stock-center/	The Ambystoma Genetic Stock Center (AGSC) maintains a breeding colony of Mexican axolotls (Ambystoma mexicanum) and distributes axolotl embryos, larvae, and adults to laboratories and classrooms throughout the United States and abroad. [from homepage]		100E	srvoss@uky.edu	https://scicrunch.org/resolver/RRID:AGSC_$1				False																							AGSC							
agsd	Animal Genome Size Database	http://www.genomesize.com	A comprehensive catalogue of animal genome size data where haploid DNA contents (C-values, in picograms) are currently available for 4972 species (3231 vertebrates and 1741 non-vertebrates) based on 6518 records from 669 published sources.		4779		http://www.genomesize.com/result_species.php?id=$1				False																					agsd	r3d100012517								
aio	The Artificial Intelligence Ontology	https://github.com/berkeleybop/artificial-intelligence-ontology	This ontology models classes and relationships describing deep learning networks, their component layers and activation functions, as well as potential biases.		Causal_Graphical_Model	MJoachimiak@lbl.gov	https://w3id.org/aio/$1	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/main/aio.owl	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/main/aio.obo		False	AIO				AIO																									
aism	Ontology for the Anatomy of the Insect SkeletoMuscular system	https://github.com/insect-morphology/aism	The ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) contains terms used to describe the cuticle - as a single anatomical structure - and the skeletal muscle system, to be used in insect biodiversity research.	^\d{7}$	0000027	entiminae@gmail.com	http://purl.obolibrary.org/obo/AISM_$1				False	AISM				AISM											aism	aism	AISM												
alfred	The ALlele FREquency Database	http://alfred.med.yale.edu	ALFRED has been designed to make allele frequency data on anthropologically defined human population samples readily available to the scientific community and to link these polymorphism data to the molecular genetics-human genome databases.		LO362836C		https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=$1				True																					alfred									
allergome	Allergome	http://www.allergome.org/	Allergome is a repository of data related to all IgE-binding compounds. Its purpose is to collect a list of allergenic sources and molecules by using the widest selection criteria and sources.	^\d+$	1948	adriano.mari@allergome.org	http://www.allergome.org/script/dettaglio.php?id_molecule=$1				False				ALLERGOME								nbdc01708		allergome	allergome						allergome				DB-0160					
alzforum.mutation	Alzforum Mutations	https://www.alzforum.org/mutations	Alzforum mutations is a repository of genes and rare variants associated with Alzheimer's disease.		app-d678n-tottori		https://www.alzforum.org/mutations/$1			Alzforum_mut	False																														
alzgene	Alzheimer Gene Database	http://www.alzgene.org	The AlzGene database provides a comprehensive, unbiased and regularly updated field synopsis of genetic association studies performed in Alzheimer’s disease. In addition, hundreds of up-to-date meta-analyses are available for all eligible polymorphisms with sufficient data.		88	bertram@helix.mgh.harvard.edu	http://www.alzgene.org/geneoverview.asp?geneid=$1				False																					alzgene									
amoebadb	AmoebaDB	http://amoebadb.org/amoeba/	AmoebaDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera.	^EDI_\d+$	EDI_244000	oharb@upenn.edu	https://amoebadb.org/amoeba/app/record/gene/$1				False				AMOEBADB								nbdc01207		amoebadb	amoebadb						amoebadb	r3d100012457								
amphx	The Amphioxus Development and Anatomy Ontology	https://github.com/EBISPOT/amphx_ontology	An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).	^\d+$	1000160	hescriva@obs-banyuls.fr	http://purl.obolibrary.org/obo/AMPHX_$1				False	AMPHX				AMPHX											amphx	amphx	AMPHX												
antibodyregistry	Antibody Registry	http://antibodyregistry.org/	The Antibody Registry provides identifiers for antibodies used in publications. It lists commercial antibodies from numerous vendors, each assigned with a unique identifier. Unlisted antibodies can be submitted by providing the catalog number and vendor information.	^\d{6}$	493771		http://antibodyregistry.org/AB_$1				False				ANTIBODYREGISTRY								nbdc01696		antibodyregistry	antibodyregistry								AB							
antweb	AntWeb	http://www.antweb.org/	AntWeb is a website documenting the known species of ants, with records for each species linked to their geographical distribution, life history, and includes pictures.	^casent\d+(\-D\d+)?$	casent0106247		http://www.antweb.org/specimen.do?name=$1				False				ANTWEB								nbdc01710		antweb	antweb						antweb					P5299				
anzctr	Australian New Zealand Clinical Trials Registry	https://anzctr.org.au	" The Australian New Zealand Clinical Trials Registry (ANZCTR) is an online register of clinical trials being undertaken in Australia, New Zealand and elsewhere. The ANZCTR includes trials from the full spectrum of therapeutic areas of pharmaceuticals, surgical procedures, preventive measures, lifestyle, devices, treatment and rehabilitation strategies and complementary therapies.

In 2007 the ANZCTR was one of the first three trial registries to be recognised by the World Health Organization International Clinical Trials Registry Platform (WHO ICTRP) as a Primary Registry. WHO recognises registries as Primary Registries if they fulfil certain criteria with respect to data content, quality and validity, accessibility, unique identification, technical capacity and administration. The ANZCTR contributes data to the WHO ICTRP, which was developed in 2007. Trials from all ICTRP Primary Registries can be searched at: www.who.int/trialsearch. (from website)"	^ACTRN\d+$	ACTRN12623000498695		https://anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=$1			ACTRN	False																														
aop	AOPWiki	https://aopwiki.org/	International repository of Adverse Outcome Pathways.	^\d+$	98		https://aopwiki.org/aops/$1				False				AOP										aop	aop															
aop.events	AOPWiki (Key Event)	https://aopwiki.org/	International repository of Adverse Outcome Pathways.	^\d+$	3		https://aopwiki.org/events/$1				False				AOP.EVENTS										aop.events	aop.events															
aop.relationships	AOPWiki (Key Event Relationship)	https://aopwiki.org/	International repository of Adverse Outcome Pathways.	^\d+$	5		https://aopwiki.org/relationships/$1				False				AOP.RELATIONSHIPS										aop.relationships	aop.relationships															
aop.stressor	AOPWiki (Stressor)	https://aopwiki.org/	International repository of Adverse Outcome Pathways.	^\d+$	9		https://aopwiki.org/stressors/$1				False				AOP.STRESSOR										aop.stressor	aop.stressor															
apaonto	Psychology Ontology	https://bioportal.bioontology.org/ontologies/APAONTO	An ontology developed by the American Psychological Association (APA). Note that URIs in this ontology appear to have been generated with erroneous settings in Protege.		Abdomen	awalker@apa.org	http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#$1				False	APAONTO				APAONTO																									
apd	Antimicrobial Peptide Database	http://aps.unmc.edu/AP/	The antimicrobial peptide database (APD) provides information on anticancer, antiviral, antifungal and antibacterial peptides.	^\d{5}$	01001	gwang@unmc.edu	http://aps.unmc.edu/AP/database/query_output.php?ID=$1				False				APD										apd	apd						apd	r3d100012901								
aphidbase.transcript	AphidBase Transcript	http://www.aphidbase.com/aphidbase	AphidBase is a centralized bioinformatic resource that was developed to facilitate community annotation of the pea aphid genome by the International Aphid Genomics Consortium (IAGC). The AphidBase Information System was designed to organize and distribute genomic data and annotations for a large international community. This collection references the transcript report, which describes genomic location, sequence and exon information.	^ACYPI\d{6}(-RA)?$	ACYPI000159	fabrice.legeai@rennes.inra.fr	http://bipaa.genouest.org/apps/grs-2.3/grs?reportID=aphidbase_transcript_report&objectID=$1				False				APHIDBASE.TRANSCRIPT										aphidbase.transcript	aphidbase.transcript						aphidbase									
apid.interactions	APID Interactomes	http://cicblade.dep.usal.es:8080/APID/	APID (Agile Protein Interactomes DataServer) provides information on the protein interactomes of numerous  organisms, based on the integration of known experimentally validated protein-protein physical interactions (PPIs). Interactome data includes a report on  quality levels and coverage over the proteomes for each organism included. APID integrates PPIs from primary databases of molecular interactions (BIND, BioGRID, DIP, HPRD, IntAct, MINT) and also from experimentally resolved 3D structures (PDB) where more than two distinct proteins have been identified. This collection references protein interactors, through a UniProt identifier.	^([A-N,R-Z][0-9]([A-Z][A-Z, 0-9][A-Z, 0-9][0-9]){1,2})|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])(\.\d+)?$	P01116		http://cicblade.dep.usal.es:8080/APID/Interactions.action?protein=$1				False				APID.INTERACTIONS										apid.interactions	apid.interactions														uniprot	
apo	Ascomycete phenotype ontology	http://www.yeastgenome.org/	A structured controlled vocabulary for the phenotypes of Ascomycete fungi.	^\d{7}$	0000184	stacia@stanford.edu	http://purl.obolibrary.org/obo/APO_$1				False	APO			APO	APO											apo	apo	APO												
apollosv	Apollo Structured Vocabulary	https://github.com/ApolloDev/apollo-sv	An OWL2 ontology of phenomena in infectious disease epidemiology and population biology for use in epidemic simulation.	^\d{8}$	00000443	hoganwr@gmail.com	http://purl.obolibrary.org/obo/APOLLO_SV_$1				False	APOLLO_SV				APOLLO-SV											apollo_sv	apollo_sv	APOLLO_SV												
arachnoserver	ArachnoServer	http://www.arachnoserver.org/	ArachnoServer (www.arachnoserver.org) is a manually curated database providing information on the sequence, structure and biological activity of protein toxins from spider venoms. It include a molecular target ontology designed specifically for venom toxins, as well as current and historic taxonomic information.	^AS\d{6}$	AS000060	glenn.king@imb.uq.edu.au	http://www.arachnoserver.org/toxincard.html?id=$1				False				ARACHNOSERVER						2578		nbdc01221		arachnoserver	arachnoserver						arachnoserver	r3d100012902			DB-0145					
araport	Arabidopsis Information Portal	https://www.araport.org/	Website with general information about Arabidopsis and functionalities such as a genomic viewer	^AT.G[0-9]{5}$	AT5G05330	hello@vivekkrish.com	https://www.arabidopsis.org/servlets/TairObject?type=locus&name=$1				False												nbdc02433		tair.name					768						DB-0221					
archdb	ArchDB	http://sbi.imim.es/archdb	ArchDB is a compilation of structural classifications of loops extracted from known protein structures. The structural classification is based on the geometry and conformation of the loop. The geometry is defined by four internal variables and the type of regular flanking secondary structures, resulting in 10 different loop types. Loops in ArchDB have been classified using an improved version (Espadaler et al.) of the original ArchType program published in 1997 by Oliva et al.		39421	narcis.fernandez@gmail.com	http://sbi.imim.es/cgi-bin/archdb//loops.pl?loop=$1				False												nbdc01795									archdb									
ardb	Antibiotic Resistance Genes Database	http://ardb.cbcb.umd.edu/	The Antibiotic Resistance Genes Database (ARDB) is a manually curated database which characterises genes involved in antibiotic resistance. Each gene and resistance type is annotated with information, including resistance profile, mechanism of action, ontology, COG and CDD annotations, as well as external links to sequence and protein databases. This collection references resistance genes.	^[A-Z_]{3}[0-9]{4,}$	CAE46076		http://ardb.cbcb.umd.edu/cgi/search.cgi?db=L&amp;field=ni&amp;term=$1				False				ARDB										ardb	ardb															
ark	Archival Resource Key	https://arks.org	Archival Resource Keys (ARKs) serve as persistent identifiers, or stable, trusted references for information objects. Among other things, they aim to be web addresses (URLs) that don’t return 404 Page Not Found errors. The ARK Alliance is an open global community supporting the ARK infrastructure on behalf of research and scholarship. End users, especially researchers, rely on ARKs for long term access to the global scientific and cultural record. Since 2001 some 8.2 billion ARKs have been created by over 1000 organizations — libraries, data centers, archives, museums, publishers, government agencies, and vendors. They identify anything digital, physical, or abstract. ARKs are open, mainstream, non-paywalled, decentralized persistent identifiers that can be created by an organization as soon as it is registered with a NAAN (Name Assigning Authority Number). Once registered, an ARK organization can create unlimited numbers of ARKs and publicize them via the n2t.net global resolver or via their own local resolver.	^/*[0-9A-Za-z]+(?:/[\w/.=*+@\$-]*)?(?:\?.*)?$	/53355/cl010066723	jakkbl@gmail.com	http://n2t.net/ark:$1				False				ARK										ark	ark															
aro	Antibiotic Resistance Ontology	https://github.com/arpcard/aro	Antibiotic resistance genes and mutations	^\d{7}$	1000001	mcarthua@mcmaster.ca	http://purl.obolibrary.org/obo/ARO_$1		http://purl.obolibrary.org/obo/aro.obo		False	ARO			ARO	ARO											aro	aro	ARO												
arrayexpress	ArrayExpress	https://www.ebi.ac.uk/arrayexpress/	ArrayExpress is a public repository for microarray data, which is aimed at storing MIAME-compliant data in accordance with Microarray Gene Expression Data (MGED) recommendations.	^[AEP]-\w{4}-\d+$	E-MEXP-1712	brazma@ebi.ac.uk	https://www.ebi.ac.uk/arrayexpress/experiments/$1				False				ARRAYEXPRESS		ArrayExpress						nbdc00009		arrayexpress	arrayexpress						arrayexpress	r3d100010222								
arrayexpress.platform	ArrayExpress Platform	https://www.ebi.ac.uk/arrayexpress/	ArrayExpress is a public repository for microarray data, which is aimed at storing MIAME-compliant data in accordance with Microarray Gene Expression Data (MGED) recommendations.This collection references the specific platforms used in the generation of experimental results.	^[AEP]-\w{4}-\d+$	A-GEOD-50		https://www.ebi.ac.uk/arrayexpress/arrays/$1				False				ARRAYEXPRESS.PLATFORM										arrayexpress.platform	arrayexpress.platform															
arraymap	ArrayMap	https://www.arraymap.org	arrayMap is a collection of pre-processed oncogenomic array data sets and CNA (somatic copy number aberrations) profiles. CNA are a type of mutation commonly found in cancer genomes. arrayMap data is assembled from public repositories and supplemented with additional sources, using custom curation pipelines. This information has been mapped to multiple editions of the reference human genome.	^[\w\-:,]{3,64}$	icdom:8500_3	mbaudis@me.com	https://www.arraymap.org/pgx:$1				False				ARRAYMAP										arraymap	arraymap							r3d100012630								
arxiv	arXiv	https://arxiv.org/	arXiv is an e-print service in the fields of physics, mathematics, non-linear science, computer science, and quantitative biology.	^(\w+(\-\w+)?(\.\w+)?)?\d{4,7}(\.\d+(v\d+)?)?$	0807.4956v1		https://arxiv.org/abs/$1				False			20434	ARXIV										arxiv	arxiv						arxiv					P818				
asap	A Systematic Annotation Package for Community Analysis of Genomes	http://asap.ahabs.wisc.edu/asap/home.php	ASAP (a systematic annotation package for community analysis of genomes) stores bacterial genome sequence and functional characterization data. It includes multiple genome sequences at various stages of analysis, corresponding experimental data and access to collections of related genome resources.	^[A-Za-z0-9-]+$	ABE-0009634	glasner@svm.vetmed.wisc.edu	http://asap.ahabs.wisc.edu/asap/feature_info.php?LocationID=WIS&FeatureID=$1				False				ASAP										asap	asap						asap	r3d100010666								
ascl	Astrophysics Source Code Library	http://ascl.net/	The Astrophysics Source Code Library (ASCL) is a free online registry for software that have been used in research that has appeared in, or been submitted to, peer-reviewed publications. The ASCL is indexed by the SAO/NASA Astrophysics Data System (ADS) and Web of Science's Data Citation Index (WoS DCI), and is citable by using the unique ascl ID assigned to each code. The ascl ID can be used to link to the code entry by prefacing the number with ascl.net (i.e., ascl.net/1201.001).	^[0-9\.]+$	1801.012	aallen@ascl.net	http://ascl.net/$1				False				ASCL										ascl	ascl							r3d100011865								
asin	Amazon Standard Identification Number	https://www.amazon.co.uk/gp/help/customer/display.html/277-3416785-8259466?ie=UTF8&nodeId=898182	Almost every product on our site has its own ASIN, a unique code we use to identify it. For books, the ASIN is the same as the ISBN number, but for all other products a new ASIN is created when the item is uploaded to our catalogue.	^[0-9]{10}$	0471491039		https://amzn.com/$1				False				ASIN										asin	asin															
aspgd.locus	Aspergillus Genome Database	http://www.aspgd.org/	The Aspergillus Genome Database (AspGD) is a repository for information relating to fungi of the genus Aspergillus, which includes organisms of clinical, agricultural and industrial importance. AspGD facilitates comparative genomics by providing a full-featured genomics viewer, as well as matched and standardized sets of genomic information for the sequenced aspergilli. This collection references gene information.	^[A-Za-z_0-9]+$	ASPL0000349247		http://www.aspergillusgenome.org/cgi-bin/locus.pl?dbid=$1				False				ASPGD.LOCUS										aspgd.locus	aspgd.locus															
