#curie_map:
#  CHEMINF: http://semanticscience.org/resource/CHEMINF_
#  GO: http://purl.obolibrary.org/obo/GO_
#  bartoc: http://bartoc.org/en/node/
#  bioportal: http://bioportal.bioontology.org/ontologies/
#  bioregistry: https://bioregistry.io/registry/
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  edam: http://edamontology.org/
#  fairsharing: https://fairsharing.org/
#  integbio: https://catalog.integbio.jp/dbcatalog/en/record/
#  miriam: https://registry.identifiers.org/registry/
#  pathguide: http://www.pathguide.org/fullrecord.php?DBID=
#  prefixcommons: https://bioregistry.io/metaregistry/prefixcommons/
#  re3data: https://www.re3data.org/repository/
#  rrid: 'https://scicrunch.org/resolver/RRID:'
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  togoid: https://togoid.dbcls.jp/ontology#
#  uniprot: http://purl.uniprot.org/uniprot/
#  wikidata: http://www.wikidata.org/entity/
#  xsd: http://www.w3.org/2001/XMLSchema#
#mapping_set_id: https://github.com/biopragmatics/bioregistry/raw/refs/heads/main/exports/analyses/mapping_checking/mapping_embedding_similarities.tsv
#mapping_set_title: Bioregistry Mapping Similarity Analysis
#license: https://creativecommons.org/publicdomain/zero/1.0/
#issue_tracker: https://github.com/biopragmatics/bioregistry/issues
#extension_definitions:
#- slot_name: parts_used
#  type_hint: xsd:string
#- slot_name: reference_text
#  type_hint: xsd:string
#- slot_name: mapping_text
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	similarity_score	parts_used	reference_text	mapping_text
bioregistry:pride	Proteomics Identification Database Ontology	skos:exactMatch	aberowl:PRIDE	PRIDE Controlled Vocabulary	semapv:LexicalMatching	0.625226974	name	Proteomics Identification Database Ontology The PRIDE PRoteomics IDEntifications database is a centralized, standards compliant, public data repository that provides protein and peptide identifications together with supporting evidence. This collection references experiments and assays. https://github.com/PRIDE-Utilities/pride-ontology	PRIDE Controlled Vocabulary
bioregistry:loinc	Logical Observation Identifiers Names and Codes	skos:exactMatch	aberowl:LOINC		semapv:LexicalMatching	0.629684448	description	Logical Observation Identifiers Names and Codes The international standard for identifying health measurements, observations, and documents. https://loinc.org	RDF Version of the UMLS ontology LNC; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
bioregistry:seinet	Southwestern Environmental Information Network	skos:exactMatch	wikidata:P6209	SEINet ID	semapv:LexicalMatching	0.643729329	name,description,homepage	Southwestern Environmental Information Network A vocabulary about species to support the environmental research community in Arizona and New Mexico https://swbiodiversity.org/seinet/index.php	SEINet ID identifier for a species on the SEINet website http://swbiodiversity.org/seinet/index.php
bioregistry:sigmaaldrich	Sigma Aldrich	skos:exactMatch	pathguide:236	Cell Signalling Pathway Slides & Charts	semapv:LexicalMatching	0.645467401	name,homepage	Sigma Aldrich Sigma Aldrich is a life sciences supply vendor. https://www.sigmaaldrich.com	Cell Signalling Pathway Slides & Charts http://www.sigmaaldrich.com/Area_of_Interest/Life_Science/Cell_Signaling/Scientific_Resources/Pathway_Slides___Charts.html
bioregistry:edam	EDAM Ontology	skos:exactMatch	ontobee:EDAM	EMBRACE Data and Methods	semapv:LexicalMatching	0.647422075	name	EDAM Ontology EDAM is an ontology of general bioinformatics concepts, including topics, data types, formats, identifiers and operations. EDAM provides a controlled vocabulary for the description, in semantic terms, of things such as: web services (e.g. WSDL files), applications, tool collections and packages, work-benches and workflow software, databases and ontologies, XSD data schema and data objects, data syntax and file formats, web portals and pages, resource catalogues and documents (such as scientific publications). http://edamontology.org	EMBRACE Data and Methods
bioregistry:ncbigi	GenInfo Identifier	skos:exactMatch	go:NCBI_gi	NCBI databases	semapv:LexicalMatching	0.652284086	name,homepage	GenInfo Identifier A GI number (for GenInfo Identifier, sometimes written in lower case, _gi_) is a simple series of digits that are assigned consecutively to each sequence record processed by NCBI. The GI number bears no resemblance to the Version number of the sequence record. Each time a sequence record is changed, it is assigned a new GI number. https://www.ncbi.nlm.nih.gov/genbank/sequenceids	NCBI databases http://www.ncbi.nlm.nih.gov/
bioregistry:brc.feature	Bacterial and Viral Bioinformatics Resource Center feature	skos:exactMatch	uniprot:DB-0165	Pathosystems Resource Integration Center (PATRIC)	semapv:LexicalMatching	0.656071544	name,homepage	Bacterial and Viral Bioinformatics Resource Center feature The Bacterial and Viral Bioinformatics Resource Center (BV-BRC) annotates features onto specific genomic sequences, such as gene/protein families and their functional impacts https://patricbrc.org/	Pathosystems Resource Integration Center (PATRIC) https://patricbrc.org/
bioregistry:building	Building Ontology	skos:exactMatch	aberowl:building	Building and Sub Elements	semapv:LexicalMatching	0.657107234	name	Building Ontology The Building ontology has been developed to perform as the core module of the BIMERR Ontology Network, containing information related to building topology, and components. The model is constructed as an extention of the BOT ontology that provides the vocabulary to describe the topology of a building as well as the relationships between their main components such as zones, spaces, and building elements. The taxonomy of building components is based on the proposed by the IFC 4.1 standard. https://bimerr.iot.linkeddata.es/def/building/	Building and Sub Elements
bioregistry:icd9cm	International Classification of Diseases, 9th Revision, Clinical Modification	skos:exactMatch	aberowl:ICD9CM		semapv:LexicalMatching	0.657385111	description	International Classification of Diseases, 9th Revision, Clinical Modification ICD-9-CM is the official system of assigning codes to diagnoses and procedures associated with hospital utilization in the United States. https://www.cdc.gov/nchs/icd/icd9cm.htm	RDF Version of the UMLS ontology ICD9CM; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
bioregistry:upa	Unipathway	skos:exactMatch	ontobee:UPA	Unipathway	semapv:LexicalMatching	0.65867126	name	Unipathway A manually curated resource for the representation and annotation of metabolic pathways https://github.com/geneontology/unipathway	Unipathway
bioregistry:siren	Scientific Information Retrieval and Exchange Network	skos:exactMatch	agroportal:SIREN	SIREN Food Terms	semapv:LexicalMatching	0.661269307	name,description	Scientific Information Retrieval and Exchange Network A modern method of records management and an automated cross-referenced subject index for accurate and comprehensive information retrieval developed by the US FDA's Bureau of Foods https://www.langual.org/langual_indexed_datasets.asp	SIREN Food Terms This ontology contains a OWL representation of SIREN food terms using Langual thesaurus. SIREN is the Scientific Information and Retrieval Exchange Network of the US Food and Drug administration.
bioregistry:geo	Gene Expression Omnibus	skos:exactMatch	edam:1147	GEO accession number	semapv:LexicalMatching	0.668302417	name,description	Gene Expression Omnibus The Gene Expression Omnibus (GEO) is a gene expression repository providing a curated, online resource for gene expression data browsing, query and retrieval. https://www.ncbi.nlm.nih.gov/geo/	GEO accession number Accession number of an entry from the GEO database.
bioregistry:mixs	Minimum Information about any (x) Sequence	skos:exactMatch	aberowl:MIXS	mixs	semapv:LexicalMatching	0.669230819	name	Minimum Information about any (x) Sequence The GSC family of minimum information standards (checklists) – Minimum Information about any (x) Sequence (MIxS). MIxS identifiers are for terms describing an aspect of an environmental sample. https://w3id.org/mixs	mixs
bioregistry:miriam	Identifiers.org namespace	skos:exactMatch	edam:1162	MIRIAM	semapv:LexicalMatching	0.670530677	name,description	Identifiers.org namespace Identifiers.org is an established resolving system that enables the referencing of data for the scientific community, with a current focus on the Life Sciences domain. https://www.ebi.ac.uk	MIRIAM Unique identifier of a MIRIAM data resource.
bioregistry:ddi	Data Documentation Initiative Vocabulary	skos:exactMatch	aberowl:DDI		semapv:LexicalMatching	0.671855152	description	Data Documentation Initiative Vocabulary A set of controlled vocabularies in the Data Documentation Initiative, each of which has its own code. https://rdf-vocabulary.ddialliance.org	An information artifact is, loosely, a dependent continuant or its bearer that is created as the result of one or more intentional processes. Examples: uniprot, the english language, the contents of this document or a printout of it, the temperature measurements from a weather balloon. For more information, see the project home page at http://code.google.com/p/information-artifact-ontology/
bioregistry:qudt	Quantities, Units, Dimensions, and Types Ontology	skos:exactMatch	aberowl:QUDT	QUDT Schema - Version 3.2.1	semapv:LexicalMatching	0.672880948	name	Quantities, Units, Dimensions, and Types Ontology Ontologies that aim to provide semantic specifications for units of measure, quantity kind, dimensions and data types. https://qudt.org	QUDT Schema - Version 3.2.1
bioregistry:cran	The Comprehensive R Archive Network	skos:exactMatch	wikidata:P5565	CRAN project	semapv:LexicalMatching	0.674534559	name,description	The Comprehensive R Archive Network Repository of packages for the R programming language https://cran.r-project.org	CRAN project name of a project in CRAN
bioregistry:bind	BIND accession number	skos:exactMatch	prefixcommons:bind	Biomolecular Interaction Network Databank	semapv:LexicalMatching	0.675254881	name,description,homepage	BIND accession number Accession number of an entry from the BIND database. http://bind.ca	Biomolecular Interaction Network Databank BIND is a database designed to store full descriptions of interactions, molecular complexes and pathways. http://bond.unleashedinformatics.com/
bioregistry:pathoplant	PathoPlant®	skos:exactMatch	pathguide:333	PathoPlant	semapv:LexicalMatching	0.675991714	name,homepage	PathoPlant® PathoPlant® is a database on plant-pathogen interactions and components of signal transduction pathways related to plant pathogenesis. PathoPlant® also harbors gene expression data from Arabidopsis thaliana microarray experiments to enable searching for specific genes regulated upon pathogen infection or elicitor treatment. http://www.pathoplant.de	PathoPlant http://www.pathoplant.de/
bioregistry:hcpcs	Healthcare Common Procedure Coding System	skos:exactMatch	aberowl:HCPCS		semapv:LexicalMatching	0.676125228	description	Healthcare Common Procedure Coding System HCPCS is a collection of standardized codes that represent medical procedures, supplies, products and services. The codes are used to facilitate the processing of health insurance claims by Medicare and other insurers. https://www.cms.gov/Medicare/Coding/MedHCPCSGenInfo	RDF Version of the UMLS ontology HCPCS; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
bioregistry:cpt	Current Procedural Terminology	skos:exactMatch	aberowl:CPT	Current Procedural Terminology	semapv:LexicalMatching	0.688839614	name,description,homepage	Current Procedural Terminology Current Procedural Terminology, more commonly known as CPT®, refers to a medical code set created and maintained by the American Medical Association — and used by physicians, allied health professionals, nonphysician practitioners, hospitals, outpatient facilities, and laboratories to represent the services and procedures they perform. No provider of outpatient services gets paid without reporting the proper CPT® codes. [Description taken from this site](https://www.aapc.com/codes/cpt-codes-range/)] https://www.aapc.com	Current Procedural Terminology Current Procedural Terminology http://www.ama-assn.org/ama/pub/category/3113.html
bioregistry:sio	Semanticscience Integrated Ontology	skos:exactMatch	togoid:Sio	SIO	semapv:LexicalMatching	0.690134764	name	Semanticscience Integrated Ontology The semanticscience integrated ontology (SIO) provides a simple, integrated upper level ontology (types, relations) for consistent knowledge representation across physical, processual and informational entities. https://github.com/micheldumontier/semanticscience	SIO
bioregistry:ddi	Data Documentation Initiative Vocabulary	skos:exactMatch	fairsharing:FAIRsharing.pf2qyq	Ontology for Drug Discovery Investigations	semapv:LexicalMatching	0.690472126	name,description,homepage	Data Documentation Initiative Vocabulary A set of controlled vocabularies in the Data Documentation Initiative, each of which has its own code. https://rdf-vocabulary.ddialliance.org	Ontology for Drug Discovery Investigations The goal of DDI project is to develop an ontology for the description of drug discovery investigations. The Pharmaceutical industry is an information based industry. The aim of DDI is to add value to the information generated in the drug pipeline by making the information easier to reuse, integrate, curate, retrieve, and reason with. DDI aims to follow to the Open Biomedical Ontologies Foundry (OBO) principles, to use relations laid down in the OBO Relation Ontology, and to be compliant with the Ontology for biomedical investigations (OBI). https://code.google.com/p/ddi-ontology/
bioregistry:csp	Computer Retrieval of Information on Science Projects Thesaurus	skos:exactMatch	aberowl:CRISP	CSP	semapv:LexicalMatching	0.691273212	name,description	Computer Retrieval of Information on Science Projects Thesaurus CRISP is a terminology used for indexing biomedical information. CRISP contains over 8,000 preferred terms that are grouped hierarchically into 11 domains. Note that while still available and included in Unified Medical Language System (UMLS), it has not been updated since 2006. https://web.archive.org/web/20091223034048/http://crisp.cit.nih.gov/Thesaurus/index.htm	CSP RDF Version of the UMLS ontology CSP; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
bioregistry:qudt	Quantities, Units, Dimensions, and Types Ontology	skos:exactMatch	tib:qudt	QUDT Schema - Version 3.2.1	semapv:LexicalMatching	0.693506479	name,homepage	Quantities, Units, Dimensions, and Types Ontology Ontologies that aim to provide semantic specifications for units of measure, quantity kind, dimensions and data types. https://qudt.org	QUDT Schema - Version 3.2.1 https://www.qudt.org
bioregistry:jaxmice	Jackson Laboratories Mouse Strain	skos:exactMatch	rrid:IMSR_JAX	JAX Mice and Services	semapv:LexicalMatching	0.693648696	name,homepage	Jackson Laboratories Mouse Strain A catalogue of mouse strains supplied by The Jackson Laboratory. Each identifier corresponds to a mouse strain. https://mice.jax.org	JAX Mice and Services https://www.jax.org/jax-mice-and-services
bioregistry:vso	Vital Sign Ontology	skos:exactMatch	aberowl:VSO		semapv:LexicalMatching	0.696007013	description	Vital Sign Ontology The Vital Sign Ontology (VSO) is an extension of the Ontology for General Medical Science (OGMS). VSO covers the four consensus human vital signs: blood pressure, body temperature, respiration rate, pulse rate. VSO provides also a controlled structured vocabulary for describing vital signs measurement data, the various processes of measuring vital signs, and the various devices and anatomical entities participating in such measurements. https://bioportal.bioontology.org/ontologies/VSO	This ontology is in early development. Expect it to change.
bioregistry:dictybase	dictyBase	skos:exactMatch	go:dictyBase	dictyBase	semapv:LexicalMatching	0.696059287	name,homepage	dictyBase A resource for Dictyostelid discoideum (a soil-dwelling amoeba) genomics http://dictybase.org	dictyBase http://dictybase.org
bioregistry:kim.hochschulfaechersystematik	German University Subject Classification System	skos:exactMatch	tib:hfs	Hochschulfächersystematik	semapv:LexicalMatching	0.696497023	name,description,homepage	German University Subject Classification System A classification of subjects in Hochschule (universities of applied sciences) https://w3id.org/kim/hochschulfaechersystematik/scheme	Hochschulfächersystematik Diese Hochschulfächersystematik basiert auf der Destatis-Systematik der Fächergruppen, Studienbereiche und Studienfächer (http://bartoc.org/node/18919) und wird gepflegt von der OER-Metadatengruppe der DINI-AG KIM. Die Systematik ist Bestandteil der Spezifikationen LOM for Higher Education OER Repositories und LRMI-Profil (Entwurf). https://bartoc.org/en/node/18919
bioregistry:dsmz	Deutsche Sammlung von Mikroorganismen und Zellkulturen	skos:exactMatch	cellosaurus:DSMZCellDive	DSMZ Tools for Diving into Cell Line Data	semapv:LexicalMatching	0.697617948	name,description,homepage	Deutsche Sammlung von Mikroorganismen und Zellkulturen The Leibniz Institute DSMZ is the most diverse biological resource center in the world and one of the largest collections of microorganisms and cell cultures worldwide (bacteria, archaea, protists, yeasts, fungi, bacteriophages, plant viruses, genomic bacterial DNA as well as human and animal cell lines). The following designations are used as part of local unique identifiers: - `PC`: positive control - `NC`: negative control - `AS`: antiserum - `PV`: plant viruses - `RT`: recommended test - `ACC`: human or animal cell line - `DSM`: microorganism cell line https://www.dsmz.de	DSMZ Tools for Diving into Cell Line Data Cell line databases/resources https://celldive.dsmz.de/
bioregistry:foaf	Friend of a Friend	skos:exactMatch	bioportal:FOAF	Friend of a Friend Vocabulary	semapv:LexicalMatching	0.701696992	name,description	Friend of a Friend FOAF is a project devoted to linking people and information using the Web. Regardless of whether information is in people's heads, in physical or digital documents, or in the form of factual data, it can be linked. FOAF integrates three kinds of network: social networks of human collaboration, friendship and association; representational networks that describe a simplified view of a cartoon universe in factual terms, and information networks that use Web-based linking to share independently published descriptions of this inter-connected world. http://xmlns.com/foaf/spec	Friend of a Friend Vocabulary Friend of a Friend Vocabulary
bioregistry:astd	ASTD	skos:exactMatch	prefixcommons:astd	Alternative Splicing and Transcript Diversity	semapv:LexicalMatching	0.702104688	name,description,homepage	ASTD Identifier of an object from the ASTD database. http://www.ebi.ac.uk/astd/	Alternative Splicing and Transcript Diversity The Alternative Splicing and Transcript Diversity (ASTD) database project is creating a database of alternative splice events and transcripts of genes from human, mouse and rat. Full length transcripts are generated with the aim of understanding the mechanism of alternative splicing on a genome-wide scale. http://www.ebi.ac.uk/astd/
bioregistry:fbcv	FlyBase Controlled Vocabulary	skos:exactMatch	ontobee:FBcv	Drosophila Phenotype Ontology	semapv:LexicalMatching	0.702527821	name	FlyBase Controlled Vocabulary A structured controlled vocabulary used for various aspects of annotation by FlyBase. http://purl.obolibrary.org/obo/fbcv	Drosophila Phenotype Ontology
bioregistry:mesh	Medical Subject Headings	skos:exactMatch	aberowl:MESH	MeSH	semapv:LexicalMatching	0.702935815	name,description	Medical Subject Headings MeSH (Medical Subject Headings) is the National Library of Medicine's controlled vocabulary thesaurus. It consists of sets of terms naming descriptors in a hierarchical structure that permits searching at various levels of specificity. This thesaurus is used by NLM for indexing articles from biomedical journals, cataloguing of books, documents, etc. https://www.nlm.nih.gov/	MeSH RDF Version of the UMLS ontology MSH; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
bioregistry:tritrypdb	TriTrypDB	skos:exactMatch	go:TriTrypDB	TriTrypDB	semapv:LexicalMatching	0.703552246	name,homepage	TriTrypDB TriTrypDB is one of the databases that can be accessed through the EuPathDB (http://EuPathDB.org; formerly ApiDB) portal, covering eukaryotic pathogens of the genera Cryptosporidium, Giardia, Leishmania, Neospora, Plasmodium, Toxoplasma, Trichomonas and Trypanosoma. While each of these groups is supported by a taxon-specific database built upon the same infrastructure, the EuPathDB portal offers an entry point to all these resources, and the opportunity to leverage orthology for searches across genera. http://tritrypdb.org/tritrypdb/	TriTrypDB https://tritrypdb.org/
bioregistry:kim.educationlevel	KIM Education Level	skos:exactMatch	tib:educationallevel	Educational level	semapv:LexicalMatching	0.703762352	name,description,homepage	KIM Education Level A controlled vocabulary for education levels, such as primary eduation, secondary education, and post-secondary education https://w3id.org/kim/educationalLevel	Educational level Eine Wertelliste für die Stufe im Bildungssystem als Lehr-/Lernkontext, für den Lernobjekt ausgewiesen ist. https://github.com/dini-ag-kim/educationalLevel
bioregistry:dictybase	dictyBase	skos:exactMatch	re3data:r3d100010586	dictybase	semapv:LexicalMatching	0.706213474	name,description,homepage	dictyBase A resource for Dictyostelid discoideum (a soil-dwelling amoeba) genomics http://dictybase.org	dictybase <<<!!! Dictybase seems to no longer be actively maintained as of 2026-03-11. If you have further information about the current operations of dictybase, please contact us (https://www.re3data.org/contact). !!!>>> http://dictybase.org/
bioregistry:myco.tuber	MycoBrowser tuberculosis	skos:exactMatch	ncbi:TubercuList	TubercuList knowledge base	semapv:LexicalMatching	0.707709432	name,homepage	MycoBrowser tuberculosis Mycobrowser is a resource that provides both in silico generated and manually reviewed information within databases dedicated to the complete genomes of Mycobacterium tuberculosis, Mycobacterium leprae, Mycobacterium marinum and Mycobacterium smegmatis. This collection references Mycobacteria tuberculosis information. http://tuberculist.epfl.ch/	TubercuList knowledge base http://tuberculist.epfl.ch/
bioregistry:knapsack	KNApSAcK	skos:exactMatch	wikidata:P2064	KNApSAcK ID	semapv:LexicalMatching	0.70858705	name,description	KNApSAcK KNApSAcK provides information on metabolites and the taxonomic class with which they are associated. http://www.knapsackfamily.com/KNApSAcK/	KNApSAcK ID identifier in the KNApSAcK Core System
bioregistry:string	Search Tool for Retrieval of Interacting Genes/Proteins	skos:exactMatch	uniprot:DB-0141	STRING	semapv:LexicalMatching	0.708861232	name,homepage	Search Tool for Retrieval of Interacting Genes/Proteins STRING (Search Tool for Retrieval of Interacting Genes/Proteins) is a database of known and predicted protein interactions. The interactions include direct (physical) and indirect (functional) associations; they are derived from four sources:Genomic Context, High-throughput Experiments,(Conserved) Coexpression, Previous Knowledge. STRING quantitatively integrates interaction data from these sources for a large number of organisms, and transfers information between these organisms where applicable. http://string-db.org/	STRING https://string-db.org/
