prefix	status	preferred_prefix	name	homepage	description
1.0.639.3	Complete	iso639-3	ISO 639-3 Language Codes Alpha 3	http://www.sil.org/ISO639-3/	ISO 639-3 is a code that aims to define three-letter identifiers for all known human languages. At the core of ISO 639-3 are the individual languages already accounted for in ISO 639-2. The large number of living languages in the initial inventory of ISO 639-3 beyond those already included in ISO 639-2 was derived primarily from Ethnologue (15th edition). Additional extinct, ancient, historic, and constructed languages have been obtained from Linguist List.SIL International has been designated as the ISO 639-3/RA for the purpose of processing requests for alpha-3 language codes comprising the International Standard, Codes for the representation of names of languages - Part 3: Alpha-3 code for comprehensive coverage of languages. The ISO 639-3/RA receives and reviews applications for requesting new language codes and for the change of existing ones according to criteria indicated in the standard. It maintains an accurate list of information associated with registered language codes which can be viewed on or downloaded from this website, and processes updates of registered language codes. Notification of pending and adopted updates are also distributed on a regular basis to subscribers and other parties.
1.2.36.1.2001.1004.100	Complete	amt-v2	Australian Medicines Terminology (AMT) v2	http://www.nehta.gov.au/	The Australian Medicines Terminology (AMT) is the national terminology to identify medicines used in Australia, using unique codes to deliver unambiguous, accurate and standardised names for both branded (trade) and generic (medicinal) products.This OID is used when exchanging AMT v2 Concept Identifiers in CDA documents.Note: AMT v2 uses the SNOMED CT infrastructure, but is not fully aligned with the underlying SNOMED CT infrastructure, so it has it's own OID. AMT v3 is fully aligned, and the standard SNOMED CT OID is used instead.
1.2.36.104808988.1	Complete	best-practice-drug	BPDrug	http://www.bpsoftware.com.au	This is the coded table of drug names/strengths/forms/pack sizes/PBS information used within the prescribing module of Best Practice.
1.2.36.104808988.2	Complete	best-practice-term	BPTerm	http://www.bpsoftware.com.au	This is the coded table of clinical terms used for the Diagnosis/Procedure/Reason for Visit/Reason for Prescription lists within the Best Practice clinical modules.
1.2.36.104808988.3	Complete	best-practice-immunisation	BPImmunisation	http://www.bpsoftware.com.au	This is the coded table of vaccines used within the Immunisation module of Best Practice.
1.2.36.104808988.4	Complete	best-practice-substance	BPSubstance	http://www.bpsoftware.com.au	This is the coded table of generic ingredients used for allergy and drug interaction checking within Best Practice.
1.2.36.104808988.5	Complete	best-practice-reaction	BPReaction	http://www.bpsoftware.com.au	This is the coded table of Allergy/Adverse drug reactions used for recording allergies and adverse drug reactions within Best Practice.
1.3.6.1.4.1.19376.1.3.5	Complete	ihelaw	IHE Laboratory Analytical Workflow (LAW) Analyzer result types	http://wiki.ihe.net/index.php?title=Laboratory_Analytical_Workflow_Profile	The new IHELAW coding scheme will be set up for the purpose of classifying supplemental results sent by an Analyzer to an Analyzer Manager.
1.3.6.1.4.1.19376.1.8.2.1	Complete	pathLex	PathLex Anatomic Pathology Lexicon		The PathLex project is launched by IHE and HL7 Anatomic Pathology, with the collaboration of other Anatomic Pathology organizations, including the College of American Pathologists, the French Society of Pathologists and the SEAP (Spanish Society of Pathology). The purpose and scope of the PathLex project is very similar to those of the RadLex project in the radiology domain. The Pathlex project has been designed to satisfy the needs of Anatomic Pathology information system vendors and users by adopting the best features of existing terminology systems, while producing new terms to fill critical gaps. Rather than re-inventing the wheel, PathLex unifies and supplements other terminology systems, such as SNOMED-CT, CIM-O or various vocablary tables defined by DICOM and HL7.
2.16.1	Retired	ISO3166-1	ISO3166-1		Former OID for ISO 3166-1 Country codes; now is retired because it was entered in error.  This should not be used.  Note that ISO 3166-1 has numeric. 2-character, and 3-characters codes (synonyms), but HL7 has agreed that only the 2-character form is to be used (In v3 this will be done using value set machinery).
2.16.2	Deprecated	ISO3166-2	ISO 3166 3 Character country codes		ISO 3166-2 Country subdivision codes; now is deprecated because it was entered in error.
2.16.3	Deprecated	ISO3166-3	ISO 3166 Numeric Character country codes		ISO 3166-3 Obsolete country codes; now is deprecated because it was entered in error.   Note that this may be used when a country that no longer has a code in 3166-1 must be transmitted (historical records).
2.16.840.1.113883.13.26	Complete	pARClass	PAR Class	http://www.medispan.com	Medi-Span Prior Adverse Reaction (PAR) Class that identifies allergen classes used in drug-allergy screening.
2.16.840.1.113883.13.51	Complete	vichOff-LabelUseCodes	VICH Off-Label Use Codes	http://www.vichsec.org/en/moreinfos.htm	The code system will be used to explain off label use of an animal drug product in the ICSR.
2.16.840.1.113883.13.80	Complete	mDNID	Medi-Span Drug Name Identifier	http://www.medispan.com	Medi-Span Drug Name Identifier (DNID) that represents the drug name. The description that is represented by the DNID is the same as the name portion of the Medi-Span Drug Descriptor ID (DDID). Can be used in CPOE, e-prescribing, or other applications where a drug name is needed, but other attributes such as the dosage form, route of administration, or strength are not required.
2.16.840.1.113883.13.81	Complete	mRDID	Medi-Span Routed Drug Identifier	http://www.medispan.com	Medi-Span Routed Drug Identifier (RDID) represents the routed drug. The description that is represented by the RDID includes the drug name and the route of administration. It is the same as the name and route portion of the Medi-Span Drug Descriptor ID (DDID). Can be used in CPOE, e-prescribing, or other applications where a routed drug is needed, but other attributes such as the dosage form or strength are not required.
2.16.840.1.113883.2.13	Complete	standardBillingUnit	Standard Billing Unit		NCPDP standard product billing codes of NCPDP field Unit of Measure (600-28). This billing code is assigned per product, placed in the Structured Product Label, and used in the pharmacy billing processing for consistent billing unit.
2.16.840.1.113883.2.20.5.1	Complete	pclocd	pan-Canadian LOINC &#174; Observation Code Database	http://www.infoway-inforoute.ca	"The pan Canadian LOINC Observation Code Database (pCLOCD) is the Canadian version of the LOINC&#174; database. It was created using the LOINC&#174; records and attributes that were constrained for Canadian use and supplemented to specifically meet Canadian requirements. It contains the core LOINC&#174; attributes as required by Regenstrief copyright rules. The LOINC&#174; Component has been customized to meet Canadian requirements and is displayed as the pan Canadian Component Name. This component name is the basis for the pan Canadian Display Name. Core attributes are include both English and Canadian French.This code system contains supplemental """"X"""" codes defined in the pCLOCD that do not yet exist in the LOINC code system."
2.16.840.1.113883.2.20.5.2	Complete	sctemp	pan-Canadian Temporary Codes	http://www.infoway-inforoute.ca	These pan-Canadian codes are maintained in circumstances where the desired code is not yet available in another code system (HL7 code systems, LOINC, SNOMED, etc.)  In general, the codes will be deprecated once an equivalent code is available in the preferred code system.
2.16.840.1.113883.2.20.5.3	Complete	scptype	pan-Canadian Provider Types	http://www.infoway-inforoute.ca	This code system contains the list of provider types used in the pan-Canadian specifications.
2.16.840.1.113883.2.20.5.4	Complete	scpqual	pan-Canadian Provider Qualification	http://www.infoway-inforoute.ca	This code system ocntains the list of provider qualifications used in the pan-Canadian specifications.
2.16.840.1.113883.2.20.6.1	Complete	hc-CCDD	Canadian Clinical Drug Data Set	https://www.canada.ca/en/health-canada/corporate/about-health-canada/branches-agencies/health-products-food-branch.html	The Canadian Clinical Drug Data Set provides codes for identification and a consistent approach to naming of medications and some medical devices in Canada. It has been designed and developed to reflect current clinical practice and safety advice and is freely available for use in digital health solutions and design applications. More information can be found here: https://infocentral.infoway-inforoute.ca/en/standards/canadian/ccdd
2.16.840.1.113883.2.21.10	Complete	brazilianProcedureCodesSUS	Brazilian Procedure Codes SUS		Brazilian Procedure Codes used in the National Health System
2.16.840.1.113883.3.1780.1.12.1.3	Complete	ca-CPDC	Canada Post Street Direction Code System	http://www.canadapost.ca/cpo/mc/default.jsf	A set of codes identifying Canada Post Street Direction code for the directional reference used to qualify the street name.The set of codes in English and French can be found here: http://www.canadapost.ca/tools/pg/manual/PGaddress-e.asp#1403220.
2.16.840.1.113883.3.1780.1.12.1.4	Complete	ca-CPST	Canada Post Street Type	http://www.canadapost.ca/cpo/mc/default.jsf	A set of codes identifying Canada Post Street Type code that identifies the type of public thoroughfare in Canada.The set of codes in English can be found here: http://www.canadapost.ca/tools/pg/manual/PGaddress-e.asp#1423617.The set of codes in French can be found here: http://www.canadapost.ca/tools/pg/manual/PGaddress-f.asp#1435705.
2.16.840.1.113883.3.221.5	Complete	payer-typology	Source of Payment Typology	http://phdsc.org/standards/payer-typology.asp	The Source of Payment Typology was developed and is maintained by the Public Health Data Standards Consortium's Payer Type Subcommittee. The purpose of the Payer Typology Subcommittee is to create and refine a standard to allow consistent reporting of payer data to public health agencies for health care services and research.
2.16.840.1.113883.3.24.6.1	Retired	fda-FFRN	Food and Drug Administration Food Facility Registration Numbers	http://www.fda.gov/	Entered in error originally - do not use.  Correct OID for this item is 2.16.840.1.113883.4.344.
2.16.840.1.113883.3.24.6.2	Retired	fda-FCE	Food and Drug Administration Food Canning Establishments	http://www.fda.gov/	Entered erroneously - do not use.  The correct OID for this identifier system is 2.16.840.1.113883.4.345.
2.16.840.1.113883.3.26.1.5	Complete	nciVersionOfNDF-RT	NCI Version of NDF-RT	http://ncicb.nci.nih.gov/core/EVS	The National Drug File RT (NDF-RT) is published by the US Veterans' Administration (VA). NDF-RT covers clinical drugs used at the VA. The NCI version of NDF-RT is used by NCI to provide automated terminology access to the Food and Drug Administration (FDA) Structured Product Label (SPL) initiative. NCI makes its version of NDF-RT available publicly thru the Web, download via FTP and  via open APIs for Java, SOAP and HTTP.
2.16.840.1.113883.3.26.1.6.1	Complete	caCISTerminologyCodes	caCISTerminologyCodes codeSystem	http://ncicb.nci.nih.gov	A codeSystem under the NCI CBIIT root used to define concepts for the NCI Cancer Clinical Information Suite (caCIS). The purpose of the codeSystem is to derive valueSets that have no concepts found in any other formal coding system.
2.16.840.1.113883.3.3150	Complete	ada-snodent	Systematized Nomenclature of Dentistry	http://www.ada.org/snodent.aspx	Systematized Nomenclature of Dentistry (SNODENT) is owned, maintained and distributed by the American Dental Association (ADA).SNODENT is a vocabulary designed for use in the electronic environment &#8212; for electronic health and dental records. The intended purpose is to: &#8226; Provide standardized terms for describing dental disease &#8226; Capture clinical detail and patient characteristics &#8226; Permit analysis of patient care services and outcomes &#8226; To be interoperable with Electronic Health Records (EHR) and Electronic Dental Records (EDR) SNODENT licensing information can be found at: http://www.ada.org/8466.aspx
2.16.840.1.113883.3.567.12.1	Complete	fdbMEDID	fdb Medication ID	http://www.firstdatabank.com/	"An eight-character numeric column that identifies the unique combination of product or generic name, route of administration, dosage form, strength, and strength unit-of-measure. It is the most specific name concept in NDDF Plus. This number is a stable identifier.Examples of its use include outpatient prescribing and patient medication profiling. In contrast to the inpatient setting, outpatient prescribing must be specific as to dosage form and strength. Attributes of the MEDID provide drug information and access to clinical and patient education modules within NDDF Plus.The fdbMEDID is the primary clinical drug concept distributed by FDB that is used to represent the clinical drug when prescribing, ordering or when generating a list of active patient medications.  It spans both generically named and branded concepts and is very analogous to the RxNorm ""Semantic Brand Drug"" (SBD) and the RxNorm ""Semantic Clinical Drug"". In the context of HL7, the fdbMEDID would most likely be used when compiling a structured medication component for the CCD record.  For stage 1 Meaningful Use, the fdbMEDID may be used to report the coded medication in the absence of an RxNorm code; for stage 2, it is likely that the fdbMEDID will be sent as a ""translation Code"" to represent the code associated to the value selected by the end user in the application as a companion to the ""interoperable Code"" which most likely will be RxNorm based.Within the HL7 CDA Medications Section, the fdbMEDID may be used to identify the enterprise coded medication value used in the context of a ""history of medication use,"" ""medications administered,"" or ""active medications"" (e.g., ""coded product name,"" ""coded brand name"").Within the HL7 CDA Allergy/Drug-Sensitivity Section, may be used to identify the enterprise coded medication value when used in the context of a ""product coded""."
2.16.840.1.113883.3.567.12.2	Complete	fdbMedNameID	fdb Medication Name ID	http://www.firstdatabank.com/	"An eight-character numeric that identifies a unique product or generic name, primarily used for navigational purposes when presenting name concepts to the end user. This number is a stable identifier. It is the most specific name concept in FDB MedKnowledge (NDDF Plus). This number is a stable identifier.Expamples of its use primary use include end user navigation from a text string to orderable or dispensable medication selection targets. Secondly, the fdbMedNameID may be used within proprietary allergy or drug-sensitivity documentation applications in the context of a medication ""allergen.""  For example,the term ""Bactrim"" (fdb MedNameID = 5086) may be selected as a patient medication allergen.  When screening prospective medications for potential allergies, ingredients associated to the fdb MedNameID are fetched in support of allergy detection algorithms.  In the case of ""Bactrim,"" the ingredients ""trimethoprim"" and ""sulfamethoxazole"" would be fetched as related ingredient allergens.For interoperable medication allergen exchange, branded fdbMedNameID values will be cross-referenced to RxNorm Brand Names (example, ""Bactrim"" = RXCUI 151399, Terminology Type = BN); generically named fdbMedNameID values will be linked to RxNorm ingredients (e.g., Ingredient [IN], Precise Ingrdient [PIN] or Multiple Ingredient {MIN]). In the context of HL7, the fdbMedNameID would most likely be used when compiling a structured medication allergen within the Allergy Observation for a CDA document.  Within the United States, it is expected that for brand-name based medication allergens, the RxNorm Brand Name would be exchanged as the interoperable code and the fdbMedNameID would be included as the ""translation Code"" to represent the code associated to term selected by the end user within FDB supported systems.  For example:<code  code='151399'                displayName='Bactrim'                codeSystem='2.16.840.1.113884.6.88'                codeSystemName='NLM RxNorm'  <translation code='5086'                displayName='Bactrim'                codeSystem='2.16.840.1.113883.3.567.12.2'                codeSystemName='fdbMedNameID'</code>"
2.16.840.1.113883.3.567.12.3	Complete	fdbRoutedMedID	fdb Routed Medication ID	http://www.fdbhealth.com/	An eight-character numeric concept that identifies the product or generic name and route of administration. It is used for navigational purposes or to profile patient medications when the dosage form is unknown or not required. It is also used for entry into some clinical modules. This number is a stable identifier.
2.16.840.1.113883.3.84	Complete	FDB HIC Code	FDB HIC Code	http://www.deltaware.com	The FDB Hierarchical Ingredient Code is a six character identifier that represents an active ingredient and its specific therapeutic classification.
2.16.840.1.113883.4.340	Complete	cmsLocalCodes	Centers for Medicare & Medicaid Services (CMS) Local Codes		Local codes assigned by Centers for Medicare & Medicaid Services (CMS).
2.16.840.1.113883.4.341	Complete	vichAnimalType	VICH Animal Type	http://www.vichsec.org/	VICH has created their own reference list for animal types.  This list will be used to identify their animal species in Individual Case Safety Reports (ICSR).  This list will be used for valid vocabulary bindings for the new ICSR Animal Type vocabulary concept domain.  Since this list does not follow a standard naming or scientific convention, the list is expected to be used only for regulated reporting between VICH parties.
2.16.840.1.113883.4.342	Complete	vich-AnimalBreed	VICH Animal Breed	http://www.vichsec.org/	VICH has created their own reference list to describe animal breeds.  This list will be used for Individual Case Safety Reports (ICSR)involving animals.  The list will be a valid vocabulary binding to the new Individual Case Safety Report Related Observation vocabulary concept domain.  Since the list does not conform to standard naming or scientific conventions, the use of this list is restricted to reporting between VICH parties.
2.16.840.1.113883.4.358	Complete	veddra	Veterinary Dictionary for Drug Regulatory Activities (VEDDRA)	http://www.emea.europa.eu/htms/aboutus/emeainfopoint.htm#pharmacovigilanceandPDR	The Veterinary Dictionary for Drug Regulatory Activities (VEDDRA) is  used for pharmacovigilence reporting between regulatory authorities and pharmaceutical companies for adverse events associated with the use of animal drug products.
2.16.840.1.113883.4.64	Complete	gcn-seqno	Clinical Formulation ID	http://www.firstdatabank.com	"Clinical Formulation IDa six-character numeric column that represents a clinical drug formulation identifier that groups together drug products by the following criteria and is stored in the following columns:Ingredient List Identifier (HICL_SEQNO)-(formerly called the Hierarchical Ingredient Code List Sequence Number) represents the list or set of ingredients in a drug formulation. The HICL_SEQNO includes only active ingredients. Route of Administration (GCRT - The Route of Administration Code provides the normal site or method by which the drug is administered, such as oral, injection, or topical. Dosage Form (GCDF) - The Dosage Form Code represents a dosage form of the clinical formulation, such as tablet or capsule. Strength of Drug (STR) - The Drug Strength Description describes the drug potency in metric units. A unique GCN_SEQNO is assigned to each different combination of ingredient(s), strength, dosage form, and route of administration for a generic drug formulation. The GCN_SEQNO aggregates drug products that share like ingredient sets, route of administration, dosage form, and strength of drug but are marketed by multiple manufacturers.The GCN_SEQNO is included within the National Library of Medicine's RxNorm database.  Within the Concept Names and Sources file it can be identified with a Source Abbreviation of ""NDDF"" and a Term Type value of ""CDC""."
2.16.840.1.113883.4.642.1.222	Complete	observationCategory	Observation Category	http://www.hl7.org	High level observation categories for the general type of observation being made.
2.16.840.1.113883.4.65	Complete	hic-SEQN	Hierarchical Ingredient Code Sequence Number (HIC_SEQN)	http://www.firstdatabank.com	"Hierarchical Ingredient Code Sequence Number (HIC_SEQN)a six-character numeric column that represents a distinct active or inactive ingredient within the First DataBank database. The HIC_SEQN is a dumb number attached to the ingredient and will never change.  A HIC_SEQN is associated to a Clinical Formulation Identifier (GCN_SEQNO) in the context of an active ingredient or to a packaged product in the context of an inactive (excipient) ingredient.  It is listed in the National Library of Medicine's RxNorm Concept Names and Sources file with a Source Abbreviation of """"NDDF"""" and a Term Type of """"IN""""."
2.16.840.1.113883.4.66	Complete	hic	Hierarchical Ingredient Code (HIC)	http://www.firstdatabank.com	Hierarchical Ingredient Code (HIC)a six-character alphanumeric column that represents the active ingredient and salt esters of a particular drug product (identified by NDC) within the First DataBank database. It also identifies the therapeutic class, pharmacological class, and organ system to which the drug is targeted. The HIC will only change for an ingredient if the ingredient is moved to a new therapeutic classification.
2.16.840.1.113883.4.79	Complete	GCDF	GCDF	http://www.firstdatabank.com	GCDFDosage Form Code (2-character)a two-character alphanumeric column that represents a dosage form. The dosage form of a generic drug formulation describes the physical presentation of a drug, such as tablet, capsule, or liquid. It may also incorporate the delivery and release mechanism of the drug. A GCDF is associated to each GCN_SEQNO to identify that component of the generic drug formulation.
2.16.840.1.113883.4.80	Complete	GCRT	GCRT	http://www.firstdatabank.com	GCRTRoute of Administration Code (1-character)a one-character alphanumeric column that provides the normal site or method by which a drug is administered, such as oral, injection, or topical. A GCRT is associated to each GCN_SEQNO to identify that component of the generic drug formulation.
2.16.840.1.113883.4.81	Complete	cpnum	Gold Standard's Clinical Pharmacology Monograph Number	http://www.goldstandard.com	Gold Standard's Clinical Pharmacology Monograph Number
2.16.840.1.113883.5.1103	Complete	hc-AIC	Active Ingredient Code	http://www.hc-sc.gc.ca/index-eng.php	Foreign key for the Active Ingredient Table that relates active ingredients to specific products. More information can be found here: https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database/read-file-drug-product-database-data-extract.html
2.16.840.1.113883.5.1104	Complete	hc-AIGC	Active Ingredient Group Code	http://www.hc-sc.gc.ca/index-eng.php	Codes for a particular grouping of active ingredients. This is the 5 characters of the active ingredient group number starting at position 3 and ending at position 7. https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database/terminology.html
2.16.840.1.113883.5.1106	Complete	hc-AIGN	Active Ingredient Group Number	http://www.hc-sc.gc.ca/index-eng.php	The AIG number is a 10 digit number that identifies products that have the same active ingredient(s) and ingredient strength(s). The AIGn is comprised of three portions:&#8226; the first portion (2 digits) identifies the number of active ingredients&#8226; the second portion(5 digits) identifies the unique groups of active ingredients(s);&#8226; the last portion (3 digits) identifies the active ingredient group strength. The strength group has a tolerance of -2% to +10%.More information can be found here: https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database/terminology.html
2.16.840.1.113883.5.1108	Complete	encode-FM	Electronic Nomenclature and Classification Of Disorders and Encounters for Family Medicine	http://www.insite-fm.com/	"ENCODE-FM is a systematic and hierarchical controlled clinical terminology for family medicine, intended for use in electronic medical records incorporated into the software of any vendor. It was derived from our knowledge of ICPC, ICD-10, and our aggregate 60-year clinical family medicine experience. Development occurred over a period of approximately ten years and was initially presented internationally at the Symposium on Computer Applications in Medical Care (SCAMC) 1991 under its original name SIN-FM. The product was subsequently enhanced in order to be the standard terminology for the national database of the College of Family Physicians of Canada ""Clinical Practice Management Network"".ENCODE-FM has been designed expressly for use at point of service in primary care. It addresses the issues of ease of data entry and accuracy of aggregate data retrieval in its design, the mapping to other classifications, and choice of words and terms. Published research (use links)(J. Amer. Medical Informatics Assoc. 3(3): 224-233, 1996; J. Amer. Medical Informatics Assoc., Symposium Supplement 1995, Vol 20: 135-139. 1996.) has shown that none of the large nomenclatures (each over 100,000 terms) intended to cover the whole health care system, describe all clinical content or even all diseases. Alternatively, ENCODE-FM was designed to do one part of that task well - namely to be a CLINICAL terminology of ONLY symptoms, complaints, diagnoses, disorders and reasons for encounter for use in primary care electronic records. It is intended to facilitate data entry by the caregiver, and to allow data aggregation by the 3 internationally recognized classifications of disease used most commonly in primary care  ICPC, ICD-10, and ICD09CM.It was also designed to be an evolving terminology, so that as the terminology and usage of medical terms changes, ENCODE can be readily updated with the changes. ENCODE-FM currently contains 9378 terms.http://www.insite-fm.com/Products/ENCODE-FM"
2.16.840.1.113883.6	Complete	externalCodeSystems	HL7 Registered External Coding Systems		External coding systems registered in HL7 with an HL7 OID
2.16.840.1.113883.6.10	Complete	mime	IETF MIME		IETF MIME media types
2.16.840.1.113883.6.100	Deprecated	ISO639-2	ISO 639-2 Alpha-3 Language Codes		Codes for the Representation of Names of Languages Part 2: Alpha-3 Code.  Used as part of the IETF 3066 specification for languages throughout the HL7 specification.This OID is being retired; use the correct ISO identifier 1.0.639.2 for this vocabulary in the future.
2.16.840.1.113883.6.101	Complete	providertaxonomy	Health Care Provider Taxonomy	http://www.nucc.org/	"The Health Care Provider Taxonomy code set, as maintained by the National Uniform Claim Committee (NUCC), can be accessed at www.nucc.org/index.php?option=com_content&view=article&id=14&Itemid=125 The Health Care Provider Taxonomy code set is a nonmedical data code set designed for use in an electronic environment, specifically within the ASC X12N Health Care transactions. This includes the transactions mandated under HIPAA.The Health Care Provider Taxonomy code is a unique alphanumeric code, ten characters in length. The code set is structured into three distinct ""Levels"" including Provider Type, Classification, and Area of Specialization.In 2001, the NUCC took over the maintenance of the code set. Ongoing duties, including processing taxonomy code requests and maintenance of the code set, fall under the NUCC's Code Subcommittee.The NUCC is a voluntary organization of health care industry stakeholders representing providers, payers, designated standards maintenance organizations, public health organizations, and vendors.  Additional information about the NUCC is available at: www.nucc.org."
2.16.840.1.113883.6.102	Complete	DEEDS	DEEDS vocabularies		root for the DEEDS code sets
2.16.840.1.113883.6.102.2.10	Complete	DEEDS2.10	DEEDS2.10		Code for ED Practitioner Role
2.16.840.1.113883.6.102.4.12	Complete	DEEDS4.12	DEEDS4.12		ED Responsiveness Assessment
2.16.840.1.113883.6.102.4.14	Complete	DEEDS4.14	DEEDS4.14		Glasgow eye opening assessment
2.16.840.1.113883.6.102.4.15	Complete	DEEDS4.15	DEEDS4.15		Glasgow verbal component assessment
2.16.840.1.113883.6.102.4.16	Complete	DEEDS4.16	DEEDS4.16		Glasgow motor component assessment
2.16.840.1.113883.6.102.4.18	Complete	DEEDS4.18	DEEDS4.18		Systolic blood pressure special situation
2.16.840.1.113883.6.102.4.2	Complete	DEEDS4.02	DEEDS4.02		Mode of transport to ED
2.16.840.1.113883.6.102.4.22	Complete	DEEDS4.22	DEEDS4.22		Heart rate method
2.16.840.1.113883.6.102.4.24	Complete	DEEDS4.24	DEEDS4.24		Respiratory rate special circumstances codes
2.16.840.1.113883.6.102.4.27	Complete	DEEDS4.27	DEEDS4.27		Patient temperature route
2.16.840.1.113883.6.102.4.5	Complete	DEEDS4.05	DEEDS4.05		ED Source of Referral
2.16.840.1.113883.6.102.4.7	Complete	DEEDS4.07	DEEDS4.07		Code for Initial Healthcare Encounter for Chief Complaint
2.16.840.1.113883.6.102.4.8	Complete	DEEDS4.08	DEEDS4.08		Code for Acuity Assessment
2.16.840.1.113883.6.102.5.19	Complete	DEEDS5.19	DEEDS5.19		Clinical Finding Data Source
2.16.840.1.113883.6.102.5.6	Complete	DEEDS5.06	DEEDS5.06		Injury Activity
2.16.840.1.113883.6.102.5.8	Complete	DEEDS5.08	DEEDS5.08		Safety Equipment Use
