prefix	name	alt_name	homepage
nbdc00026	CGH Data Base	Comparative Genomic Hybridization Database	http://www.cghtmd.jp/CGHDatabase/index_e.jsp
nbdc00028	Chlamydomonas reinhardtii EST index		https://www.kazusa.or.jp/e/plant/chlamy/EST/
nbdc00029	CIBEX	Center for Information Biology gene Expression database	http://cibex.nig.ac.jp/data/index.html
nbdc00030	CluSTr	Clusters of SWISS-PROT and TrEMBL proteins database	http://www.ebi.ac.uk/clustr/
nbdc00031	CORG	Comparative Regulatory Genomics	http://corg.eb.tuebingen.mpg.de/cgi-bin/index.pl
nbdc00032	M-CSA	Mechanism and Catalytic Site Atlas	https://www.ebi.ac.uk/thornton-srv/m-csa/
nbdc00033	Codon Usage Database		http://www.kazusa.or.jp/codon/
nbdc00034	CyanoBase	Genome database for Cyanobacteria	http://genome.microbedb.jp/cyanobase
nbdc00035	CYORF	Cyanobacteria Gene Annotation Database	http://cyano.genome.jp/
nbdc00036	D-HaploDB (Archive)	Definitive Haplotype Database	https://dbarchive.biosciencedbc.jp/en/dhaplodb/desc.html
nbdc00037	Database of Genomic Variants	A curated catalogue of structural variation in the human genome	http://dgv.tcag.ca/
nbdc00038	Database of the RNAi phenotypes for the 168 genes analyzed		http://park.itc.u-tokyo.ac.jp/mgrl/germline/
nbdc00040	DBGET Search		http://www.genome.jp/dbget/
nbdc00041	dbProP	a Protein Polymorphism database	http://dbprop.nirs.qst.go.jp/Prop/index_e.html
nbdc00042	dbQSNP (Archive)	SNPs in the transcriptional promoter regions in human	https://dbarchive.biosciencedbc.jp/en/dbqsnp/desc.html
nbdc00043	DBTBS	A database of transcriptional regulation in Bacillus subtilis containing upstream intergenic conservation information	http://dbtbs.hgc.jp/
nbdc00044	DBTGR	Database of Tunicate Gene Regulation	http://dbtgr.hgc.jp/
nbdc00045	DBTSS	Database of Transcriptional Start Sites	http://dbtss.hgc.jp/
nbdc00046	DDBJ	DNA Data Bank of Japan	https://www.ddbj.nig.ac.jp/index-e.html
nbdc00047	DeinoBase	Deinococci Genome Database	http://yayoi.kansai.jaea.go.jp/php/DeinoBase/index.php
nbdc00050	DOGAN	a genome database of microorganisms sequenced at NITE	http://www.bio.nite.go.jp/dogan/Top
nbdc00051	eF-site	electrostatic surface of Functional-site	https://pdbj.org/eF-site/
nbdc00052	EGTC	Database for the Exchangeable Gene Trap Clones	http://egtc.jp/action/main/index
nbdc00053	EMBL-Bank	EMBL Nucleotide Sequence Database	http://www.ebi.ac.uk/embl/
nbdc00055	Search NCBI databases		https://www.ncbi.nlm.nih.gov/search/
nbdc00056	ENU Mutants (A large Scale Mutagenesis Project in Riken GSC)		http://www.brc.riken.jp/lab/gsc/mouse/
nbdc00057	eProtS	Encyclopedia of Protein Structures	https://pdbj.org/info/eprots
nbdc00058	Escherichia coli O157:H7 Sakai		http://genome.bio.titech.ac.jp/bacteria/o157/index.html
nbdc00059	ECGB	Eukaryotic Comparative Genome Browser	http://www-btls.jst.go.jp/ComparativeGenomics/index_j.html
nbdc00060	Extremobase		http://www.jamstec.go.jp/gbrowser/cgi-bin/top.cgi
nbdc00061	EzCatDB	A Database of Enzyme Catalytic Mechanisms	https://ezcatdb.cbrc.pj.aist.go.jp/EzCatDB
nbdc00062	FAMSBASE	Protein Structure Model Database	http://fams.bio.chuo-u.ac.jp/RIKEN/index.html
nbdc00065	FlyView	A Drosophila Image Database	http://flyview.uni-muenster.de/
nbdc00066	Full Length cDNA		http://cdna.hgc.jp/
nbdc00067	Full-Malaria	Malaria Full-Length cDNA Database (Plasmodium falciparum)	http://fullmal.hgc.jp/index_ajax.html
nbdc00068	Full-Toxoplasma	Toxoplasma Full-Length cDNA Database	http://fullmal.hgc.jp/index_tg_ajax.html
nbdc00071	GeMDBJ	Genome Medicine Database of Japan	https://gemdbj.nibio.go.jp/dgdb/index.do
nbdc00072	GENA	Gene Name Dictionary	http://gena.ontology.hgc.jp:8081/search/servlet/gena
nbdc00075	GeneAnnot	Microarray Gene Annotation	http://genecards.weizmann.ac.il/geneannot/index.shtml
nbdc00076	GENIES	Gene Network Inference Engine based on Supervised Analysis	http://www.genome.jp/tools/genies/
nbdc00077	GenoBase	Integrated database of E.coli K-12 (W3110)	http://ecoli.naist.jp/GB/
nbdc00078	Genome Project of Streptomyces avermitilis		http://avermitilis.ls.kitasato-u.ac.jp/
nbdc00079	GON	Genomic Object Net Pathway Database	http://genome.ib.sci.yamaguchi-u.ac.jp/~gon/index.html
nbdc00081	GermOnline		http://www.germonline.org/index.html
nbdc00082	Ghost Database	Ciona intestinalis genomic and cDNA resources	http://ghost.zool.kyoto-u.ac.jp/SearchGenomekh.html
nbdc00083	GIB	Genome Information Broker	http://gib.genes.nig.ac.jp
nbdc00084	GiiB-JST mtSNP	Human Mitochondrial Genome Polymorphism Database	http://mtsnp.tmig.or.jp/mtsnp/index_e.shtml
nbdc00085	GLIDA	GPCR-Ligand Database	http://pharminfo.pharm.kyoto-u.ac.jp/services/glida/
nbdc00086	Globin Gene Server		http://globin.cse.psu.edu/
nbdc00088	GrainGenes	A Database for Triticeae and Avena	https://wheat.pw.usda.gov/GG3/
nbdc00089	GTOP	Genomes TO Protein structures and functions	http://spock.genes.nig.ac.jp/~genome/gtop.html
nbdc00090	GTOP (Rice version)	Genomes to protein structures and functions	http://structure.rice.dna.affrc.go.jp/gtop/gtop.html
nbdc00091	H-ANGEL	The Human Anatomical Gene Expression Library	http://h-invitational.jp/hinv/h-angel/
nbdc00092	H-InvDB	H-Invitational Database	http://www.h-invitational.jp/hinv/ahg-db/index.jsp
nbdc00094	HarvEST		http://harvest.ucr.edu/
nbdc00095	Hepatitis Virus Database		http://s2as02.genes.nig.ac.jp/
nbdc00096	Het-PDB Navi	A navigator of small molecules in Protein Data Bank which is called heterogen atoms or in short hetatoms	http://hetpdbnavi.nagahama-i-bio.ac.jp/index.php?mode=0
nbdc00099	HINTdb	Homologous Interactions Database	http://hintdb.hgc.jp/hint/
nbdc00100	HIV DATABASES		http://www.hiv.lanl.gov/content/index
nbdc00102	HOWDY-R	Human Organized Whole genome Database Powered by RDF	https://howdy.biosciencedbc.jp/HOWDY-R/
nbdc00105	IMGT	IMGT, the international ImMunoGeneTics information system	https://www.imgt.org/
nbdc00107	INOH Pathway Database (Archive)	Integrating Network Objects with Hierarchies Pathway Database	https://dbarchive.biosciencedbc.jp/en/inoh/desc.html
nbdc00109	iProClass	Integrated Protein Knowledgebase	https://proteininformationresource.org/pirwww/dbinfo/iproclass.shtml
nbdc00110	J*FLY	data depository for Drosophila researchers	http://jfly.iam.u-tokyo.ac.jp/index.html
nbdc00111	JDD	Japan Drosophila Database	http://www.dgrc.kit.ac.jp/~jdd/index_en.html
nbdc00112	JG-SNP	A Database of Japanese Single Nucleotide Polymorphism for Geriatric Research	http://www.tmghig.jp/jg-snp/english/E_top.html
nbdc00113	JMSR	Japan Mouse/Rat Strain Resources Database	http://www.shigen.nig.ac.jp/mouse/jmsr/top.jsp
nbdc00114	JSNP (Archive)	Japanese Single Nucleotide Polymorphisms	https://dbarchive.biosciencedbc.jp/en/jsnp/desc.html
nbdc00116	KEGG EXPRESSION Database		http://www.genome.jp/kegg/expression/
nbdc00117	KEGG LIGAND Database	Molecular building blocks of life in the chemical space	http://www.genome.jp/kegg/ligand.html
nbdc00118	KEGG PATHWAY Database	Wiring diagrams of molecular interactions, reactions, and relations	http://www.genome.jp/kegg/pathway.html
nbdc00119	KEGG SSDB Database	Sequence Similarity Database (Orthologs/paralogs, conserved gene clusters, and sequence motifs)	http://www.kegg.jp/kegg/ssdb/
nbdc00120	KOME (Archive)	Knowledge-Oriented Molecular Biological Encyclopedia	https://dbarchive.biosciencedbc.jp/en/kome/desc.html
nbdc00121	KONCHU		http://konchudb.agr.agr.kyushu-u.ac.jp/index-e.html
nbdc00122	KONCHUR		http://konchudb.agr.agr.kyushu-u.ac.jp/konchur/
nbdc00124	Legume Base	NBRP Lotus / Glycine	https://legumebase.nbrp.jp/legumebase/top.jsp
nbdc00125	LinkDB Search		http://www.genome.jp/linkdb/
nbdc00127	LIFE SCIENCE DICTIONARY		https://lsd-project.jp/cgi-bin/lsdproj/ejlookup04.pl
nbdc00128	MAGEST	MAboya ( the ascidian, Halocynthia roretzi ) Gene Expression patterns and Sequence Tags	http://magest.hgc.jp/
nbdc00130	MBGD	Microbial Genome Database for Comparative Analysis	http://mbgd.genome.ad.jp/
nbdc00131	MEPD	Medaka Expression Pattern Database	http://mepd.cos.uni-heidelberg.de/mepd/
nbdc00133	MG Workbench	Microbial Genome Workbench	http://www.bioscinet.org/cgi-bin/mgw.pl
nbdc00134	MGC	Mammalian Gene Collection	http://mgc.nci.nih.gov/
nbdc00137	MitoFish	Mitochondrial Genome Database of Fish	http://mitofish.aori.u-tokyo.ac.jp/
nbdc00138	miyakogusa.jp		http://www.kazusa.or.jp/lotus/index.html
nbdc00139	MMDBJ	Mouse Microsatellite Data Base of Japan	http://www.shigen.nig.ac.jp/mouse/mmdbj/top.jsp
nbdc00140	MOKUROKU		http://konchudb.agr.agr.kyushu-u.ac.jp/mokuroku/
nbdc00141	NBRP Morning glory	National BioResource Project Morning glory	http://www.shigen.nig.ac.jp/asagao/index.jsp
nbdc00143	Mycoplasma penetrans Genome		http://mollicutes.nih.go.jp/Mypet/
nbdc00144	NBRC Culture Catalogue Search		https://www.nite.go.jp/nbrc/catalogue/?lang=en
nbdc00145	National BioResource Project Chrysanthemum		http://www.shigen.nig.ac.jp/chrysanthemum/
nbdc00146	NBRP E.coli Strain		https://shigen.nig.ac.jp/ecoli/strain/locale/change?lang=en
nbdc00147	NBRP Medaka		http://www.shigen.nig.ac.jp/medaka/
nbdc00148	Oryzabase		http://www.shigen.nig.ac.jp/rice/oryzabaseV4/locale/change?lang=en
nbdc00149	KOMUGI		http://www.shigen.nig.ac.jp/wheat/komugi/
nbdc00150	NDB	Nucleic Acid Database	http://ndbserver.rutgers.edu
nbdc00151	NRSub	Non-Redundant B.subtilis database	http://pbil.univ-lyon1.fr/nrsub/nrsub.html
nbdc00152	ODB	Operon DataBase	http://operondb.jp/
nbdc00155	National Bioresource Project - Pathogenic microbes		http://pathogenic.lab.nig.ac.jp/
nbdc00158	PDBSTR		http://www.genome.jp/dbget-bin/www_bfind?pdbstr
nbdc00159	PEC	Profiling of Escherichia coli chromosome	http://www.shigen.nig.ac.jp/ecoli/pec/index.jsp
nbdc00160	PEDANT3 database	a Protein Extraction, Description and Analysis Tool	http://pedant.gsf.de/
nbdc00161	PEDE	Pig Expression Data Explorer	http://pede.dna.affrc.go.jp/
nbdc00162	PEPTIDOME		http://www.peptidome.jp/index.html
nbdc00164	PharmGKB	Pharmacogenomics Knowledge Base	http://www.pharmgkb.org/
nbdc00165	PHYSCObase		http://moss.nibb.ac.jp/
nbdc00166	Physcomitrella patens Full-Length cDNA Clone Database Search		http://www.brc.riken.jp/lab/epd/catalog/p_patens.html
nbdc00167	PIR	Protein Information Resource	https://proteininformationresource.org
nbdc00168	New PLACE	A Database of Plant Cis-acting Regulatory DNA Elements	https://www.dna.affrc.go.jp/PLACE/
nbdc00169	Plant snoRNA Database		https://bioinf.hutton.ac.uk/cgi-bin/plant_snorna/home
nbdc00170	PMD	Protein Mutant Database	http://pmd.ddbj.nig.ac.jp/~pmd/pmd.html
nbdc00171	Polymorphism of Microsatellite Markers		http://www002.upp.so-net.ne.jp/kyama-Q/MS.html
nbdc00172	PRF	Protein Research Foundation	http://www.prf.or.jp/index-e.html
nbdc00175	ProMode-Elastic		http://pdbj.org/promode-elastic
nbdc00176	ProNIT	Thermodynamic Database for Protein-Nucleic Acid Interactions	http://gibk26.bio.kyutech.ac.jp/jouhou/pronit/pronit.html
nbdc00177	ProTherm	Thermodynamic Database for Protein and Mutants	http://gibk26.bio.kyutech.ac.jp/jouhou/Protherm/protherm.html
nbdc00180	QFbase	Macaca fascicularis cDNA database	http://gene.nibiohn.go.jp/qfbase/index.html
nbdc00181	RAD	Rice Annotation Database	http://golgi.gs.dna.affrc.go.jp/SY-1102/rad/
nbdc00182	RAP-DB	Rice Annotation Project DataBase	http://rapdb.dna.affrc.go.jp/
nbdc00183	RARGE	RIKEN Arabidopsis Genome Encyclopedia	http://rarge-v2.psc.riken.jp
nbdc00184	RDP	The Ribosomal Database Project	http://rdp.cme.msu.edu/
nbdc00186	READ	Riken Expression Array Database	http://read.gsc.riken.jp
nbdc00189	RhizoBase	Genome database for Rhizobia with annotation	http://genome.microbedb.jp/rhizobase
nbdc00191	RPD (Archive)	Rice Proteome Database	https://dbarchive.biosciencedbc.jp/en/rpd/desc.html
nbdc00192	RIKEN Arabidopsis Full-Length Clone Database Search		http://www.brc.riken.jp/lab/epd/catalog/cdnaclone.html
nbdc00193	RMG (Archive)	Rice Mitochondrial Genome	https://dbarchive.biosciencedbc.jp/en/rmg/desc.html
nbdc00194	RMOS (Archive)	Rice Microarray Opening Site	https://dbarchive.biosciencedbc.jp/en/rmos/desc.html
nbdc00195	RPG	Ribosomal Protein Gene Database	http://ribosome.med.miyazaki-u.ac.jp/
nbdc00196	SASSC Quick search	The Sendai Arabidopsis Seed Stock Center	http://sassc.epd.brc.riken.jp/sassc/create_search_panel2.php?mode=general
nbdc00198	SBM DB	Systems Biology and Medicine Database	http://www.lsbm.org/site_e/database/index.html
nbdc00199	SCMD 2	Saccharomyces cerevisiae Morphological Database 2	http://www.yeast.ib.k.u-tokyo.ac.jp/SCMD/datasheet.php
nbdc00200	SCOP2	Structural Classification of Proteins 2	http://scop2.mrc-lmb.cam.ac.uk
nbdc00203	SilkBase	EST analysis of silkworm gene expression	http://silkbase.ab.a.u-tokyo.ac.jp/cgi-bin/index.cgi
nbdc00204	Silkworm Base	Silkworm Genetic Resource Database	http://www.shigen.nig.ac.jp/silkwormbase/index.jsp
nbdc00205	Silver Project: Ape Genome Sequencing		http://sayer.lab.nig.ac.jp/~silver/index.html
nbdc00207	SPAD	Signaling Pathway Database	http://www.grt.kyushu-u.ac.jp/spad/
nbdc00208	Species 2000		http://www.sp2000.org
nbdc00209	The NAISTrap Project		http://bsw3.aist-nara.ac.jp/kawaichi/naistrap-e.html
nbdc00210	NBRP-Rat	The National BioResource Project for the Rat in Japan	http://www.anim.med.kyoto-u.ac.jp/NBR/strains/Strains_list.aspx
nbdc00211	TMIG-2DPAGE Database		http://www.proteome.jp/2D/
nbdc00212	Tobacco EST clones from BY-2 cells Database Search		http://www.brc.riken.jp/lab/epd/catalog/n_tabacum.html
nbdc00213	TP-Search		http://togodb.dbcls.jp/tpsearch
nbdc00214	Transcriptome analysis of 2 component system in Eschericia coli		http://ecoli.aist-nara.ac.jp/xp_analysis/2_components/
nbdc00215	TranspoGene	The influence of Transposed Elements (TEs) on the transcriptome of 7 species	http://transpogene.tau.ac.il/
nbdc00216	Transposon tag line Database Search		http://www.brc.riken.jp/lab/epd/catalog/transposon.html
nbdc00217	TraP	Transcription Product Database	http://riodb.ibase.aist.go.jp/trap/
nbdc00218	TRSIG	Database on Translational Signals	http://gibk26.bio.kyutech.ac.jp/jouhou/trsig/blast.html
nbdc00219	UCSC Genome Browser		http://genome.ucsc.edu/
nbdc00222	Probe		http://www.ncbi.nlm.nih.gov/probe
nbdc00223	UTGB Medaka Genome Browser	University of Tokyo Genome Browser	http://utgenome.org/medaka/
nbdc00224	V. parahaemolyticus Genome Information		http://genome.bio.titech.ac.jp/bacteria/vpara/
nbdc00225	XDB	Xenopus laevis Database	http://xenopus.nibb.ac.jp/
nbdc00227	NBRP Yeast	National BioResource Project - Yeast	https://yeast.nig.ac.jp/yeast/top.xhtml
nbdc00228	Bombyx mori EST Sequences in Full-length cDNA Libraries		http://papilio.ab.a.u-tokyo.ac.jp/Bombyx_EST/
nbdc00229	Mutant Panel	Rice Tos17 Insertion Mutant Database	https://tos.nias.affrc.go.jp/index.html.en
nbdc00236	GETDB	Gal4 Enhancer Trap Insertion Database	http://kyotofly.kit.jp/stocks/GETDB/getdb.html
nbdc00237	TABR	Tropical bee reference database	http://konchudb.agr.agr.kyushu-u.ac.jp/tabr/
nbdc00238	Soybean Proteome Database		http://proteome.dc.affrc.go.jp/Soybean/
nbdc00239	ETHMEDmmm	The Data Base of Ethno-medicines in the world	http://ethmed.toyama-wakan.net/SearchEn/
nbdc00243	Epigenomics		http://www.ncbi.nlm.nih.gov/epigenomics
nbdc00244	dbVar	Database of Genomic Structural Variation	http://www.ncbi.nlm.nih.gov/dbvar/
nbdc00245	Plasma Proteome Database		http://www.plasmaproteomedatabase.org/
nbdc00246	Amphibian Species of the World		https://amphibiansoftheworld.amnh.org/
nbdc00247	AnoBase	The Anopheles Database	http://anobase.vectorbase.org/
nbdc00248	Avibase	The World Bird Database	http://avibase.bsc-eoc.org/avibase.jsp
nbdc00249	BOLD	Barcode of Life Data Systems	http://v4.boldsystems.org
nbdc00251	Bio-Resourse Network		http://bio.tokyo.jst.go.jp/biores/index.htm
nbdc00253	Blocks		http://blocks.fhcrc.org/
nbdc00254	CAGE Basic Viewer		https://fantom.gsc.riken.jp/3/cage/
nbdc00255	CarpeDB	A Comprehensive Database on the Genetics of Epilepsy	http://carpedb.ua.edu/
nbdc00256	CGAP	The Cancer Genome Anatomy Project	http://cgap.nci.nih.gov/
nbdc00257	Codon Table		http://www.kazusa.or.jp/java/codon_table_java/
nbdc00258	Conserved Domains and Protein Classification		http://www.ncbi.nlm.nih.gov/Structure/cdd/cdd.shtml
nbdc00259	CREB Target Gene Database		http://natural.salk.edu/CREB/
nbdc00260	DGVa	Database of Genomic Variants Archive	http://www.ebi.ac.uk/dgva/
nbdc00263	EGO	Eukaryotic Gene Orthologues	http://compbio.dfci.harvard.edu/tgi/ego/
nbdc00264	ENZYME	Enzyme nomenclature database	http://enzyme.expasy.org/
nbdc00267	FABA	Four-dimensional Ascidian Body Atlas	https://www.bpni.bio.keio.ac.jp/chordate/faba/1.4/top.html
nbdc00269	FIDD	The Frequency of Inherited Disorders Database	https://medicapps.cardiff.ac.uk/fidd/
nbdc00271	Flytrap		http://www.fly-trap.org/
nbdc00272	FMRIDC	The fMRI Data Center	http://www.fmridc.org/f/fmridc
nbdc00274	GeMCRIS	Genetic Modification Clinical Research Information System	http://www.gemcris.od.nih.gov/Contents/GC_HOME.asp
nbdc00277	BioGPS		http://biogps.org/
nbdc00278	GeneLoc		http://genecards.weizmann.ac.il/geneloc/index.shtml
nbdc00279	GenomeNet		http://www.genome.jp/en/
nbdc00280	GISD	Global Invasive Species Database	http://www.iucngisd.org/gisd/
nbdc00281	GOALL		http://www.shigen.nig.ac.jp/ontology/
nbdc00282	RIKEN Hub Database Project		http://omicspace.riken.jp/
nbdc00283	HIV Structural Database and Chem-BLAST		http://xpdb.nist.gov/hivsdb/hivsdb.html
nbdc00285	Hoppsigen	Homologous Processed Pseudogenes database	http://pbil.univ-lyon1.fr/databases/hoppsigen.html
nbdc00286	HOSTS	A Database of the World's Lepidopteran Hostplants	http://www.nhm.ac.uk/research-curation/research/projects/hostplants/
nbdc00287	HS3D	Homo Sapiens Splice Sites Dataset	http://www.sci.unisannio.it/docenti/rampone/
nbdc00288	Human Genome Segmental Duplication Database		http://projects.tcag.ca/humandup/
nbdc00289	IARC TP53 Database		http://p53.iarc.fr/
nbdc00290	IMGT/LIGM-DB	IMGT, the international ImMunoGeneTics information system/LIGM-DB	https://www.imgt.org/ligmdb/
nbdc00291	INE	INtegrated Rice Genome Explorer : INE	http://ine.dna.affrc.go.jp/giot/
nbdc00296	LOCATE	subcellular localization database	http://locate.imb.uq.edu.au/
nbdc00297	MAEDA	Micro Array Expression DAta search	http://rarge.psc.riken.jp/microarray/microarray.pl
nbdc00299	MnM	Minimotif Miner (Application to search for short sequence motifs in proteins)	http://cse-mnm.engr.uconn.edu:8080/MNM/SMSSearchServlet
nbdc00300	Mouse Genetic Resources		http://www.shigen.nig.ac.jp/mouse/nig/locale/change/?lang=en
nbdc00302	Myc Cancer Gene		http://www.myccancergene.org/
nbdc00303	NONCODE		http://www.noncode.org
nbdc00304	OBIS	The Ocean Biogeographic information System	http://www.iobis.org
nbdc00306	Okdb	Ovarian Kaleidoscope Database	http://okdb.appliedbioinfo.net
nbdc00309	PlantsT	Functional Genomics of Plant Transporters	http://plantst.genomics.purdue.edu/
nbdc00313	PKR	Protein Kinase Resource	http://www0.nih.go.jp/mirror/Kinases/pk_home.html
nbdc00314	RAFL cDNAs	RIKEN Arabidopsis Full-length cDNA	http://rarge-v2.psc.riken.jp/cdna
nbdc00315	RED (Archive)	Rice Expression Database	https://dbarchive.biosciencedbc.jp/en/red/desc.html
nbdc00316	REMIB	The World Biodiversity Information Network (REMIB)	http://www.conabio.gob.mx/remib_ingles/doctos/remib_ing.html
nbdc00317	Repbase		http://www.girinst.org/repbase/
nbdc00318	RGP	The Rice Genome Research Program	http://rgp.dna.affrc.go.jp/E/
nbdc00319	RIKEN BioResource Center Experimental Animal Division		http://www.brc.riken.jp/lab/animal/en/
nbdc00320	The Council for SAM Research		http://www.samrc.jp/firste.html
nbdc00321	SEER	Surveillance Epidemiology and End Results	http://seer.cancer.gov/
nbdc00322	SHIGEN	SHared Information of GENetic resources	http://www.shigen.nig.ac.jp/index.htm
nbdc00324	Springer Nature Experiments		https://experiments.springernature.com
nbdc00325	SRS	Sequence Retrieval System	http://srs.ebi.ac.uk/
nbdc00326	SMD	Stanford Microarray database	http://smd.stanford.edu/
nbdc00327	HPV Sequence Database		http://pave.niaid.nih.gov/lanl-archives/
nbdc00328	OSF online	Orthoptera Species File Online	http://orthoptera.speciesfile.org/HomePage.aspx
nbdc00329	The Chromosome 7 Annotation Project		http://www.chr7.org/
nbdc00330	DRAFT SEQUENCE OF FUGU GENOME ASSEMBLY RELEASE 1, 2, 3 and 4		https://fugu.crick.ac.uk/News/FuguWebsite_02_04_03.html
nbdc00331	The New York Botanical Garden		https://www.nybg.org/plant-research-and-conservation/collections-resources/
nbdc00333	United States Regulatory Agencies Unified Biotechnology Website		http://www.nbii.gov/termination/index.html
nbdc00334	WBD	World Biodiversity Database	http://wbd.etibioinformatics.nl/bis/index.php
nbdc00338	Animal Genome Research Program		http://animal.dna.affrc.go.jp/agp/database.html
nbdc00339	Database of animal specimens from polar regions		http://animal.nipr.ac.jp/index_e.html
nbdc00340	Plant Heredity Resource Search		http://www.dl.saga-u.ac.jp/z3950/plant/search_e.html
nbdc00343	Movie Archives of Animal Behavior		http://www.momo-p.com/index-e.html
nbdc00344	TOEFbioinfo		https://bioinfo.museum.hokudai.ac.jp/db/?ml_lang=en
nbdc00345	Handbook of Antarctic Mosses		http://polaris.nipr.ac.jp/~antmoss/ham/index_e.html
nbdc00350	Wood Database		http://db.ffpri.affrc.go.jp/WoodDB/index-E.html
nbdc00352	5S Ribosomal RNA Database		http://combio.pl/rrna/
nbdc00353	ostogenesis imperfecta & Ehlers-Danlos syndrome variant databases		http://www.le.ac.uk/genetics/collagen
nbdc00354	A List of Biodiversity Websites in Japan		http://protist.i.hosei.ac.jp/gbif/DB_list/indexE.html
nbdc00357	Algae Resource Database		http://www.shigen.nig.ac.jp/algae/
nbdc00358	Allie	A Search Service for Abbreviation / Long Form	http://allie.dbcls.jp/en
nbdc00359	Aminoacyl-tRNA synthetases database		http://rose.man.poznan.pl/aars
nbdc00360	Analysis of CASP8 targets and predictions		http://prodata.swmed.edu/CASP8/evaluation/CASP8Home.htm
nbdc00361	The Androgen Receptor Gene Mutations Database World Wide Web Server		http://androgendb.mcgill.ca/
nbdc00362	AphidBase	The Aphid Genome Database	http://bipaa.genouest.org/is/aphidbase/
nbdc00363	AQUA DNABook		http://gerg03.gsc.riken.jp/DNABook_DB/VIEW/Book_Top.php?BOOK_ID=BOOK_3
nbdc00364	Arabidopsis thaliana EST Index		https://www.kazusa.or.jp/e/plant/arabi/EST/
nbdc00365	Arabidopsis thaliana project		http://pgsb.helmholtz-muenchen.de/plant/athal/
nbdc00366	Ares lab Yeast Intron Database		http://intron.ucsc.edu/yeast4.3/
nbdc00367	ARSA	All-round Retrieval of Sequence and Annotation	http://ddbj.nig.ac.jp/arsa/
nbdc00368	AS-ALPS	Alternative splicing-induced ALteration of Protein Structure	http://as-alps.nagahama-i-bio.ac.jp/
nbdc00369	CAoGD	Comprehensive Aspergillus oryzae Genome Database	https://nribf21.nrib.go.jp/CAoGD/
nbdc00370	ASSETs	Alternative Splicing Sequence Enriched Tags	http://genome.gsc.riken.jp/splicing/
nbdc00371	ASTRA (Archive)	Alternative Splicing and Transcription Archives	https://dbarchive.biosciencedbc.jp/en/astra/desc.html
nbdc00372	AtGenExpress		http://atpbsmd.yokohama-cu.ac.jp/
nbdc00374	ATTED-II	Arabidopsis thaliana trans-factor and cis-element prediction database	http://atted.jp/
nbdc00376	BeanGenes (A Phaseolus/Vigna sp. Database)		http://beangenes.cws.ndsu.nodak.edu
nbdc00377	Biology Links		http://mcb.harvard.edu/BioLinks.html
nbdc00378	Biomarker Candidates (Inferences of Novel Biomarker Candidate Functions)		http://omicspace.riken.jp/Biomarker/
nbdc00381	BombMap	Bombyx mori genome Map information system	http://sgp.dna.affrc.go.jp/BombMap/index.html
nbdc00382	Bombyx Trap DataBase		http://sgp.dna.affrc.go.jp/ETDB/
nbdc00383	Bookshelf		http://www.ncbi.nlm.nih.gov/books
nbdc00384	Breast Tumor Image Database		http://breast-tumor.midb.jp/lib/chlang.php?lang=en
nbdc00385	Broad Institute of MIT and Harvard		http://www.broadinstitute.org/
nbdc00387	Caenorhabditis elegans WWW Server		http://elegans.som.vcu.edu/
nbdc00388	NCC-CIR	Cancer Image Reference Database	http://cir.ncc.go.jp/en/index.html
