prefix	name	synonyms	description	example	pattern	uri_format
bionemo	Biodegradation Network Molecular Biology Database		Bionemo stores manually curated information about proteins and genes directly implicated in biodegradation metabolism. The database includes information on sequence, domains and structures for proteins; and sequence, regulatory elements and transcription units for genes.	1092	^\d+$	http://bionemo.bioinfo.cnio.es/Run.cgi?rm=mode4&result=$1
biozon	Biozon		The Biozon database relies on an extensive database schema that integrates information at the macro-molecular level as well as at the cellular level, from a variety of resources to create a unified biological knowledge resource with emphasis on protein and DNA characterization and classification. The database was designed so as to allow easy integration with other data types and existing and future databases.	110194476	^\d+$	http://biozon.org/Biozon/Profile/$1
bmph	Boehringer Mannheim Biochemical Pathways Wall Chart		Digitized access to the Roche Applied Science Biochemical Pathways Boehringer Mannheim wall chart of metabolism.  Links are provided to the ENZYME database.	C4	^[A-Z]\d$	http://www.expasy.org/cgi-bin/show_image?$1
bodymap	BodyMap; Human and Mouse gene expression database		BodyMap is a data bank of exprsesion information of human and mouse genes, novel or known, in various tissues or cell types and various timings.  The first generation map was created by random sequencing of clonse in 3'-directed cDNA libraries.	GS05390	^GS\d+$	http://bodymap.ims.u-tokyo.ac.jp/[?human/mouse]/gs_card.php?gs=$1
bodymapxs	BodyMap Xs: Anatomical and Taxonomical Breakdown of Animal EST		BodyMap-Xs(cross species) is taxonomical and anatomical breakdown of latest animal EST data, clustered by UniGene and inter connected by Inparanoid.	Hs.644639	^[A-z]+.\d+$	
bps	Database of RNA Base-pair Structures		BPS is a database of RNA base pairs with quantitative information on the spatial arrangements of interacting bases, including higher-order base associations, and the context of these interactions in high-resolution crystal structures. The interactions are classified in terms of residue identities, base-pair positioning, and hydrogen-bonding patterns and related to the structural context in which they occur.	AR0023_8	^[A-Z]+\d+_\d+$	http://bps.rutgers.edu/atlas/bp_record/$1
buchnerabase	BuchneraBase: An integrated post-genomic database for Buchnera sp. APS		BuchneraBase is a database designed to encapsulate and reference information obtained from the complete genome sequence of the gamma-proteobacterium Buchnera sp. APS.	BB0299	^BB\d+$	http://www.york.ac.uk/res/thomas/Buchnerabase/resources/gene_page_aps.cfm?BBnum=$1
burulist	Buruli ulcer bacillus Database		A database dedicated to the analysis of the genome of Mycobacterium ulcerans, the Buruli ulcer bacillus. It provides a complete dataset of DNA and protein sequences derived from the epidemic strain Agy99, linked to the relevant annotations and functional assignments.	MUL_0018	^MUL_\d+$	
cancergenes	CancerGenes		The CancerGenes resource was designed to simplify the process of gene selection and prioritization in large collaborative projects. CancerGenes combines gene lists annotated by experts with information from key public databases.	NP_114172.1	^N[W/P]_\d+$	http://cbio.mskcc.org/Public/products/human_mapped/Mapback_html/$1.html
candidadb	Candida albicans Database	candida	A database dedicated to the analysis of the genome of the human fungal pathogen, Candida albicans. Its purpose is to collate and integrate various aspects of the genomic information from C. albicans, which is currently responsible for the vast majority of life-threatening fungal infections in immuno-compromized individuals. CandidaDB provides an almost complete dataset of DNA and protein sequences derived from C. albicans strain SC5314, linked to the relevant annotations and functional assignments.	CA0205	^CA\d+$	
catdb	A Complete Arabidopsis Transcriptome Database		CATdb collects together all the information on transcriptome experiments done at   URGV  with   CATMA  micro arrays	6	^\d+$	http://urgv.evry.inra.fr/cgi-bin/projects/CATdb/consult_project.pl?project_id=$1
catma	A Compelte Arabidopsis Transcriptome MicroArray Project		The aim of the Complete Arabidopsis Transcriptome MicroArray (CATMA) project was the design and production of high quality Gene-specific Sequence Tags (GSTs) covering most Arabidopsis genes. The GST repertoire is used by numerous groups for the production of DNA arrays for transcript profiling experiments.	CATMA2a00190	^CATMA\d[a-z]\d+$	
ccm	The Cancer Cell Map		The Cancer Cell Map is a selected set of human cancer focused pathways available for browsing adn searching.	148	^\d+$	http://cancer.cellmap.org/cellmap/record.do?id=$1
cged	Cancer Gene Expression Database		CGED (Cancer Gene Expression Database) is a database of gene expression profile and accompanying clinical information.Genes in CGED can be searched by 1) gene names or identifiers, or 2) gene ontology terms or keywords in functional annotations in the SwissProt, or 3) cancer types and its clinical factors, or 4) gene expression differentials based on p value or q value.	31424	^\d+$	http://lifesciencedb.jp/cgi-bin/cged/detail.cgi?ci=3&cg=$1
chickvd	Chicken Variation Database		The chicken Variation Database (ChickVD) is an integrated information system for storage, retrieval, visualization and analysis of chicken variation data.	443	^\d+$	http://chicken.genomics.org.cn/chicken/jsp/gene_report.jsp?gene_id=$1
chromdb	The Chromatin Database		The broad mission of ChromDB is display, annotate, and curate sequences of two broad functional classes of biologically important proteins: chromatin-associated proteins (CAPs) and RNA interference-associated proteins.	8	^\d+$	http://www.chromdb.org/gene_record.html?g=$1
cipro	Ciona intestinalis Protein Database		CIPRO is an integrated protein that has been developed to provide widespread information of the proteins expressed in the ascidian Ciona intestinalis, especially for the researcher who wants to get advance and useful information for starting biological and biomedical research. The protein information in CIPRO directly links to gene expression, a tool for peptide mass fingerprinting (PMF), intracellular localization, 3D image of early development, and transgenic resources.	CIPRO82.31.5	^CIPRO\d+.\d+.\d+..$	
cleanest	CleanEST		CleanEST is a database to provide cleansed EST sequences of classified dbEST libraries. All dbEST libraries were classified according to organism, sequencing center, and eVOC ontologies (for human libraries). For each dbEST library, we provide three different EST sequences: ‘raw’, ‘pre-cleansed’, and ‘user-cleansed’	21360	^\d+$	http://verdi.kobic.re.kr/cleanEST/library_view.jsp?libid=$1
clibe	Computed Ligand Binding Energy		A database for facilitating the analysis of Drug Binding Competitveness. It contains information about Computed Ligand-Receptor Interaction Energy and other attributes such as energy components; ligand classification, functions and properties.  Ligand structure is also included.	1e3z00103	^\d..[a-z]\d..\d+$	http://bidd.nus.edu.sg/group/CLiBE/Detail.asp?ID=$1
clustr	CluSTr		The CluSTr database offers an automatic classification of UniProt Knowledgebase and IPI proteins into groups of related proteins. The clustering is based on analysis of all pairwise comparisons between protein sequences. The database provides links to InterPro, which integrates information on protein families, domains and functional sites from PROSITE,  PRINTS,  Pfam,  ProDom,  SMART,  TIGRFAMs,  Gene3D, SUPERFAMILY, PIR Superfamily and  PANTHER.	2978:40.1	^[0-9A-Za-z]+:\d+:\d{1,5}(\.\d)?$	
cmr	Comprehensive Microbial Resource at the J. Craig Venter Institute		The Comprehensive Microbial Resource (CMR) is a free website used to display information on all of the publicly available, complete prokaryotic genomes.	NTL03BA0491	^$\w+$	http://cmr.jcvi.org/tigr-scripts/CMR/shared/GenePage.cgi?locus=$1
cnidbase	Cnidarian Evolutionary Genomics Database		CnidBase, the Cnidarian Evolutionary Genomics Database, is a tool for investigating the evolutionary, developmental and ecological factors that affect gene expression and gene function in cnidarians.	CNS35	^CNS\d+$	http://cnidbase.com/index.cgi?cn_accession=$1
coc_central	Conservation of Conservation Central: A database of universally conserved residues in protein folds	coc	CoC Central is a searchable database of residue conservation data covering the universe of known protein structures.	1a65A	^[A-Z,0-9]+$	
cogat	Cognitive Atlas		The Cognitive Atlas is a collaborative knowledge building project that aims to develop a knowledge base (or ontology) that characterizes the state of current thought in cognitive science	CAO_01019	^CAO_\d+$	http://www.cognitiveatlas.org/ontology/cogat.owl#$1
comparasite	Comparasite: Full-length cDNA Database		Comparasite, an integrated database of our original full-length cDNA sequence data, consists of seven sub-databases of apicomplexa protozoa, Plasmodium falciparum(12,484 cDNA sequences), Plasmodium yoelii (11,262 sequences), Plasmodium vivax (9,633 sequences), Plasmodium berghei (1,518 sequences), Toxoplasma gondii (7,400 sequences), Cryptosporidium parvum (5,921 sequences) and a tapeworm, Echinococcus multilocularis (10,966 sequences).	1833	^\d+$	
comparative_genometrics	Comparative Genometrics		Devoted to the characterization of complete chromosome sequences by standardized genometric methods, the Comparative Genometrics website displays for sequenced genomes, three different genometric analyses: the DNA walk and the GC and TA skews during the initial phase. Although primarly focused on prokaryotic chromosomes, the CG website posts genometric information on paradigm plasmids, phages, viruses, and organelles.	NC_013926	^NC_\d+$	http://www2.unil.ch/comparativegenometrics/$1.htm
covdb	Coronavirus Database		Coronavirus became a research hot spot after the outbreak of SARS in 2003. During two years study, our group identified three genotypes of CoV-HKU1 from patients and first documented recombination within human coronavirus (PubMed). At least eight bat coronaviruses were also identified by us (PubMed). This website intends to organize the genomic information and knowledge of known coronaviruses and provides some tools for sequence analysis.	8088	^\d+$	
cpndb	A Chaperonin Database	cpn	cpnDB is a curated collection of chaperonin sequence data collected from public databases or generated by a network of collaborators exploiting the cpn60 target in clinical, phylogenetic and microbial ecology studies. The database contains all available sequences for both group I and group II chaperonins.	b10409	^b\d+$	http://cpndb.cbr.nrc.ca/getRecord.php?id=$1
crest	CR-EST: The IPK Crop EST Database		The Crop EST Database (CR-EST) is a public available online resource providing access to sequence, classification, clustering, and annotation data of crop EST projects at the IPK.	PSC04L10u	^PSC\d+[a-z]$	
ctad	Cancer-Testis Antigens database		Cancer-Testis Antigens database	94	^\d+$	http://www.cta.lncc.br/modelo.php?idgene=$1&idmeta=11
ctga	Catalogue of Transmission Genetics in Arabs		The Centre for Arab Genomic Studies (CAGS) initiated the ambitious project to establish the CTGA (Catalogue of Transmission Genetics in Arabs) database for genetic disorders in Arabs with the aim to enlighten the scientific community and the public on the occurrence of inherited disorders in Arabs and to suggest future investigation strategies.	33771	^\d+$	http://www.cags.org.ae/FMPro?-db=ctga.fp5&-format=/ctga/ctga_detail.html&-lay=main&Record_Category=Gene%20locus&-max=30&-recid=$1&-find=
cyanobase	CyanoBase		CyanoBase provides an easy way of accessing the sequences and all-inclusive annotation data on the structures of the cyanobacterial genomes.	all3717	^[a-z]+\d+$	http://genome.kazusa.or.jp/cyanobase/Synechocystis/genes/$1
cybase	The Database of Cyclic Proteins		CyBase is a curated database and information source for backbone-cyclised proteins. The database incorporates naturally occurring cyclic proteins as well as synthetic derivatives, grafted analogues and acyclic permutants. The database provides a centralized repository of information on all aspects of cyclic protein biology and addresses issues pertaining to the management and searching of topologically circular sequences.	65	^\d+$	http://research1t.imb.uq.edu.au/cybase/index.php?page=card&table=protein&id=$1
cyclonet	Cyclonet		Computational modelling of mammalian cell cycle regulation is a challenging task, which requires comprehensive knowledge on many interrelated processes in the cell. We have developed a web-based integrated database on cell cycle regulation in mammals in normal and pathological states (Cyclonet database)	DGR0053	^[A-Z]+\d+$	
cygd	Comprehensive Yeast Genome Database	mips_cygd	A major part of this information gets extracted by manual annotation from the yeast literature, and results of the systematic functional analysis projects as well as cross-references to other in-house or external databases (NCBI, PIR, PEDANT, EMBL] provide complementary material. In addition information and links to related ascomycetous species are added as far as genomic information is available.	YFL039c	^\w{2,3}\d{2,4}(\w)?$	http://mips.helmholtz-muenchen.de/genre/proj/yeast/singleGeneReport.html?entry=$1
dart	Drug Adverse Reaction Targets		A database for facilitating the search for drug adverse reaction target. It contains information about known drug adverse rection targets, functions and properties.	DRT1TCCIBg	^Various$	http://xin.cz3.nus.edu.sg/group/DRT/Detail.asp?ID=$1
dbpabp	DB-PABP: a Database of Polyanion Binding Proteins		DB-PABP is an attempt to document the publicly available experimentally determined PABPs. The purpose of the database is to provide life scientists who are interested in PA/PABP interactions with a comprehensive data repository, as well as computer scientists with a publicly available dataset to perform knowledge discovery and datamining studies.	29	^\d+$	http://ppa.bcf.ku.edu/DB_PABP/protein_details.jsp?prot_id=$1
dbres	dbRES: A web-oriented database for annotated RNA Editing Site		dbRES is a web-oriented comprehensive database for RNA Editing Site. dbRES contain only experimental validated RNA Editing Site. All the data in dbRES was manually collected from literatures reporting related experiment result or the GeneBank database.	RESDB000000309	^RESDB\d+$	http://bioinfo.au.tsinghua.edu.cn/dbRES/show_record.php?resid=$1
dccp	Database of Copper-Chelating Proteins		The Database of Copper-Chelating Proteins (DCCP) is maintained by Shandong Provincial Research Center for Bioinformatic Engineering and Technique. DCCP currently contains two types of proteins, one with 3D structure, called DCCP_3D, which contains 500 entries of proteins, and the other without 3D structure, called DCCP_1D, which contains 5088 entries.	49	^\d+$	http://sdbi.sdut.edu.cn/DCCP/en/Detail1D.php?id=$1
ddbj	DNA Data Bank of Japan; a nucleotide sequence database	dbj	At present INSDC have released about 100 billion bases in total. This is the outcome of the collaboration among the three member banks for more than 20 years. However, this number will easily be surpassed when the 1000 human genomes project is completed and the result is submitted to INSDC in a few years, or even before that. DDBJ has also started to accept and release such mass sequence data.	AJ457054	^[A-Z]+\d+$	http://xml.ddbj.nig.ac.jp/rest/Invoke?service=GetEntry&method=getDDBJEntry&accession=$1
ddoc	Dragon Database for Exploration of Ovarian Cancer Genes		Many aspects of the information provided in the DDOC were curated by biologists, which emphasize its accuracy. DDOC provides details of the cell line, tissue or cell type, expression status, disease stage, tumour grade, OC type and laboratory method provided in the literature. The links to the relevant sources of data used to extract information related to genes are also included.	42	^\d+$	http://apps.sanbi.ac.za/ddoc/details_general.php?geneID=$1
ded	The Diatom EST Database		Diatoms are photosynthetic unicellular eukaryotes that play an essential role in marine ecosystems. On a global scale, they generate around one fifth of the oxygen we breathe. On this web site we present searchable databases of diatom ESTs (expressed sequence tags) that can be used to explore diatom biology.	PTMM00967	^PT[A-Z]+\d+$	
defensins_knowledgebase	Defensins Knowledgebase		The defensins knowledgebase is a manually curated database and information source devoted to the defensin family of antimicrobial peptides. The current version of the database holds a comprehensive collection of over 350 defensin records each containing sequence, structure and activity information. A web-based interface provides access to the information and allows for text-based searching on various data fields. With the rapidly increasing interest in defensins, we hope that the knowledgebase will prove to be a valuable resource in the field of antimicrobial peptide research.	177	^\d+$	http://defensins.bii.a-star.edu.sg/pops/pop_proteinDetails.php?id=$1
deg	Database of Essential Genes		DEG hosts records of currently available essential genes among a wide range of organisms. For prokaryotes, DEG contains essential genes in more than 10 bacteria, such as E. coli, B. subtilis, H. pylori, S. pneumoniae, M. genitalium and H. influenzae, whereas for eukaryotes, DEG contains those in yeast, humans, mice, worms, fruit flies, zebra fish and the plant A. thaliana.	DEG10130001	^DEG\d+$	
diprodb	Dinucleotide Property DataBase		The Dinucleotide Property Database is designed to collect and analyse thermodynamic, structural and other dinucleotide properties. The table presenting all the dinucleotide properties can be pruned and rearranged by different criteria. The database contains different export and analysis functions.	15	^\d+$	
dpr	DNASU Plasmid Repository		In order to simplify and streamline the transfer of plasmid materials to researchers, we have developed a novel strategy to avoid the most common concern encountered when distributing plasmids, namely the complexity of material transfer agreement (MTA) processing and the resulting delays this causes.  The Expedited Process MTA, in which we created a network of institutions that agree to the terms of transfer in advance of a material request, eliminates these delays.  By creating a repository of plasmids and expediting the process for receiving these plasmids, we strive to accelerate the accessibility and pace of scientific discovery.	75687	^\d+$	http://dnasu.asu.edu/DNASU/GetCloneDetail.do?cloneid=$1
dsmm	Database of Simulated Molecular Motions		The purpose of this database is to provide an easily-searchable source of information about movies showing biomolecular motions that have been generated by computer simulation.	115	^\d+$	
ebi.genomes	EBI Genomes		The Ensembl Genome Browser provides the best possible automatic annotation, graphical views and web-searchable datasets for a number of eukaryotic genomes including human, mouse, drosophila, anopheles, zebrafish with others to follow	EF432053	^[A-Z]+\d+$	
egad	EGAD database at the J. Craig Venter Institute	jcvi_egad	A database used to store gene, protein and TIGRFam/HMM information. Shows description of given EGAD, including name, nucleotide and protein information, and accession information used to derive EGAD term.	10532	^\d+$	
ego	Eukaryotic Gene Orthologs		Eukaryotic Gene Orthologues (EGO) at DFGI are generated by pair-wise comparison between the Tentative Consensus (TC) sequences that comprise the Dana Farber Gene Indices from individual organisms. The reciprocal pairs of the best match were clustered into individual groups and multiple sequence alignments were displayed for each group. The EGO database can be accessed through the SEARCH function.	971701	^\d+$	http://compbio.dfci.harvard.edu/tgi/cgi-bin/tgi/ego/ego_report.pl?ego=$1
embl	EMBL nucleotide sequence database	emb, embl-cds, embl_con, embl_tpa, emblwgs	International nucleotide sequence database collaboration, comprising EMBL-EBI nucleotide sequence data library (EMBL-Bank), DNA DataBank of Japan (DDBJ), and NCBI GenBank.	AA816246	^[A-Z]+\d+$	http://srs.ebi.ac.uk/srsbin/cgi-bin/wgetz?-page+EntryPage+-e+[EMBL:$1]+-view+EmblEntry
emglib	Enhanced Microbial Genomes Library		The purpose of this database is to integrate various aspects on the genomic information of these organisms. It integrates completely sequenced genomes taken from the bacterial genome division of GenBank. Each genome is inserted in the database as a single entry. EMGLib allows one to easily browse through these data and retrieve information, using various criteria (keywords, sequence names, accession numbers, etc.)	A00794	^[A-Z]+\d+$	http://pbil.univ-lyon1.fr/cgi-bin/acnuc-search-id?query=$1&db=GenBank
endonet	EndoNet		EndoNet is a database that provides information about endocrine networks. Using information about hormones' donor and acceptor cells a network is built that represents hormonal signaling pathways as a bipartite graph comprising hormones and tissues as node classes.	290	^\d+$	http://endonet.bioinf.med.uni-goettingen.de/hormonedetail?id=$1
epcondb	EPConDB: A resource of the Beta Cell Biology Consortinum		EPConDB is a resource of the Beta Cell Biology Consortium which displays information about genes expressed in cells of the pancreas and their transcriptional regulation.	110671376	^\d+$	http://www.cbil.upenn.edu/epcondb42/showRecord.do?name=TranscriptRecordClasses.TranscriptRecordClass&project_id=GenomicsBC&primary_key=$1
epgd	Eukaryotic Paralog Group Database		The database is gene-centered and organized by paralog family. It focused on the paralogs and the duplication events in the evolution. The paralog families and paralogons can be searched by text or sequence, and are downloadable from the website in plain text files.	3096	^\d+$	http://epgd.biosino.org/EPGD/gene/geneinfor.jsp?geneID=$1
ergr	Ethanol Related Gene Resource		The aim of the Ethanol-Related Gene Resource (ERGR) database is to provide a comprehensive and useful gene resource to the Ethanol/Alcohol research community. Currently, the ERGR database contains more than 30 large datasets from literature and 21 mouse QTLs from public database.	305351	^\d+$	http://bioinfo.vipbg.vcu.edu/ERGR/geneinfo.php?id=$1
everest	EVolutionary Ensembles of REcurrent SegmenTs		EVEREST combines methodologies from the fields of finite metric spaces, machine learning and statistical modeling and achieves state of the art results. Our process begins by constructing a database of protein segments that emerge in an all vs. all pairwise sequence comparison.	P-11000522	^[A-Z]+-\d+$	
evola	Evolutionary Annotation Database		Evola contains ortholog information of all human genes among vertebrates. Orthologs are a pair of genes in different species that evolved from a common ancestral gene by speciation. In Evola, orthologs were detected by comparative genomics and amino acid sequence analysis (Computational analysis).	HIT000030236	^HIT\d+$	http://www.h-invitational.jp/evola_main/annotation.cgi?hit=$1
eyesite	EyeSite Database		The EyeSite database is an information and modelling resource for families of proteins that function in the eye. Homologues are collected from all species and clustered according to tissue type, function and sequence similarity. A principal feature of the site is structural annotations,which range from experimentally solved structures to close structural neighbours to distant structure predictions.	341	^\d+$	http://eyesite.cryst.bbk.ac.uk/cgi-bin/get_family_page.cgi?FAMILY=$1
ezcatdb	EzCatDB: A Database of Enzyme Catalytic Mechanisms		The EzCatDB database analyzes and classifies enzyme catalytic mechanisms on the basis of information from literature and data that are derived from entries in the Protein Data Bank (PDB).	T00024	^[A-Z]\d+$	http://mbs.cbrc.jp/EzCatDB/search/get.do?dbcode=$1
fgdb	Fusarium graminearum Genome Database		The MIPS Fusarium graminearum Genome Database aims to present information on the molecular structure and functional network of the entirely sequenced, filamentous fungus Fusarium graminearum (Anamorph of Gibberella zeae).	FGSG_14032	^FGSG_\d+$	http://mips.helmholtz-muenchen.de/genre/proj/FGDB/singleGeneReport.html?entry=$1
flight	FLIGHT		FLIGHT is an online resource compiling data from over 100 Drosophila in vivo and in vitro RNAi screens. FLIGHT includes details of RNAi reagents, and their predicted off-target effects, alongside RNAi screen hits, scores and phenotypes (including images and movies for high-content screens).	3489915	^\d+$	http://flight.licr.org/browse/view_rnai_hits.jsp?project_id=[$project_id]&screen_id=$1
flytf	The Drosophila Transcription Factor Database		FlyTF is an integrated database of genomic and protein data for Drosophila site-specific transcription factors.	122057953	^\d+$	http://www.flytf.org/flytfmine/objectDetails.do?id=$1
flytrap	FlyTrap: GFP Protein Trap Database		This database presents the current results of large scale protein trapping screens that provide both information on which cells express each tagged gene, and subcellular localization of GFP-tagged proteins.	BA00127	^BA\d+$	unavailable
flyview	FlyView: A Drosophila Image Database		FlyView is the beginning of an image database on Drosophila development and genetics, especially on expression patterns of genes (enhancer trap lines, cloned genes).The concept of FlyView includes compatibility to FlyBase, the main Drosophila database.	P0160	^P\d+$	
frnadb	fRNAdb: A comprehensive, non-coding RNA sequence database		fRNAdb is a database for comprehensive non-coding RNA sequences.	FR021747	^FR\d+$	http://www.ncrna.org/frnadb/detail.html?i_name=$1
fugoid	FUGOID: a Database for Functional Genomics of Organelle Introns		FUGOID collects and integrates various structural and functional data on organellar (mitochondrial and chloroplast) introns, particularly functional information about intron splicing and mobility. It is implemented in a relational database management system and can be searched either by intron information or by a major reference.	14	^\d+$	http://fugoid.webhost.utexas.edu/introndata/full_display.cfm?intronID=$1
g2cdb	Genes to Cognition Database		Genes to Cognition (G2C) is a neuroscience research programme with the dual aim of discovering fundamental biological principles and important insights into brain disease.	M00000026	^[A-Z]\d+$	
gabikat	GABI-Kat: generation of flanking sequence tags (FSTs) from T-DNA mutagenised A. thaliana plants		GABI-Kat SimpleSearch is a database of flanking sequence tags (FSTs) of T-DNA mutagenized Arabidopsis thaliana lines that were generated by the GABI-Kat project.	048E04	^\d+[A-Z]\d+$	
geisha	Gallus Expression in situ Hybridization Analysis		GEISHA is the online repository of in situ hybridization and corresponding metadata for genes expressed in the chicken embryo during the first six days of development.	2740	^\d+$	http://geisha.arizona.edu/geisha/search.jsp?gene=$1
genetrees	GeneTrees: A Phylogenomics Resource		This database provides an interface to databases and analysis methods designed to explore the global phylogenetic patterns of gene homology groups within and across species. GeneTrees consists of several databases of pre-compiled alignments and gene phylogenies for a variety of taxonomic groups.	70552	^\d+$	http://genetrees.vbi.vt.edu/GetAlignment?al=$1
genomereviews	Genome Reviews; an annotated view of completely sequenced genomes		The Genome Reviews database provides an up-to-date, standardised and comprehensively annotated view of the genomic sequence of organisms with completely deciphered genomes including the genomes of archaea, bacteria, bacteriophages and selected eukaryota	34577	^\d+$	http://www.ebi.ac.uk/integr8/OrganismSelection.do?action=makeCurrent&proteomeId=$1
genomernai	GenomeRNAi		The database contains phenotypes from cell-based RNA interference (RNAi) screens in Drosophila and Homo sapiens. In addition, the database provides an updated resource of RNAi reagents and their predicted quality that are available for the Drosophila and the human genome.	394269	^\d+$	http://rnai.dkfz.de/GenomeRNAi/genedetails/$1
