prefix	name	description
HGNC-UCL	UCL-based HGNC	While based at UCL, HGNC provided GO annotations for proteins during the process of assigning approved gene names and symbols
HPA_antibody	Human Protein Atlas antibody information	
HUGO	Human Genome Organisation	
iBB	iBeetleBase	RNAi phenotypes for beetle (Tribolium) genes
IMG	Integrated Microbial Genomes; JGI web site for genome annotation	
iPTMnet	iPTMnet protein post-translational modification database	
IRGC	International Rice Genebank Collection	
IRIC	International Rice Research Institute	
IUPHAR/BPS	IUPHAR/BPS Guide to Pharmacology	
Jaiswal_Lab	Jaiswal_Lab	
JaponicusDB	JaponicusDB	
LIFEdb	LifeDB	LifeDB is a database for information on protein localization, interaction, functional assays and expression.
MACSC_REF	Maize Genetics and Genomics Database	
MaizeGDB_QTL	Maize Genetics and Genomics Database	
MaizeGDB_REF	Maize Genetics and Genomics Database	
MaizeGDB_stock	Maize Genetics and Genomics Database	
MEROPS_fam	MEROPS peptidase database	
MGCSC_GENETIC_STOCKS	Maize Genetics and Genomics Database	
MIPS_funcat	MIPS Functional Catalogue	
MITRE	The MITRE Corporation	
ModBase	ModBase comprehensive Database of Comparative Protein Structure Models	
NASC_code	Nottingham Arabidopsis Stock Centre Seeds Database	
NC-IUBMB	Nomenclature Committee of the International Union of Biochemistry and Molecular Biology	
NCBI	National Center for Biotechnology Information	
NCBI_GP	NCBI GenPept	
NCBI_locus_tag	NCBI locus tag	
NTNU_SB	Norwegian University of Science and Technology, Systems Biology team	
OMSSA	Open Mass Spectrometry Search Algorithm	
ParkinsonsUK-UCL	Parkinsons Disease Gene Ontology Initiative	
PATRIC	PathoSystems Resource Integration Center	PathoSystems Resource Integration Center at the Virginia Bioinformatics Institute
PhenoScape	PhenoScape Knowledgebase	
PHI-base	Pathogen-Host Interactions Database	PHI-base catalogues experimentally verified pathogenicity, virulence and effector genes from fungal, Oomycete and bacterial pathogens, which infect animal, plant, fungal and insect hosts.
PIR	Protein Information Resource	
PlantSystematics_image_archive	PlantSystematics.org	
PO_REF	Plant Ontology custom references	
POC	Plant Ontology Consortium	
Pompep	Schizosaccharomyces pombe protein data	
PPI	Pseudomonas syringae community annotation project	
protein_id	DDBJ / ENA / GenBank	protein identifier shared by DDBJ/EMBL-bank/GenBank nucleotide sequence databases
PseudoCAP	Pseudomonas Genome Project	
PSORT	PSORT protein subcellular localization databases and prediction tools for bacteria	
RefGenome	GO Reference Genomes	
RiceSES	Rice Knowledge Bank	
Sanger	Wellcome Trust Sanger Institute	
SGD_LOCUS	Saccharomyces Genome Database	
SGD_PWY	Saccharomyces Genome Database YeastPathways	
SGD_REF	Saccharomyces Genome Database	
SGN_germplasm	Sol Genomics Network	
SGN_ref	Sol Genomics Network	
Soy_gene	SoyBase	
SOY_QTL	SoyBase	
SOY_ref	SoyBase	
SUPERFAMILY	SUPERFAMILY protein annotation database	A database of structural and functional protein annotations for completely sequenced genomes
SynGO	The Synapse Gene Ontology and Annotation Initiative	
SynGO-UCL	The Synapse Gene Ontology and Annotation Initiative at UCL	
SYSCILIA_CCNET	Syscilia	A systems biology approach to dissect cilia function and its disruption in human genetic disease
TGD_LOCUS	Tetrahymena Genome Database	
TGD_REF	Tetrahymena Genome Database	
TIGRFAMS	TIGRFAMs HMM collection at the J. Craig Venter Institute	
TRANSFAC	TRANSFAC database of eukaryotic transcription factors	
TreeGenes	Forest Tree Genome Database	
TreeGrafter	TreeGrafter-generated GO annotations	
UM-BBD	EAWAG Biocatalysis/Biodegradation Database	
WikipediaVersioned	WikipediaVersioned	
YeastFunc	Yeast Function	
YuBioLab	CITGeneDB	CITGeneDB is a comprehensive database of human and mouse genes enhancing or suppressing Cold-Induced Thermogenesis (CIT).
