prefix	name	homepage	description
BIPOM			BiPOm 1. Copyright of ontology The ontology was created jointly by the BioSys group at the research unit of Applied mathematics and computer science from genomes to the environment (MaIAGE) of the Institut National de la Recherche Agronomique (INRA) France, by the group the Large-scale Heterogeneous DAta and Knowledge (LaHDAK team) of the Laboratoire de recherche en informatique (LRI) of the Université Paris-Sud/CNRS, France and by the Département MMIP AgroParisTech of the INRA, France. INRA, Agroparistech and Université Paris-Sud own the copyright of the ontology BiPOm. 2. License terms The ontology BiPOm is licensed under the Creative Commons Attribution 4.0 Unported (CC BY 4.0) license. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, 444 Castro Street, Suite 900, Mountain View, California, 94041, USA.  3. Notice This product contains references to classes of the Gene Ontology (GO) (http://geneontology.org/) developed by the Gene Ontology consortium, licensed under the terms Creative Commons Attribution 4.0 Unported license (https://creativecommons.org/licenses/by/4.0/). This product contains references to classes of the Chemical Entities of Biological Interest (ChEBI) (https://www.ebi.ac.uk/chebi/init.do) developed by the ChEBI consortium. This product contains references to classes of the Sequence Ontology (SO) (http://www.sequenceontology.org/) developed by the SO consortium and are freely reusable. This product contains references to classes of the Systems Biology Ontology (SBO) (http://www.ebi.ac.uk/sbo/main/) developed by the SBO consortium, licensed under the terms of Artistic License 2.0 (https://opensource.org/licenses/artistic-license-2.0.php). This product contains references to properties of the Relation Ontology (RO) (http://www.obofoundry.org/ontology/ro.html) developed by the OBO foundry, licensed under the terms Creative Commons Attribution 3.0 Unported License (https://creativecommons.org/licenses/by/3.0/). This product contains references to properties of the Basic Formal Ontology (BFO) (http://ifomis.uni-saarland.de/bfo/) developed by the BFO consortium, licensed under the terms Creative Commons Attribution 3.0 Unported License (https://creativecommons.org/licenses/by/3.0/). 4. Contact For questions and remarks concerning BiPOm: Anne Goelzer Anne.Goelzer
BIPON			BiPON 1. Copyright of ontology The ontology was created jointly by the BioSys group at the research unit of Applied mathematics and computer science from genomes to the environment (MaIAGE) of the Institut National de la Recherche Agronomique (INRA) France and by the group Bioinformatics of the Laboratoire de recherche en informatique (LRI) of the Université Paris-Sud/CNRS, France. INRA and Université Paris-Sud own the copyright of the ontology BiPON. 2. License terms The ontology BiPON is licensed under the Creative Commons Attribution 4.0 Unported (CC BY 4.0) license. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, 444 Castro Street, Suite 900, Mountain View, California, 94041, USA.  3. Notice This product contains references to classes of the Gene Ontology (GO) (http://geneontology.org/) developed by the Gene Ontology consortium, licensed under the terms Creative Commons Attribution 4.0 Unported license (https://creativecommons.org/licenses/by/4.0/). This product contains references to classes of the Chemical Entities of Biological Interest (ChEBI) (https://www.ebi.ac.uk/chebi/init.do) developed by the ChEBI consortium. This product contains references to classes of the Sequence Ontology (SO) (http://www.sequenceontology.org/) developed by the SO consortium and are freely reusable. This product contains references to classes of the Systems Biology Ontology (SBO) (http://www.ebi.ac.uk/sbo/main/) developed by the SBO consortium, licensed under the terms of Artistic License 2.0 (https://opensource.org/licenses/artistic-license-2.0.php). This product contains references to properties of the Relation Ontology (RO) (http://www.obofoundry.org/ontology/ro.html) developed by the OBO foundry, licensed under the terms Creative Commons Attribution 3.0 Unported License (https://creativecommons.org/licenses/by/3.0/). This product contains references to properties of the Basic Formal Ontology (BFO) (http://ifomis.uni-saarland.de/bfo/) developed by the BFO consortium, licensed under the terms Creative Commons Attribution 3.0 Unported License (https://creativecommons.org/licenses/by/3.0/). 4. Contact For questions and remarks concerning BiPON: Anne Goelzer Anne.Goelzer@inra.fr
BIRTHONTO			Registered @ Creative Commons license (CCL) protected.
BMS-LM			BMS-LM is a core ontology that reuses the BFO top ontology. It covers biomedical studies lifecycle and provenance management with a maximum reuse of existent ontologies. It reuses mainly OBI, IAO, RO from the OBO foundry consortium
BMT			BioMedical Topics : an ontology of biological and biomedical topics, created from merging the EDAM Topics sub-ontology with auxiliary topics that are out of scope of EDAM.
BNO			
BOF			
BP			This is version 0.94 of the BioPAX Level 3 ontology. The goal of the BioPAX group is to develop a common exchange format for biological pathway data. More information is available at http://www.biopax.org. This ontology is freely available under the LGPL (http://www.gnu.org/copyleft/lesser.html).
BP-METADATA			
BPT			
BRAIN-COF			An ontology for representing neuroanatomical concepts alligned with the Desikan–Killiany–Tourville (DKT) atlas. Our ontology explicitly encodes a priori neuroanatomical relationships amongst brain regions using hierarchical relationships, and implements computationally efficient calculation of volumetric deviation.
BRCT			The brain cell-type ontology describes the types of both neural and non-neural cells in the human brain. The cell types are integrated into their corresponding anatomical hierarchies.
BRIDG	Biomedical Research Integrated Domain Group (BRIDG) Domain Analysis Model		The Biomedical Research Integrated Domain Group (BRIDG) Model is a collaborative effort . The BRIDG model is an instance of a Domain Analysis Model (DAM). The goal of the BRIDG Model is to produce a shared view of the dynamic and static semantics for the domain of protocol-driven research and its associated regulatory artifacts. This domain of interest is further defined as:   Protocol-driven research and its associated regulatory artifacts: i.e. the data, organization, resources, rules, and processes involved in the formal assessment of the utility, impact, or other pharmacological, physiological, or psychological effects of a drug, procedure, process, or device on a human, animal, or other subject or substance plus all associated regulatory artifacts required for or derived from this effort, including data specifically associated with post-marketing adverse event reporting.
BRO			
BSAO			
BT	BioTop		Upper-Level ontology for Biology and Medicine. Compatible with BFO, DOLCE, and the UMLS Semantic Network (mapping files available)
BT-ONTOLOGY	The Brainteaser Ontology		The BRAINTEASER Ontology (BO) jointly models both Amyotrophic Lateral Sclerosis (ALS) and Multiple Sclerosis (MS). BO serves multiple purposes: • to provide a unified and comprehensive conceptual view about ALS and MS, which are typically dealt with separately, allowing us to coherently integrate the data coming from the different medical partners in the project; • to seamlessly represent both retrospective data and prospective data, produced during the lifetime of BRAINTEASER; • to allow for sharing and re-using the BRAINTEASER datasets according to Open Science and FAIR principles.
BTO-BFO	Brinell Test Ontology (BTO)		Brinell Test Ontology (BTO) has developed for representing the Brinell testing process, testing equipment requirements, test pieces charactristics, and related testing parameters and their measurement procedure according to DIN EN ISO 6506-1 standard.
BTO-EMMO	Brinell Test Ontology (BTO)		Brinell Test Ontology (BTO) has developed for representing the Brinell testing process, testing equipment requirements, test pieces charactristics, and related testing parameters and their measurement procedure according to DIN EN ISO 6506-1 standard.
BTO-PROVO	Brinell Test Ontology (BTO)		Brinell Test Ontology (BTO) has developed for representing the Brinell testing process, testing equipment requirements, test pieces charactristics, and related testing parameters and their measurement procedure according to DIN EN ISO 6506-1 standard.
BTO_ONTOLOGY			
CABRO			
CANCO			
CAO			Lin Y, Xiang Z, He Y. Towards a Semantic Web application: Ontology-driven ortholog clustering analysis. International Conference on Biomedical Ontologies (ICBO), University at Buffalo, NY, July 26-30, 2011. Full length paper. Page 33 - 40. http://www.hegroup.org/docs/OntoCOG_ICBO-2011_Proceeding.pdf
CARELEX			
CARESSES	CARESSES Ontology		The CARESSES Ontology encodes guidelines defined by experts in Transcultural Nursing, with the aim of offering a specific tool for endowing social assistive robots (assisting older adults) with cultural competence.
CAROLIO	Caroli Ontology		Caroli Ontology is an Ontology desined for describing the symptoms, treatment, and outcomes of Caroli disease and syndrome. This ontology uses relation ontology (RO), Symptom Ontology and Human Disease Ontology as upper level ontologies.
CARRE			
CASE-BASE-ONTO			
CBO			https://creativecommons.org/licenses/by/3.0/
CCONT	cell culture ontology		
CCTOO			
CDMONTO			
CDO	Chinese Diabetes Mellitus Ontology		CDMO is an OWL 2 ontology designed to cover the diabetes mellitus knowledge represented in chinese language. The ontology is based on BFO and OGMS. In addition, the hierarchical structure was adapted from SNOMED-CT, and strive for mapping with other medical ontologies, such as SNOMED-CT, HPO, DOID, DRON.
CDOH			
CDPEO			
CEDARVS			CEDAR Value Sets Ontology
CHD			
CHEAR			Children's health and wellbeing are influenced by interactions between environmental and genetic factors. NIEHS is establishing an infrastructure, the Children's Health Exposure Analysis Resource (CHEAR), to provide the extramural research community access to laboratory and data analyses that add or expand the inclusion of environmental exposures in children's health research. The goal of CHEAR is to provide tools so researchers can assess the full range of environmental exposures which may affect children's health. We anticipate that CHEAR will be used by children's health researchers conducting epidemiological or clinical studies that currently have limited consideration of environmental exposures, or those who have collected exposure data but seek more extensive analyses. Read more at: https://www.niehs.nih.gov/research/supported/exposure/chear/
CHO			
CHRO	OBO Relations Ontology		The OBO Relations Ontology (RO) is a collection of OWL relations (ObjectProperties) intended for use across a wide variety of biological ontologies.
CIINTEADO			This file contains develomental stages for Ciona intestinalis. Stages were initially defined by K. Hotta and published on the FABA website (http://chordate.bpni.bio.keio.ac.jp/faba/). They are also used in the Aniseed system (http://www.aniseed.cnrs.fr/). File contains anatomical territory definition from Aniseed
CISAVIADO			This file contains develomental stages for Ciona intestinalis. Stages were initially defined by K. Hotta and published on the FABA website (http://chordate.bpni.bio.keio.ac.jp/faba/). They are also used in the Aniseed system (http://www.aniseed.cnrs.fr/). File contains anatomical territory definition from Aniseed
CKDO			
CMDO			
CMR-QA			
CN			This Ontology provides knowledge in computer network domain on various perspectives like scope, scale, topology, communication media, OSI model, TCP/ IP model, protocol, security, network operating system, network hardware and performance.
CNO	Computational Neuroscience Ontology		This ontology is used to add the Definition class of annotation as in NIF. The source of the definition can be defined with class from OBO-annotation
CO-WHEAT			Maize trait ontology is prepared by Rosemary Shrestha, CIMMYT for Generation Challenge Program.
CODO	CODO: an Ontology for collection and analysis of COviD-19 data		
COGAT			
COGITO			
COGPO			
COHSI2STUDY			
COID			combined ontology for inflammatory diseases
COKPME	COKPME - COVID19 Ontology for analysing Karnataka Private Medical Establishment data		This is for analyzing the wave 2 of COVID19. Dateset - Anonymised sample data for testing the ontology. This is the evaluation version. The ontology will be used by analysts for finding the relative and precautionary measures that can be put in action for controlling the spread. Also, it should be able to handle the competence question like:  Which properties of the patient should be considered for modeling  Which properties of patient changes  Which properties of patient confirm COVID positive  Do the symptom of the patient change over a time ***  Do the treatment provided depends on the category of patient  Do other comorbid conditions derive any interestingness ****  Which symptom is high in a particular district? (Or) Does the geographical location influence the patient category These keep change over an iterative process of ontology development
COMET	linkml-common		
COMO			
COMODI			
CONDOR			
CONTSONTO	Formal Ontology for Continuity of Care		A formal ontology of concepts for care process modelling (Contsys). A system of concepts for the continuity of care. A visualisation of a model conforming to International Standard EN ISO 13940:2016. And extended concepts related to soical care.
COPDO	COPD ontology		The COPD Ontology is a biomedical ontology used for modelling concepts associated to chronic obstructive pulmonary disease in routine clinical databases.
COPPER	COntextualised and Personalised physical activity and Exercise Recommendations Ontology		The COPPER ontology was developed to support personalised and context-aware recommendations for physical activity action and coping plans within an interdisciplinary research project between the faculty of psychology and educational sciences and the faculty of engineering and architecture at Ghent University. Please find more information about COPPER here: https://github.com/EBehaviourChange-COPPER/ontology. To learn more about the development of COPPER, please see: http://doi.org/10.1186/s12966-025-01744-5
COSTART	CST		RDF Version of the UMLS ontology CST; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
COVID-19-ONT-PM			
COVID19-IBO			
COVIDCRFRAPID	WHO COVID-19 Rapid Version CRF Semantic Data Model		This is a semantic data model for the WHO's COVID-19 case record form RAPID version from April 08, 2020. It aims at providing semantic references to the questions and answers of the form.
CPRO	A formal, uniform list of archetypal artifacts in Computer-based Patient Records		The CPR ontology has as its domain of discourse, the domain of clinical medicine and the related    information content and other ”digital entities” that comprise CPR content. It is intended for use as a    coordinate system for managing or eliciting precise meanings of terminology used by healthcare professionals    within subdomains of clinical medicine for (meaningful) use in an application.
CPTAC			
CRENO	Culture, Race, Ethnicity, and Nationality Ontology		
CSEO			
CSSO	CSSO: Clinical Signs and Symptoms Ontology		An ontology for describing clinical signs and symptoms.
CSTD			
CTGO	Clinical Trials Gov Ontology		
CTO-NDD			
CTONT			Author: Ravi Shankar, Stanford Medical Informatics
CTU_BEREADY_GEM			
CTX			
CU-VO			This ontology provides a structured, standardized manner for representing animal venoms and venom components.
CVAO	Stroke Ontology (STO)		The Stroke Ontology (STO) is a disease-specific ontology to representation of the Stroke knowledge domain.
CVO			
CWD			
CXSO	Cathexis Somatic Ontology		A formal vocabulary and relational schema for encoding body-based therapeutic experience computationally. Defines entity classes for anatomical zones, sensation qualities, neurobiological organization patterns (territories), therapeutic change mechanisms, brain regions, ecological layers, and intervention architectures, organized within a Markov blanket framework.
CYTO			
D3O	DSMZ Digital Diversity Ontology		The DSMZ Digital Diversity Ontology (D3O) is an ontology designed to standardize and integrate data related to microbial diversity and associated resources within the context of the DSMZ’s Digital Diversity Knowledge Graph. This ontology provides a structured framework to represent various aspects of microbial data, including taxonomic information, strain properties, cultivation conditions, and media links. D3O facilitates cross-referencing between internal DSMZ datasets and external biological resources, supporting enhanced data discovery, interoperability, and research in microbiology, genomics, and metabolomics. The ontology includes both object properties, which link entities such as bacterial strains to external resources (e.g., literature references or media descriptions), and data properties, which associate entities with literal values (e.g., taxonomic identifiers, growth conditions). Designed for use in RDF-based knowledge graphs, D3O supports flexible integration with other life science ontologies, promoting consistency and reuse in the broader scientific community.
DATACITE-VOCAB			
DATAHUB			
DCAT-FDC	Datakatalogvokabular		DCAT er et RDF-vokabular som har til formål at understøtte interoperabilitet mellem datakataloger udgivet på nettet. Ved at anvende DCAT til at beskrive datasæt i datakataloger, kan udgivere øge findbarhed og gøre det gøre det lettere for applikationer at anvende metadata fra forskellige kataloger. Derudover understøttes decentraliseret udstilling af kataloger og fødererede datasætsøgninger på tværs af websider. Aggregerede DCAT-metadata kan fungere som fortegnelsesfiler der kan understøtte digital bevaring. DCAT er defineret på http://www.w3.org/TR/vocab-dcat/. Enhver forskel mellem det normative dokument og dette schema er en fejl i dette schema.
DCAT3	データ・カタログ語彙（DCAT）		هي أنطولوجية تسهل تبادل البيانات بين مختلف الفهارس على الوب. استخدام هذه الأنطولوجية يساعد على اكتشاف قوائم البيانات المنشورة على الوب و يمكن التطبيقات المختلفة من الاستفادة أتوماتيكيا من البيانات المتاحة من مختلف الفهارس.
DCM			"DICOM PS3.16 DCMR Annex D DICOM Controlled Terminology Definitions; converted by ""extractdcmdefinitionsasowl.xsl""."
DCO	Dispedia Vocabulary (Core Ontology)		Diese Ontologie (Vokabular) enthält alle Kern-Konzepte des Dispedia Informationslogistik Systems.
DDIEM			
DDSS			
DEB	Devices, Experimental scaffolds and Biomaterials Ontology		An ontology developed to facilitate information curation in the area of medical devices, experimental scaffolds and biomaterials. The ontology was designed to complement existing medical vocabularies, with emphasis on material procesing, structures and features associated with biomaterials and experimental scaffolds.
DECIDE	DECIDE Aquaculture and Livestock Ontology		This ontology was developed as part of the DECIDE EU 2020 project to support data integration, classification, and knowledge modeling in the domain of aquaculture. It provides a structured, upper-level framework for representing species (such as salmon, cattle, poultry, and pigs), production systems, measurement events, and health-related information including clinical signs, diagnostics, and interventions. The ontology is designed to be modular and extensible, and it can be adapted or reused for terrestrial livestock species such as cattle, poultry, and pigs. seeAlso: LivestockHealthOntology https://bioportal.bioontology.org/ontologies/LHO Its purpose is to facilitate harmonized data representation for improved disease surveillance, risk assessment, and decision support across livestock sectors.
DEMLAB	Dem@Care Lab Ontology for Dementia Assessment		The ontology has been developed in the framework of the Dem@Care project for representing the experimentation protocol towards diagnostic support and assessment of Dementia in a controlled environment. The aim of the protocol is to provide a brief overview of their health status of the participants during consultation (cognition, behaviours and function), and to correlate the system (sensor) data with the data collected using typical dementia care assessment tools. The ontology describes the basic Steps of the experimentation protocol (Directed Activities, Semi-directed Activities and Free Discussion with the Clinician), the Tasks that are involved, as well as the measurement types relevant to each Task. The defined protocol can be reused and further extended, adding new steps, tasks and measured data. Documentation regarding the ontology vocabulary can be found at http://www.demcare.eu/ontologies/demlab.html
DERMLEX			
DHMO	RADx Data Hub Metadata Ontology		
DIAB			
DIAGONT			
DIKB			"Authors: Richard D. Boyce, PhD*, Carol Collins**, John Horn**, Ira Kalet**, John Gennari**. *University of Pittsburgh Department of Biomedical Informatics **All authors are currently with the University of Washington. This project is supported by a grant from the National Library of Medicine: ""Addressing gaps in clinically useful evidence on drug-drug interactions"" (1R01LM011838-01)"
DILON			
DLORO			
DMDSONT			
DOCCC			
DOREMUS-KEYS			
DOVES	Digital medicine Outcomes Value Set (DOVeS) Ontology		The Digital medicine Outcomes Value Set (DOVeS) ontology aims to provide users with a set of ontologically structured healthcare outcomes (clinical, operational, economic, technical, and others) tailored to digital medicine and digital therapeutic applications.
DRANPTO	Dementia-Related Agitation Non-Pharmacological Treatment Ontology		
DREAMDNPTO	Dementia-Related Emotional And Mood Disturbance Non-Pharmacological Treatment Ontology		This ontology represents the domain knowledge specific to non-pharmacological treatment of emotional and mood disturbances (including depression, apathy, anxiety, and euphoria in dementia) in people with dementia living in the long-term care setting.
DRPSNPTO	Dementia-Related Psychotic Symptoms Non-Pharmacological Treatment Ontology		The DRPSNPTO ontology represents the domain knowledge specific to non-pharmacological treatment of psychotic symptoms in dementia in the long-term care setting.
DSEO			
DSIPFL7			
EBP			The Behaviour Change Technique Taxonomy
ECP	Electronic Care Plan Ontology		The proposed ontology is useful for managing (as metadata) formal care plans (such as clinical guidelines, clinical protocols and clinical pathways) in a much more beneficial way than they are currently used.
EDAM-BIOIMAGING	EDAM (Bio)imaging ontology		An ontology of imaging and related techniques and technologies, image processing and analysis, image data and formats, within bio- and other sciences.
EDDA_PT	EDDA Publication Types Taxonomy		The EDDA Publication Types Taxonomy (v1.0) was developed by Tanja Bekhuis (Principal Scientist) and Eugene Tseytlin (Systems Developer) of the Evidence in Documents, Discovery, and Analytics (EDDA) Group. The EDDA Group is a division of TCB Research & Indexing LLC. Variants include synonyms for preferred terms, singular and plural forms, and American and British spellings. Definitions, if they exist, are mainly from MeSH, NCIT, Emtree, and medical dictionaries. The EDDA Publication Types Taxonomy by Tanja Bekhuis and Eugene Tseytlin is licensed under a Creative Commons Attribution–NonCommercial–ShareAlike 4.0 International License (CC BY-NC-SA 4.0). For information about this license, see https://creativecommons.org/licenses/by-nc-sa/4.0/.
EDEM-CONNECTONTO			Developed in Protege 5.6.3
EDONTOLOGY			Abid Ali Fareedi
ELD			
ELECTRICA	ELECTRICA Ontology		The ELEctronic tool for Clinicians, Teachers and Researchers In Child Abuse (ELECTRICA) Ontology describes concepts from reports of cases of child abuse or suspected child abuse, with a focus on fractures identified from radiological investigations, the characteristics of those fractures, and the family and medical history of the patients.
ELTER_CL			
EMIF-AD			Alignment with tranSMART hierarchy
ENDOH			
ENTITY			This ontology defines the identified entity membership relationships from ISO 15926-2:2003. The selected relationships are found on the POSC Caesar Trac: http://trac.posccaesar.org/wiki/ISO15926inOWLPart2EntityMembership?version=9
