prefix	name	description
FAIRsharing.02d7d2	DataFirst	The University of Cape Town DataFirst Data Portal is a research data service that provides access to a wide range of survey, census, and administrative microdata from South Africa and many other African countries. It offers detailed dataset documentation and metadata to support academic and policy research.
FAIRsharing.02xjaW	CyVerse Data Common Repository	The Data Commons provides services to manage, organize, preserve, publish, discover, and reuse data. Using our pipelines, you can easily publish data to the NCBI or directly to the CyVerse Data Commons. CyVerse Curated Data are stable and have DOIs. Community Released Data are maintained by community members and may not be permanent.
FAIRsharing.03755a	Avibase	Avibase is an extensive database information system about all birds of the world, containing over 53 million records about 10,000 species and 22,000 subspecies of birds, including distribution information for 20,000 regions, taxonomy, synonyms in several languages and more.
FAIRsharing.040f8d	Blocks of finite groups	Blocks of finite groups is a research database and collaborative wiki dedicated to the study of block theory in finite group representation theory. It gathers classifications, known results, conjectures, and references related to blocks, including information on Morita equivalence classes and Donovan’s conjecture.
FAIRsharing.043068	Open Access Series of Imaging Studies	The Open Access Series of Imaging Studies (OASIS) is a publicly accessible collection of brain neuroimaging datasets designed for research in basic and clinical neuroscience. It provides MRI (and in some releases PET and clinical) scans along with associated clinical and cognitive data from participants across the adult lifespan, including individuals with normal aging and Alzheimer’s disease.
FAIRsharing.044959	VegBank	VegBank is the vegetation plot database of the Ecological Society of America’s Panel on Vegetation Classification. It integrates three linked databases containing plot records, recognized vegetation types from the U.S. National Vegetation Classification, and plant taxa from ITIS/USDA along with others from plot records.
FAIRsharing.0468e5	L-functions and modular forms database	The LMFDB is a database of mathematical objects (L-functions, modular forms, and related objects) arising in number theory and arithmetic geometry that illustrates some of the mathematical connections predicted by the Langlands program. The goal is to describe this data in ways that faithfully exhibit the connections between these objects and prompt further exploration and discovery.
FAIRsharing.046ae2	The Chandra Data Archive	The Chandra Data Archive (CDA) plays a central role in the operation of the Chandra X-ray Center (CXC) by providing support to the astronomical community in accessing Chandra data. The CDA offers access to digital archives through powerful query engines, including VO-compliant interfaces and also serves as a permanent storage repository of contributed data products by authors who have processed images or other pertinent and valuable datasets that are essential to their publications.
FAIRsharing.0490e9	SMOKA Science Archive	SMOKA is a publicly accessible archive operated by Astronomy Data Archives Center (ADAC) of the National Astronomical Observatory of Japan. It provides raw and archival optical and infrared observational data collected from multiple Japanese telescopes (such as the Subaru Telescope, 188 cm telescope at Okayama, and 105 cm Schmidt at Kiso). Its mission is to support the astronomical research community by making large volumes of observational frames (tens of millions) and many hundreds of TB of data openly searchable and retrievable.
FAIRsharing.04bb4d	Research Platform for Jewish Epigraphy	Epidat - The Database of Jewish epigraphy - provides the inventory, documentation, editions and presentation of epigraphical collections.
FAIRsharing.04da56	OLOS	OLOS is the consultation and archive portal of Switzerland. OLOS supports Open Data and offers ways to explore data and associated metadata from archives.
FAIRsharing.04e24e	Risklayer Explorer	Risklayer Explorer is a global risk and disaster analytics platform developed by Risklayer GmbH in collaboration with the Center for Disaster Management and Risk Reduction Technology (CEDIM) at the Karlsruhe Institute of Technology. It provides open access to near-real-time and historical data on natural hazards (e.g., earthquakes, tropical cyclones), climate risk indicators, and socio-environmental analytics via interactive maps and metrics. The platform integrates multiple datasets and visualizations to support research, decision-making, and public awareness of disaster risks and resilience.
FAIRsharing.04fa58	An Atlas of Chiral Polytopes for Small Almost Simple Groups	This Atlas contains all chiral polytopes whose automorphism group is an almost simple group G such that S <= G <= Aut(S) and S is a simple group of order less than 1 million appearing in the Atlas of Finite Groups by Conway et al.
FAIRsharing.04fcf5	EMDataResource	Three-dimensional Electron Microscopy (3DEM) has become a key experimental method in structural biology for a broad spectrum of biological specimens from molecules to cells. The EMDataResource project provides a unified portal for deposition, retrieval and analysis of 3DEM density maps, atomic models and associated metadata.
FAIRsharing.051951	RODARE	RODARE is an open research data repository operated by Helmholtz-Zentrum Dresden-Rossendorf (HZDR). It enables researchers to publish, preserve, and share datasets, software, and other research outputs.
FAIRsharing.052828	nmrXiv	nmrXiv (pronounced nm-archive) is a FAIR and Open, Consensus-Driven Nuclear Magnetic Resonance (NMR) Data Repository and Computational platform. It is currently being developed as a part of the NFDI4Chem initiative with the ultimate goal of accelerating broader coordination and data sharing among researchers by creating a platform for managing, sharing, and analyzing raw and processed NMR spectral data.
FAIRsharing.0590c7	McMaster Multi-Regional Hospital Coronavirus Registry	The Coronavirus (COVID-19) Registry (COREG) is a comprehensive registry platform that facilitates uniform data collection of patients both tested for COVID-19 and those admitted with suspected or confirmed COVID-19. It is an extension of the ISARIC-WHO case report form (CRF) to capture information of local importance to understand spread, disease course, and comparative outcomes.
FAIRsharing.05a3d5	City of Lethbridge Open Data Catalogue	The City of Lethbridge Open Data Catalogue is a municipal open-data platform providing public access to datasets about the city and its services. It includes a wide range of geospatial, demographic, environmental, transportation, infrastructure, planning, and public-service data, such as streets, parcels, trees, census information, recreation facilities, and waste management. The data can be explored and downloaded for public use, supporting research, analysis, and community applications.
FAIRsharing.05e1a4	Database of Somatic Mutations in Normal Cells	The Database of Somatic Mutations in Normal Cells (DSMNC) provides a catalogue of somatic single nucleotide variations (SNVs) occurring in single cells from various human and mouse normal tissues.
FAIRsharing.05ef15	RosDok	RosDok repository is the platform for online publication and long term archiving of digital documents for the University of Rostock.
FAIRsharing.060a1b	BAOBAB	BAOBAB (Base Afrique de l’Ouest Beyond AMMA Base) is a scientific information system focused on environmental research in West Africa. It brings together data from several research projects covering meteorology, atmospheric chemistry, hydrology, extreme events, health, and human adaptation to environmental changes. The database is used to catalogue and disseminate datasets from projects such as AMMA, AMMA-CATCH, AEROCLO, DACCIWA, and FENNEC.
FAIRsharing.063366	Biodiversity Network of the Humboldt-Ring	BiNHum is a joint project of five natural history museums and research collections representing the Humboldt-Ring. BiNHum is a data portal for the consolidation of collection data from the Humboldt-Ring institutes and their associate. It provides querying of the biodiversity data, data mining, data standardisation, and digitized data. Collection objects from herbaria, zoological and palaeontological collections of the participating institutions and partners can be searched.
FAIRsharing.064549	EpiDB	EpiDB is a platform for sharing processed NGS data useful as reference information and data reuse to link genotype to phenotype in domestic food animal species.
FAIRsharing.066302	ConsensusPathDB	ConsensusPathDB-human integrates interaction networks in Homo sapiens including binary and complex protein-protein, genetic, metabolic, signaling, gene regulatory and drug-target interactions, as well as biochemical pathways. Data originate from currently 31 public resources for interactions and interactions that we have curated from the literature. The interaction data are integrated in a complementary manner (avoiding redundancies), resulting in a seamless interaction network containing different types of interactions.
FAIRsharing.066ce6	DataRepositoriUM	Data Repository of the University of Minho to share, publish and manage research data from University of Minho research units.
FAIRsharing.066ede	Princeton Data Commons	Princeton Data Commons is a multidisciplinary digital repository offering expert curation services and designed to archive and publicly disseminate data and code that are the result of research activities by Princeton University's research community.
FAIRsharing.06afa9	Dataverse at University of Milan	Data@UNIMI is University of Milan's Research Data Repository, based on Dataverse - open source repository software built by Harvard University. The objective of Dataverse service is to enable research data deposit, management, search, sharing and reuse. When the researchers deposit their research data in BOARD, they will effectively make their research data public and citable, share their data, ensure long-term preservation, and implement an effective versioning policy.  All deposited Datasets have necessary metadata that facilitates discoverability.
FAIRsharing.06bb12	Digital South Asia Library	The Digital South Asia Library (DSAL) provide digital materials for reference and research on South Asia to scholars, public officials, business leaders, and other users.
FAIRsharing.06c5cb	ProtVar	ProtVar (Protein Variation) is a resource to investigate missense variation in humans by presenting annotations which may be relevant to interpretation.
FAIRsharing.0736e1	bioRxiv	bioRxiv is a free online archive and distribution service for unpublished preprints in the life sciences. It is operated by Cold Spring Harbor Laboratory, a not-for-profit research and educational institution. By posting preprints on bioRxiv, authors are able to make their findings immediately available to the scientific community and receive feedback on draft manuscripts before they are submitted to journals. Articles in the physical sciences, mathematics, or social sciences should only be posted on bioRxiv if they have direct relevance to the life sciences. Articles in these areas that are not relevant to life sciences should instead be posted on servers such as arXiv, which bioRxiv is intended to complement.
FAIRsharing.074668	RESPECT	The RESPECT database is part of a research platform developed within a scientific project studying environmental change in tropical ecosystems, particularly in South Ecuador. It provides access to datasets related to biodiversity, climate, soil properties, and ecosystem processes collected through field observations and monitoring systems. The database supports interdisciplinary research on how environmental changes affect ecosystem functions and feedback mechanisms in biodiversity hotspots. Overall, it serves as a repository for sharing and reusing ecological and environmental data generated by the RESPECT research unit.
FAIRsharing.07621e	The Encyclopedia of Polyhedra	This collection of thousands of virtual reality polyhedra is a free self-contained easy-to-explore tutorial, reference work, and object library for people interested in polyhedra.
FAIRsharing.07ac45	UCAR Digital Asset Services Hub	A beta version of the UCAR data asset search. Metadata is compiled from a number of data repositories managed by UCAR into the DASH Search to support cross-organizational data searches.
FAIRsharing.07c876	Angewandte Repository	Phaidra is the digital repository of the University of Vienna in Austria. It’s an institutional platform for the long-term archiving, indexing, and secure storage of digital assets such as research data, publications, teaching materials, and multimedia.
FAIRsharing.07c8a1	Brain Transcriptome Database	The Brain Transcriptome Database (BrainTx) project aims to create an integrated platform to visualize and analyze our original transcriptome data and publicly accessible transcriptome data related to the genetics that underlie the development, function, and dysfunction stages and states of the brain.
FAIRsharing.07cf72	WorkflowHub	The WorkflowHub is a registry of scientific workflows. WorkflowHub aims to facilitate discovery and re-use of workflows in an accessible and interoperable way. This is achieved through extensive use of open standards and tools, including CWL, RO-Crate, Bioschemas and GA4GH's TRS API, in accordance with the FAIR principles. WorkflowHub supports workflows of any type in its native repository.
FAIRsharing.07f04a	DCAT Application profile for data portals in Europe	DCAT-AP is a DCAT profile for sharing information about Catalogues containing Datasets and Data Services descriptions in Europe, under maintenance by the SEMIC action, Interoperable Europe. This Application Profile provides a minimal common basis within Europe to share Datasets and Data Services cross-border and cross-domain.
FAIRsharing.081d15	Open Data Infrastructure for Social Science and Economic Innovations Portal	The ODISSEI Portal is a metadata catalogue. It combines metadata from a wide variety of research data repositories into a single interface, allowing for advanced semantic queries to support findability, and facilitate data access. The ODISSEI Portal is under active development and features and content will be improved throughout the ODISSEI Roadmap project (until the end of 2024).
FAIRsharing.0828ec	SCIP (Substances of Concern In articles) Database	SCIP is the database for information on Substances of Concern In articles as such or in complex objects (Products) established under the Waste Framework Directive (2008/98/EC). Any company supplying articles containing SVHCs on the ECHA Candidate List in concentration above 0.1% w/w on EU market must submit information on these articles to the SCIP database from 5 January 2021.
FAIRsharing.085189	Robert Koch Institut Publication Server	The RKI Publication Server is the institutional open-access repository of the Robert Koch Institute (RKI), Germany’s national public health institute. It provides access to scientific publications, research data, reports, surveillance materials, historical documents, and academic theses produced by or associated with the RKI.
FAIRsharing.08525f	A database of Galois polynomials	PARI/GP is a cross platform and open-source computer algebra system designed for fast computations in number theory: factorizations, algebraic number theory, elliptic curves, modular forms, L functions... It also contains a wealth of functions to compute with mathematical entities such as matrices, polynomials, power series, algebraic numbers, etc., and a lot of transcendental functions as well as numerical summation and integration routines. PARI is also available as a C library to allow for faster computations.
FAIRsharing.085e23	SUNScholarData	SUNScholarData is an institutional research data repository which can be used for the registration, archival storage, sharing and dissemination of research data produced or collected in relation to research conducted under the auspices of Stellenbosch University. The repository has a public interface which can be used for finding content. It also has private user accounts which can be used by Stellenbosch University users in order to upload, share or publish their research data. In addition to this Stellenbosch University researchers can also use SUNScholarData in order to collaborate with researchers from other institutions whilst working on their research projects. The repository creates a medium through which Stellenbosch University’s research data can be made findable and accessible. It also facilitates the interoperability and re-usability of the university’s research data.
FAIRsharing.08f055	DR-NTU (Data)	DR-NTU (Data) is an institutional research data repository of Nanyang Technological University (NTU), Singapore. The repository has a mission to curate, store, preserve, make available and enable the download of digital data generated by the NTU research community in various disciplines. The repository develops and provides guidance for managing, sharing, and reusing research data to promote responsible data sharing in support of open science and research integrity.
FAIRsharing.091c24	INFRA-ART Spectral Library	The INFRA-ART Spectral Library is a FAIR data service designed as a digital support tool for heritage research specialists working with spectroscopic techniques. With over 2,000 curated spectra, the database allows users to analyze and compare the spectral signatures of a wide range of reference materials, facilitating the identification of 'unknown' samples. The INFRA-ART Spectral Library has been designed, implemented, and optimized over several years, and it currently integrates ATR-FTIR, XRF, Raman, and SWIR reflectance spectra on over 1000 different materials typically found in works of art.
FAIRsharing.095469	Swiss National Data and Service Center for the Humanities	The Swiss National Data and Service Center for the Humanities (DaSCH) digital repository allows long-term access to qualitative data in the Humanities, and provides data deposition and discovery facilities. DaSCH has been created in accordance with the FAIR principles and various international standards for interoperability. The repository accepts “simple” datasets in form of flat files as well as a project-specific “complex” datasets with data based on project/user-specific data models. Multiple data types are allowed, including qualitative data such as text, images, digital facsimile, sound files, and videos.
FAIRsharing.096d5e	Global Atmosphere Watch Station Information System	The Global Atmosphere Watch (GAW) is a worldwide system established by the World Meteorological Organization, a United Nations agency, to monitor trends in the Earth's atmosphere. GAWSIS is the official catalogue of GAW stations and Contributing networks. It provides the GAW community and other interested people with an up-to-date, searchable data base of : station characteristics, measurements programs and data available, instrument, contact people, bibliographic references. GAWSIS also serves as a repository for supporting documents.
FAIRsharing.09c000	Birkbeck Research Data Repository	The Birkbeck Research Data Repository (BiRD) is an institutional data archive managed by Birkbeck, University of London. It stores and preserves research datasets produced by the university’s academics and postgraduate researchers.
FAIRsharing.09e6e9	Psoriasis Patient Registry for Outcomes, Therapy and Epidemiology of COVID-19 Infection	PsoProtect is an international registry for health care providers to report outcomes of COVID-19 in individuals with psoriasis. It provides regular, open access summaries of all reported cases, for the benefit of the international psoriasis community.
FAIRsharing.09eee6	Repository of the University of Life Sciences in Lublin, Poland	The purpose of the Repository of the University of Life Sciences in Lublin is to disseminate the academic achievements of the University employees and to promote research conducted at the University. The repository contains resources from various fields of life sciences. Only the community of the University is allowed to upload new records.
FAIRsharing.0a09bf	Langley Open Data Portal	The Langley Open Data Portal is an open-access platform that provides public datasets created by the local government the Township of Langley, Canada. It offers a wide range of non-personal information such as property data, infrastructure, environmental features, and community services, often presented through maps and downloadable formats. The portal is designed to support transparency and enable residents, researchers, and developers to explore and reuse municipal data.
FAIRsharing.0a42a6	Databrary	Databrary is a restricted access data library that is specialized for storing, streaming, and sharing video and audio recordings collected as research data or documentation. Databrary supports sharing of many types of research data and documentation beyond video and audio. Based at New York University, Databrary's mission is to support data sharing among researchers in the behavioral, social, educational, developmental, neural, and computer sciences.
FAIRsharing.0a615a	AtomDB	AtomDB is a comprehensive atomic-data library used to model the X-ray (and UV/extreme-UV) emission from hot, collisionally ionized astrophysical plasmas.
FAIRsharing.0a7bed	Global Precipitation Measurement	The Global Precipitation Measurement (GPM) mission is an international satellite program led by NASA and JAXA that measures rain and snowfall around the world from space. It uses a core observatory satellite and a constellation of partner satellites to provide near-global precipitation data every few hours. GPM’s data improve our understanding of the Earth’s water cycle, weather forecasting, and extreme climate events.
FAIRsharing.0ad681	Mutational data for protein solubility	SoluProtMutDB is a comprehensive, manually curated database of the protein solubility data. Low protein solubility presents major challenges to industrial applications and is often reported to be behind many human diseases. Understanding how mutations affect protein solubility can therefore help elucidate the mechanisms associated with the development of human diseases and better utilize protein engineering in industrial applications. Multiple factors may play a role here: the presence of a chaperone or co-factor required for correct protein folding, unnatural physiological conditions such as high temperature, pH, or protein concentration, tendency of a protein to aggregate due to aggregation-prone regions, etc. The predictive power of the existing protein engineering tools is often compromised by limited experimental data available for rigorous training and testing of solubility predictions. The published data used for solubility prediction upon mutation are usually scattered in the literature and had to be collected manually. The goal of the SoluProtMut database is to collect the reported evidence of solubility changes upon mutations from published sources to guide future protein engineering effort in producing soluble protein variants. The database currently contains data previously used for training Machine Learning-based predictors, such as PON-Sol, CamSol, AGGRESCAN3D, OptSolMut, as well as recently published datasets. We are providing manually curated and reliable data in the standardized format which are pre-processed for machine learning applications.
FAIRsharing.0apk2r	smartAPI repository	The smartAPI repository is a human and machine accessible database of web-based application programming interfaces that are described using the smartAPI specification (based on the OpenAPI initiative).
FAIRsharing.0b5a1d	National Cancer Institute Imaging Data Commons	NCI Imaging Data Commons (IDC) is a cloud-based repository of publicly available cancer imaging data co-located with the analysis and exploration tools and resources. IDC is a node within the broader NCI Cancer Research Data Commons (CRDC) infrastructure that provides secure access to a large, comprehensive, and expanding collection of cancer research data.
FAIRsharing.0b6eda	Radiocarbon Palaeolithic Europe Database	The Radiocarbon Palaeolithic Europe Database stores available radiometric data taken from literature and from other more restricted databases. Data is collected by continuous checking of newly published articles in hundreds of international and regional scientific journals and in collections or books dealing with a particular period or a specific Paleolithic site. User submissions are also accepted. Please note that this database is only available for download and local use via Microsoft Access or, in a more limited way, via Excel. As such, its accessibility is limited.
FAIRsharing.0b711a	EarthExplorer	EarthExplorer (EE) provides online search, browse display, metadata export, and data download for earth science data from the archives of the U.S. Geological Survey (USGS). This includes aerial photography, satellite data, elevation data, land-cover products, and digitized maps.
FAIRsharing.0b833c	International Food Policy Research Institute Dataverse	The IFPRI Dataverse is an open online collection of research datasets published by the International Food Policy Research Institute, covering topics like agriculture, food security, livelihoods, and socio-economic policy.
FAIRsharing.0bc849	i6eal Open AI Data Catalogue	i6eal Open AI Data Catalogue is a searchable and machine-readable catalogue of 16 public datasets on artificial intelligence in Germany and the European Union. It covers public procurement, federal budgets, case law, supervision, standardisation, transparency, enterprise adoption, parliamentary accountability, state-level evidence, platform automation, medical devices, enforcement and clinical trials. Each dataset separates source coverage from i6eal's observation period and provides source, methodology, cadence, rights, and one or more JSON, CSV or Atom distributions. The catalogue exposes DCAT-AP JSON-LD and an OpenAPI 3.0.3 description; no authentication, registration, quota or rate limit is required. The CC BY 4.0 licence applies only to i6eal's compilation, structure and original descriptions; underlying records retain the rights and reuse terms of their named official sources.
FAIRsharing.0bd687	National 3D Data Repository	The National 3D Data Repository is the preferred backup solution for 3D data produced in the context of projects in Higher Education and Research in Digital Humanities. It benefits from a secure backup environment for 3D data provided by Huma-Num. Its development and maintenance are ensured by Archeovision. Its specifications are the result of work carried out within the Consortium 3D SHS.
FAIRsharing.0c1bd4	arXiv	arXiv is a free distribution service and an open-access archive for nearly 2.4 million scholarly articles in the fields of physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering and systems science, and economics. Materials on this site are not peer-reviewed by arXiv.
FAIRsharing.0c5afa	INGV Open Data Registry	The INGV Open Data Portal is a public catalogue that provides access to metadata and research data produced or managed by the Italian National Institute of Geophysics and Volcanology. It centralizes information about datasets related mainly to earthquakes, volcanoes, and environmental geophysics.
FAIRsharing.0c684e	Kujawsko-Pomorska Digital Library	The Kujawsko-Pomorska Digital Library, created by the Nicolaus Copernicus University Library in Toruń, is a long-term project that began in 2005 to preserve and provide access to regional and national cultural and scientific resources. Its collections include digitized scientific works, cultural heritage materials (such as manuscripts, old prints, and maps), regional publications, music scores, and other valuable items.
FAIRsharing.0c6bc2	FlyAtlas 2	FlyAtlas 2 is the RNA-Seq successor to the original FlyAtlas (which was based on microarray analysis). Specifically, FlyAtlas 2 now provides access to: transcript information, sex-specific data for adult somatic tissues, and micro-RNA genes. FlyAtlas2 supports search by gene, category or tissue; and functionality has been improved through mobile support and the option to download results in spreadsheet format. Gene coverage has been extended by the inclusion of microRNAs and many of the RNA genes included in Release 6 of the Drosophila reference genome. The web interface has been modified to accommodate the extra data, but at the same time has been adapted for viewing on small mobile devices. Users also have access to the RNA-Seq reads displayed alongside the annotated Drosophila genome in the (external) UCSC browser, and are able to link out to the previous FlyAtlas resource to compare the data obtained by RNA-Seq with that obtained using microarrays.
FAIRsharing.0c6fea	Ontology Cross Reference Service	The Ontology Cross Reference Service (OxO) provides a database of ontology cross-references (or xrefs). These xrefs have been extracted from various sources including ontologies loaded into the Ontology Lookup Service and from sources such as the UMLS. OxO also allows users to upload their own mappings. The OxO website provides an interface for search the OxO database. From the homepage you can search for mappings for a given identifier. OxO supports searching by a range of identifier types including both prefixed CURIE identifiers and full ontology term URIs. OxO contains an extensive set of known identifier prefixes that it uses to resolve identifiers (e.g. both MSH and MeSH are known prefixes used to identify terms from the MesH vocabulary). OxO allows mapping between ontologies and supports user configuration of search and also sharing of mappings created for specific contexts.
FAIRsharing.0ce6b6	Accelerating Medicines Partnership in Common Metabolic Diseases Knowledge Portal	The Common Metabolic Diseases Knowledge Portal (CMDKP) aggregates and analyzes genetic association results, epigenomic annotations, and results of computational prediction methods to provide data, visualizations, and tools in an open-access portal. The aim of the CMDKP is to facilitate research on the molecular basis of complex diseases, including type 1 and type 2 diabetes, cardiovascular and cerebrovascular disease, and sleep disorders.
FAIRsharing.0ced67	INCLUDE Data Hub	The INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project is an NIH-wide collaboration that seeks to improve health and quality-of-life for people with Down syndrome. The INCLUDE Project Data Coordinating Center and partners created the INCLUDE Data Hub, a centralized data resource that allows access to large-scale clinical and multi-omics datasets specific to Down syndrome and supports collaborative, cloud-based analysis to accelerate scientific discoveries related to Down syndrome and its co-occurring conditions.
FAIRsharing.0d5ab5	Ecosounds	Ecosounds is a repository of environmental audio recordings. This website facilitates the management, access, visualization, and analysis of environmental acoustic data.
FAIRsharing.0d626c	Indian Crop Phenome Database	The Indian Crop Phenome Database (ICPD) is a centralized and structured repository that archives high-quality phenotypic data collected from Indian crop field experiments. It supports a wide range of crops, experimental conditions, and agronomic traits. The database is aligned with international metadata standards, provides persistent unique IBDC accessions, and promotes the FAIR principles (Findable, Accessible, Interoperable, Reusable). ICPD facilitates data submission, search, visualization, and download for researchers, breeders, and policy makers.
FAIRsharing.0d9792	Liver Case Ontology	Liver Case Ontology (LiCO) is a case-centric ontology for liver patient cases.
FAIRsharing.0db6d6	RADAR4Culture	RADAR4Culture is a low-threshold and easy-to use service for sustainable publication and preservation of cultural heritage research data. It offers free publication for any data type and format according to the FAIR principles, independent of the researcher´s institutional affiliation. Through persistent identifiers (DOI) and a guaranteed retention period of at least 25 years, the research data remain available, citable and findable long-term. Currently, the offer is aimed exclusively at researchers at publicly funded research institutions and (art) universities as well as non-commercial academies, galleries, libraries, archives and museums in Germany. No contract is required and no data publication fees are charged. The researchers are responsible for the upload, organisation, annotation and curation of research data as well as the peer-review process (as an optional step) and finally their publication.
FAIRsharing.0dbe5b	CIS-BP	CIS-BP (Catalog of Inferred Sequence Binding Preferences) is an open biological database that catalogues DNA-binding transcription factors and their sequence-binding motifs across a wide range of species. It integrates experimentally determined and computationally inferred binding preferences, enabling researchers to explore transcription factor function and gene regulation. The database also provides tools for motif comparison, transcription factor prediction, and DNA sequence scanning, making it a valuable resource for regulatory genomics and computational biology.
FAIRsharing.0dc8e7	Energy Data Centre	"The Energy Data Centre holds research data, metadata only records for data; grey literature and information on funded projects in the energy research field. It is a capability of the UK Energy Research Centre and is funded by UKRI. UKERC's vision is ""Independent whole systems research for a sustainable energy future"" and the EDC's vision within that is ""access to energy information now, and for the future"""
FAIRsharing.0dd54d	Fluid mechanics vocabulary	This vocabulary gathers the main concepts describing fluid mechanics. It is derived from the vocabulary used until 2015 to index the bibliographic references of the PASCAL database (https://pascal-francis.inist.fr/) produced by Inist, and has been enhanced with more recent concepts.
FAIRsharing.0e09c2	Research data repository of the Universität Innsbruck	The University of Innsbruck's research data repository serves the long-term storage and/or publication of research data.
FAIRsharing.0e2b98	Precision Medicine Ontology	The PreMedOnto ontology can be used for NLP (Natural Language Processing) applications in the Precision Medicine domain.
FAIRsharing.0e42aa	European Synchrotron Radiation Facility Data Portal	The European Synchrotron Radiation Facility (ESRF) Data Portal stores all experimental data and corresponding metadata produced at the facility. An anonymous login is available to search public data.
FAIRsharing.0e7353	Open Data Kingston	Open Data Kingston is the City of Kingston’s public open data portal that offers free access to a wide range of municipal datasets for anyone to explore, download, or use via APIs. It supports transparency, innovation, and public engagement by providing information on topics like demographics, transportation, environment, and city services. The portal also includes dashboards and tools to visualize data and help citizens, researchers, and developers derive insights.
