pubmed	relevant	orcid	date_curated	relevancy_type	pr_added	notes
39201310	0	0009-0009-5240-7463	2024-10-14	irrelevant_other	1223	
39212696	0	0009-0009-5240-7463	2024-10-14	irrelevant_other	1223	
39213392	1	0009-0009-5240-7463	2024-10-16	new_provider	1223	Provider for hgnc.symbol
39215721	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39224843	1	0009-0009-5240-7463	2024-10-19	new_prefix	1223	Identifiers for genomic data about Asteraceae family
39227781	0	0009-0009-5240-7463	2024-10-17	irrelevant_other	1223	
39228707	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39229008	0	0009-0009-5240-7463	2024-10-17	irrelevant_other	1223	
39230707	0	0009-0009-5240-7463	2024-10-17	irrelevant_other	1223	
39233898	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39235746	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39237205	0	0009-0009-5240-7463	2024-10-17	irrelevant_other	1223	
39268315	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39279874	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39282297	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39294369	1	0009-0009-5240-7463	2024-10-19	new_provider	1223	Provider for hgnc.symbol. UniProt IDs also present in URL
39339901	0	0009-0009-5240-7463	2024-10-19	irrelevant_other	1223	
39341795	1	0009-0009-5240-7463	2024-10-19	new_prefix	1223	Identifiers for non-coding RNA biomarkers for cancers
39341994	0	0009-0009-5240-7463	2024-10-15	not_identifiers_resource	1223	
39345624	1	0009-0009-5240-7463	2024-10-19	new_publication	1223	Publication for sgd and sgd.pathways
39373530	1	0009-0009-5240-7463	2025-02-15	new_prefix	1418	
39379619	1	0009-0009-5240-7463	2024-11-26	new_provider	1285	Provider for UniProt
39399372	0	0009-0009-5240-7463	2024-11-19	irrelevant_other	1288	
39401100	1	0009-0009-5240-7463	2024-11-20	new_publication	1264	Publication for intact and intact.molecule
39413165	1	0009-0009-5240-7463	2024-11-20	new_prefix	1268	Identifiers for synthetic binding proteins
39427279	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39436020	1	0009-0009-5240-7463	2024-11-25	new_provider	1282	Provider for PDB
39436046	1	0009-0009-5240-7463	2025-02-16	new_prefix	1424	
39436594	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39436595	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39438113	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39441075	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39464853	0	0009-0009-5240-7463	2024-11-19	irrelevant_other	1288	
39467848	0	0009-0009-5240-7463	2024-11-26	irrelevant_other	1288	
39470701	1	0009-0009-5240-7463	2024-11-26	new_publication	1286	Publication for mobidb
39470706	1	0009-0009-5240-7463	2024-11-19	not_notable	1263	Resolving identifiers from multiple namespaces; database not very extensive
39480818	0	0009-0009-5240-7463	2024-11-20	irrelevant_other	1288	
39493756	0	0009-0009-5240-7463	2024-11-25	not_identifiers_resource	1288	
39494269	0	0009-0009-5240-7463	2024-11-25	irrelevant_other	1288	
39498478	1	0009-0009-5240-7463	2024-11-25	new_publication	1283	Publication for gold
39498484	1	0009-0009-5240-7463	2024-11-27	unclear	1288	Provider for ensembl IDs, issue with curation due to multiple URI formats. Similar case: (PMID: 39104285)
39498494	1	0009-0009-5240-7463	2024-11-30	new_prefix	1287	Unclear if numbers in URL are identifiers or arbitrary numbers
39506806	0	0009-0009-5240-7463	2024-12-09	irrelevant_other	1305	
39519363	0	0009-0009-5240-7463	2024-12-10	irrelevant_other	1305	
39526195	0	0009-0009-5240-7463	2024-12-05	irrelevant_other	1296	
39526373	1	0009-0009-5240-7463	2024-12-04	new_publication	1296	This is a publication for ncbi generally, does not fit well into any existing prefix
39526381	1	0009-0009-5240-7463	2024-12-01	new_publication	1290	Publication for refseq
39526397	1	0009-0009-5240-7463	2024-12-16	new_publication	1334	Publication for corum
39526405	1	0009-0009-5240-7463	2024-12-09	new_publication	1299	Publication for rfam
39530327	1	0009-0009-5240-7463	2024-12-09	not_notable	1305	
39531038	0	0009-0009-5240-7463	2024-12-10	irrelevant_other	1305	
39534879	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39535044	1	0009-0009-5240-7463	2024-12-16	new_publication	1333	Publication for insdc
39535054	1	0009-0009-5240-7463	2024-12-14	new_prefix	1330	Identifiers for clinical and pre-clinical biomarkers
39535874	1	0009-0009-5240-7463	2024-12-05	not_notable	1296	This database website is very low quality and fails to resolve many of its own IDs
39540428	1	0009-0009-5240-7463	2024-12-14	new_publication	1329	Publication for pfam
39540430	1	0009-0009-5240-7463	2024-12-10	new_prefix	1301	Identifiers for secondary metabolite biosynthetic gene clusters and sources
39540736	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39540856	0	0009-0009-5240-7463	2024-12-05	non_resource_paper	1296	
39546404	0	0009-0009-5240-7463	2024-12-05	not_identifiers_resource	1296	
39552041	1	0009-0009-5240-7463	2024-12-01	new_publication	1292	Publication for UniProt
39553733	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39554224	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39558158	1	0009-0009-5240-7463	2024-12-09	new_publication	1299	Publication for gpcrdb
39558178	1	0009-0009-5240-7463	2024-12-07	new_prefix	1298	New database for NASA GeneLab (ngl) resource. Re-labels existing entries with new identifiers
39558183	1	0009-0009-5240-7463	2024-12-16	new_publication	1333	Publication for string
39558184	1	0009-0009-5240-7463	2024-12-09	new_publication	1299	Publication for genbank
39558187	1	0009-0009-5240-7463	2024-12-11	new_publication	1304	Publication for rgap
39559979	0	0009-0009-5240-7463	2024-12-10	irrelevant_other	1305	
39565202	1	0009-0009-5240-7463	2024-12-05	new_publication	1292	Publication for InterPro
39565206	1	0009-0009-5240-7463	2024-12-16	new_publication	1333	Publication for cath
39565895	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39566524	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39567709	0	0009-0009-5240-7463	2024-12-09	irrelevant_other	1305	
39574394	1	0009-0009-5240-7463	2024-12-10	new_provider	1300	Provider for UniProt
39574417	1	0009-0009-5240-7463	2024-12-05	new_publication	1292	Publication for BindingDB
39576581	1	0009-0009-5240-7463	2024-12-06	new_provider	1297	This resource is a provider for UniProt IDs
39578229	0	0009-0009-5240-7463	2024-12-11	irrelevant_other	1305	
39588755	1	0009-0009-5240-7463	2024-12-06	new_prefix	1295	Identifiers for microbially derived natural products
39588778	1	0009-0009-5240-7463	2024-12-10	new_publication	1299	Publication for coconut
39591252	1	0009-0009-5240-7463	2024-12-11	not_notable	1305	
39592010	1	0009-0009-5240-7463	2024-12-13	new_prefix	1328	Identifiers for cis-regulatory elements (CREs)
39592652	0	0009-0009-5240-7463	2024-12-10	not_identifiers_resource	1305	
39607847	0	0009-0009-5240-7463	2024-12-03	irrelevant_other	1296	
39611775	0	0009-0009-5240-7463	2024-12-11	non_resource_paper	1305	
39616207	0	0009-0009-5240-7463	2024-12-09	irrelevant_other	1305	
39617063	0	0009-0008-8406-631X	2025-01-25	irrelevant_other	1380	
39618964	1	0009-0008-8406-631X	2025-01-25	new_prefix	1378	
39619768	0	0009-0008-8406-631X	2025-01-25	not_identifiers_resource	1380	
39622863	0	0009-0008-8406-631X	2025-01-25	irrelevant_other	1380	
39624166	0	0009-0008-8406-631X	2025-01-25	not_identifiers_resource	1380	
39626458	0	0009-0009-5240-7463	2024-12-10	not_identifiers_resource	1305	
39629064	0	0009-0009-5240-7463	2024-12-09	not_identifiers_resource	1305	
39629325	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1372	
39630291	0	0009-0008-8406-631X	2025-01-14	non_resource_paper	1364	unable to resolve identifiers because format is python scripts only
39630862	0	0009-0008-8406-631X	2025-01-14	not_identifiers_resource	1364	
39633021	1	0009-0009-5240-7463	2024-12-12	new_prefix	1327	Identifiers for lipid-protein interactions
39633723	0	0009-0009-5240-7463	2024-12-11	not_identifiers_resource	1305	
39638848	0	0009-0008-8406-631X	2025-01-23	irrelevant_other	1377	
39646664	0	0009-0008-8406-631X	2025-01-24	non_resource_paper	1380	
39651210	0	0009-0009-5240-7463	2024-12-09	not_identifiers_resource	1305	
39651266	0	0009-0009-5240-7463	2024-12-11	non_resource_paper	1305	
39651293	0	0009-0009-5240-7463	2024-12-09	irrelevant_other	1305	
39656773	0	0009-0008-8406-631X	2025-01-24	irrelevant_other	1380	
39656924	0	0009-0008-8406-631X	2025-01-21	existing	1372	
39657049	0	0009-0008-8406-631X	2025-01-17	non_resource_paper	1372	
39657122	0	0009-0008-8406-631X	2025-01-24	not_identifiers_resource	1380	
39657145	0	0009-0008-8406-631X	2025-01-17	not_identifiers_resource	1364	
39657146	0	0009-0008-8406-631X	2025-01-17	non_resource_paper	1364	unable to resolve identifiers because format is xcel spreadsheet
39657158	0	0009-0008-8406-631X	2025-01-24	not_identifiers_resource	1380	
39659497	0	0009-0008-8406-631X	2025-01-07	irrelevant_other	1351	
39660292	0	0009-0008-8406-631X	2025-01-07	irrelevant_other	1351	
39660842	0	0009-0008-8406-631X	2025-01-17	not_identifiers_resource	1364	
39661723	1	0009-0008-8406-631X	2025-01-21	new_prefix	1374	
39665565	0	0009-0008-8406-631X	2025-01-24	non_resource_paper	1380	
39670335	0	0009-0008-8406-631X	2025-01-24	non_resource_paper	1380	
39670819	0	0009-0008-8406-631X	2025-01-10	irrelevant_other	1351	
39672676	0	0009-0008-8406-631X	2025-01-14	irrelevant_other	1364	
39673268	1	0009-0008-8406-631X	2025-01-10	new_prefix	1394	
39674175	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1372	
39677843	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1372	
39678209	0	0009-0008-8406-631X	2025-01-24	irrelevant_other	1380	
39684768	0	0009-0008-8406-631X	2025-01-14	irrelevant_other	1364	
39686380	0	0009-0008-8406-631X	2025-01-23	irrelevant_other	1377	
39686612	0	0009-0008-8406-631X	2025-01-23	non_resource_paper	1377	unable to resolve identifiers because format is xcel spreadsheet
39687239	0	0009-0008-8406-631X	2025-01-23	irrelevant_other	1377	
39687250	0	0009-0008-8406-631X	2025-01-07	irrelevant_other	1351	
39687382	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39687384	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39687386	0	0009-0008-8406-631X	2025-01-23	not_identifiers_resource	1377	
39687760	0	0009-0008-8406-631X	2025-01-10	non_resource_paper	1351	
39689177	0	0009-0008-8406-631X	2025-01-24	irrelevant_other	1380	
39690206	0	0009-0008-8406-631X	2025-01-23	non_resource_paper	1377	
39693482	0	0009-0008-8406-631X	2025-01-14	not_identifiers_resource	1364	
39697868	0	0009-0008-8406-631X	2025-01-24	not_identifiers_resource	1380	
39697997	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39699575	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39702578	0	0009-0008-8406-631X	2025-01-17	irrelevant_other	1372	
39703015	0	0009-0008-8406-631X	2025-01-07	irrelevant_other	1351	
39703430	1	0009-0008-8406-631X	2025-01-10	new_prefix	1362	
39705712	0	0009-0008-8406-631X	2025-01-23	not_identifiers_resource	1377	
39709561	0	0009-0008-8406-631X	2025-01-17	irrelevant_other	1372	
39710433	0	0009-0008-8406-631X	2025-01-24	not_identifiers_resource	1380	
39712980	0	0009-0008-8406-631X	2025-01-31	not_identifiers_resource	1401	
39714043	0	0009-0008-8406-631X	2025-01-23	irrelevant_other	1377	
39715481	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39717182	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39719062	0	0009-0008-8406-631X	2025-01-07	not_identifiers_resource	1351	
39720527	0	0009-0008-8406-631X	2025-01-23	not_identifiers_resource	1377	
39720844	0	0009-0008-8406-631X	2025-01-21	non_resource_paper	1372	
39721977	0	0009-0008-8406-631X	2025-01-17	irrelevant_other	1364	
39722620	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1372	
39722799	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39724242	0	0009-0008-8406-631X	2025-01-17	not_identifiers_resource	1372	
39728342	0	0009-0008-8406-631X	2025-01-17	non_resource_paper	1364	
39729356	0	0009-0008-8406-631X	2025-01-14	not_identifiers_resource	1364	
39731599	0	0009-0008-8406-631X	2025-01-31	irrelevant_other	1401	
39732706	0	0009-0008-8406-631X	2025-01-10	not_identifiers_resource	1351	
39734494	0	0009-0008-8406-631X	2025-01-31	non_resource_paper	1401	
39747220	0	0009-0008-8406-631X	2025-01-18	non_resource_paper	1431	unable to resolve identifiers bc format is csv
39757114	0	0009-0008-8406-631X	2025-02-01	not_identifiers_resource	1401	
39758955	0	0009-0008-8406-631X	2025-02-25	not_identifiers_resource	1435	
39759552	0	0009-0008-8406-631X	2025-02-25	non_resource_paper	1435	
39763875	0	0009-0008-8406-631X	2025-01-21	not_identifiers_resource	1431	
39764040	0	0009-0008-8406-631X	2025-02-01	not_identifiers_resource	1401	
39764611	0	0009-0008-8406-631X	2025-02-01	irrelevant_other	1401	
39766814	0	0009-0008-8406-631X	2025-02-21	not_identifiers_resource	1435	
39773409	0	0009-0008-8406-631X	2025-02-01	not_identifiers_resource	1401	
39787917	0	0009-0008-8406-631X	2025-01-15	non_resource_paper	1431	unable to resolve identifiers bc of format
39788324	0	0009-0008-8406-631X	2025-02-01	irrelevant_other	1401	
39790555	0	0009-0008-8406-631X	2025-02-01	not_identifiers_resource	1401	
39793515	0	0009-0008-8406-631X	2025-02-21	irrelevant_other	1435	
39797569	1	0009-0008-8406-631X	2025-02-01	new_prefix	1400	
39800020	0	0009-0008-8406-631X	2025-02-21	irrelevant_other	1435	
39800872	0	0009-0008-8406-631X	2025-02-25	non_resource_paper	1435	
39800874	0	0009-0008-8406-631X	2025-01-23	non_resource_paper	1435	unable to resolve identifiers because of format
39805807	0	0009-0008-8406-631X	2025-02-25	irrelevant_other	1435	
39811525	0	0009-0008-8406-631X	2025-01-18	irrelevant_other	1431	data is not relevant to bioregistry
39813136	0	0009-0008-8406-631X	2025-02-01	irrelevant_other	1401	
39817732	0	0009-0008-8406-631X	2025-01-18	non_resource_paper	1431	unable to resolve identifiers bc format is csv
39822275	0	0009-0008-8406-631X	2025-02-25	not_identifiers_resource	1435	
39823696	0	0009-0008-8406-631X	2025-01-21	non_resource_paper	1431	might be new prefix but database site is down
39826548	0	0009-0008-8406-631X	2025-01-15	irrelevant_other	1431	
39829807	0	0009-0008-8406-631X	2025-01-31	non_resource_paper	1401	
39834464	0	0009-0008-8406-631X	2025-02-01	non_resource_paper	1401	
39834858	0	0009-0008-8406-631X	2025-01-14	not_identifiers_resource	1431	
39836533	0	0009-0008-8406-631X	2025-02-25	irrelevant_other	1435	
39837856	0	0009-0008-8406-631X	2025-02-21	not_identifiers_resource	1435	
39838450	1	0009-0009-5240-7463	2025-02-16	new_publication	1423	
39841812	1	0009-0008-8406-631X	2025-01-10	new_publication	1399	
39841813	0	0009-0008-8406-631X	2025-02-25	not_identifiers_resource	1435	
39845146	0	0009-0008-8406-631X	2025-01-15	non_resource_paper	1431	unable to resolve identifiers bc format is csv
39846734	0	0009-0008-8406-631X	2025-01-23	non_resource_paper	1435	unable to resolve identifiers because of format
39847542	0	0009-0008-8406-631X	2025-01-15	non_resource_paper	1431	
39851174	0	0009-0008-8406-631X	2025-02-25	irrelevant_other	1435	
39854283	0	0009-0008-8406-631X	2025-02-21	irrelevant_other	1435	
39858555	0	0009-0008-8406-631X	2025-02-25	irrelevant_other	1435	
39859274	0	0009-0008-8406-631X	2025-01-21	not_identifiers_resource	1431	
39860224	0	0009-0008-8406-631X	2025-01-18	not_identifiers_resource	1431	
39861949	0	0009-0008-8406-631X	2025-02-21	irrelevant_other	1435	
39868694	0	0009-0008-8406-631X	2025-02-21	not_identifiers_resource	1435	
39870848	0	0009-0008-8406-631X	2025-01-15	not_identifiers_resource	1431	
39874782	0	0009-0008-8406-631X	2025-01-21	not_identifiers_resource	1431	
39875845	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1431	data is not relevant to bioregistry
39876062	1	0009-0008-8406-631X	2025-02-01	new_prefix	1398	
39877976	0	0009-0008-8406-631X	2025-01-21	irrelevant_other	1431	
39882309	0	0009-0008-8406-631X	2025-01-18	non_resource_paper	1431	unable to resolve identifiers bc format is tsv
