Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
aa		http://www.co-ode.org/ontologies/amino-acid/2006/05/18/amino-acid.owl#	http://www.co-ode.org/ontologies/amino-acid/2005/10/11/amino-acid.owl#			1054			Amino Acid Ontology	An ontology of amino acids and their properties		University of Manchester	terminology	owl, chemistry	https://robertdavidstevens.wordpress.com/2010/08/09/an-ontology-of-amino-acids/	no								http://www.cs.man.ac.uk/~stevensr/ontology/amino-acid.owl			issue (no numeric id); issue (versioned URL); action (added as bioportal access)	curation		2013	https://web.archive.org/web/20130622032825/http://www.co-ode.org/ontologies/amino-acid/2009/02/16/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aaindex								AAindex	Amino acid indices, substitution matrices and pair-wise contact potentials	AAindex is a database of numerical indices representing various physicochemical and biochemical properties of amino acids and pairs of amino acids. AAindex consists of three sections now: AAindex1 for the amino acid index of 20 numerical values, AAindex2 for the amino acid mutation matrix and AAindex3 for the statistical protein contact potentials. 	17998252	GenomeNet	dataset	protein	http://www.genome.ad.jp/aaindex/	yes						[A-Z]+\d+	BUNA790102	http://www.genome.jp/dbget-bin/www_bget?aaindex:$id				curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aao						1090		AAO	Amphibian Anatomical Ontology	The Amphibian Anatomical Ontology (AmphibAnat) is an NSF-sponsored project dedicated to constructing semi-automatically a draft ontology of amphibian anatomy. In this project, small, subset ontologies are constructed manually, and data-mining software (that we develop) is used to mine electronic media for instances of concepts and properties to be added to the ontologies.	17992749	Amphibinat	terminology	obo, anatomy	http://www.amphibanat.org	no						[A-Z]+:\d+	ASD:0000138	N/A			issue (home URL is a blog); issue (example id seems wrong); issue (bioportal purls poiting to ontobee do not resolve); action (added bioportal access)	curation	being integrated into uberon - what happens to ids?	2009	http://web.archive.org/web/20091218064834/http://www.amphibanat.org/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aba		http://mouse.brain-map.org/atlas/index.html#				1290		ABA	ABA Adult Mouse Brain	Allen Brain Atlas P56 Mouse Ontology			terminology	anatomy	http://www.brain-map.org	yes							ENTm2	http://mouse.brain-map.org/atlas/coronal/$id.html			issue (also has human brain images/vocabulary)	curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
abbrev									abbreviation namespace				terminology			yes																January 13, 2022	Michel Dumontier	0000-0003-4727-9435
abcdb								ABCdb	Archaeal and Bacterial ABC transporter database	ABCdb is a public resource devoted to the ATP-binding Cassette (ABC) transporters encoded by completely sequenced prokaryotic genomes.	16499625	Universite Paul Sabatier	dataset	protein	https://www-abcdb.biotoul.fr	yes							EcolE01.RBSA	https://www-abcdb.biotoul.fr/#/entry/findBestMatch/ID/			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
abs				MIR:00000277			abs	ABS	ABS: a database of Annotated regulatory Binding Sites from Orthologous Promoters	ABS: A database of Annotated regulatory Binding Sites from known binding sites identified in promoters of orthologous vertebrate genes.	16381947	IMIM	dataset	interaction, gene, regulation	http://genome.imim.es/datasets/abs2005/	yes						^A\d+$	A0014	http://genome.crg.es/datasets/abs2005/entries/$id.html		x						January 13, 2022	Michel Dumontier	0000-0003-4727-9435
acedb								ACeDB	A C. elegans DataBase	It provides a custom database kernel, with a non-standard data model designed specifically for handling scientific data flexibly, and a graphical user interface with many specific displays and tools for genomic data. AceDB is used both for managing data within genome projects, and for making genomic data available to the wider scientific community.	9707936	Sanger Institute	software	genome	http://www.acedb.org	no								N/A			no resolving URL; issue (no data here it i software)	omitted		2017	http://web.archive.org/web/20170702080857/http://www.acedb.org/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aceview.worm	aceview_wormgenes			MIR:00000282			aceview.worm		AceView Worm Genome	AceView provides a curated, comprehensive and non-redundant sequence representation of all public mRNA sequences (mRNAs from GenBank or RefSeq, and single pass cDNA sequences from dbEST and Trace). These experimental cDNA sequences are first co-aligned on the genome then clustered into a minimal number of alternative transcript variants and grouped into genes.	16925834	NCBI	dataset	RNA, DNA, gene	http://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/	yes						^[a-z0-9-]+$	AP2B1	http://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/av.cgi?db=[?species_database]&c=Gene&l=$id		x						January 13, 2022	Michel Dumontier	0000-0003-4727-9435
acgt						1130		ACGT	ACGT Master Ontology	The ACGT Master Ontology (MO) is to represent the domain of cancer research and management in a computationally tractable manner.			terminology		http://www.ifomis.org/acgt	yes											issue (no numeric id); action (added as bioportal access)	curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aclame				MIR:00000063			mge	ACLAME	A CLAssification of Mobile genetic Elements	ACLAME is a database dedicated to the collection and classification of mobile genetic elements (MGEs) from various sources, comprising all known phage genomes, plasmids and transposons.	14681355	Université Libre de Bruxelles	dataset	genome, gene	http://aclame.ulb.ac.be	yes				The proteins classification, the functional annotation and the analytical tools provided on the ACLAME web site are freely accessible, without licence for any purpose under the following conditions:1)The ACLAME authors are clearly aknowledged as the source of the product. In case of a scientific publication, cite the following publication, and; 2)Any data from the ACLAME database or web site displayed on another server should mention the ACLAME version. Whenever possible, use links toward the ACLAME web site instead of duplicating the data.	attribution	^mge:\d+$	mge:2	http://aclame.ulb.ac.be/perl/Aclame/Genomes/mge_view.cgi?view=info&id=$id		x						January 13, 2022	Michel Dumontier	0000-0003-4727-9435
asc								ASC	Active Sequences Collection	ASC is a collection of Active protein Sequences, or protein fragments or subsequences, collected in the form of function-oriented databases. The current release (Spring 2005) includes seven databases: AIRS, BAC, CHAMSE, DORRS, DVP, SSP, TRANSIT	12520027	Istituto di Scienze dell'Alimentazione	dataset	protein	http://bioinformatica.isa.cnr.it/ASC/	yes		bac, chamse, dorrs, dvp, ssp, transit									no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
activity								ACTIVITY																			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
adda								ADDA	Automatic Domain Decomposition Algorithm	ADDA, an automatic algorithm for domain decomposition and clustering of all protein domain families which uses alignments derived from an all-on-all sequence comparison to define domains within protein sequences based on a global maximum likelihood model.	12706730	University of Helsinki	dataset	protein	http://ekhidna.biocenter.helsinki.fi/sqgraph/pairsdb	no						^\d+$	215451	http://ekhidna.biocenter.helsinki.fi/sqgraph/pairsdb/report_sequence?nid=$id			issue (data is not updated - stated on main page); issue(directs user to pfam for accurate info); action (omitted)	omitted		2017	http://web.archive.org/web/20170709175959/http://ekhidna.biocenter.helsinki.fi/sqgraph/pairsdb	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
addgene				MIR:00000675			addgene	Addgene	Addgene	Addgene is a global, nonprofit repository that was created to help scientists share plasmids.	25392412	Addgene	dataset	plasmid	http://www.addgene.org	yes						^\d+$	41816	http://www.addgene.org/$id								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
adhdgene					biodbcore-000003			ADHDGene	A genetic database for attention deficit hyperactivity disorder	ADHDgene aims to provide researchers with a central genetic resource and analysis platform for ADHD	22080511	Chinese Academy of Sciences	dataset	genome, gene	http://adhd.psych.ac.cn	yes							DBH	http://adhd.psych.ac.cn/geneDetail.do?name=$id								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
adw.ontology			http://www.owl-ontologies.com/unnamed.owl#			1530		ADW Ontology	Ontology for Animal natural history and life history	An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.		University of Michigan Museum of Zoology	terminology		http://www.animaldiversity.org	yes						[A-Z]+					issue (2 'collections' bundled into 1 row, the web pages point to animal pages, the ontology lists properties); action (added ADW, omitted the CV) 	curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
adw				MIR:00000492			adw	ADW	Animal Diversity Web	Animal Diversity Web (ADW) is an online database of animal natural history, distribution, classification, and conservation biology at the University of Michigan.		University of Michigan Museum of Zoology	dataset		http://www.animaldiversity.org	yes							Rhincodon typus	http://animaldiversity.ummz.umich.edu/site/accounts/information/$id.html								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aeo		http://purl.obolibrary.org/aeo/	http://purl.obolibrary.org/obo/AEO#, http://purl.obofoundry.org/aeo/, http://purl.obolibrary.org/aeo/, http://purl.org/obo/owl/AEO#, http://identifiers.org/obo.aeo/			1568		AEO	Anatomical Entity Ontology	AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology, to about 200 classes using the is_a relationship; it thus provides a detailed type classification for tissues. The new classes were chosen for their use in categorizing the major vertebrate and invertebrate anatomy ontologies at a granularity adequate for tissues of a single cell type. The ontology should be useful in increasing the amount of knowledge in anatomy ontologies, facilitating annotation and enabling interoperability across anatomy ontologies	22347883	University of Oxford	terminology	obo	https://obofoundry.org/ontology/ehdaa2.html	yes											no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aero		http://purl.obolibrary.org/aero/	http://purl.obolibrary.org/obo/AERO/, http://purl.obofoundry.org/aero/, http://purl.obolibrary.org/aero/, http://purl.org/obo/owl/AERO#, http://identifiers.org/obo.aero/			1580		AERO	Adverse Event Reporting ontology	The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events.	24667848	BC Cancer Agency	terminology	obo	https://obofoundry.org/ontology/aero.html	yes							AERO_0000106	http://purl.obolibrary.org/obo/$id			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
affindb								AffinDB	Affinity Database for Protein-Ligand Complexes	The Affinity Database 'AffinDB' contains affinity data for protein-ligand complexes of the PDB. Its purpose is to provide direct and free access to the experimental affinity of a given complex structure. 		Philipps-University Marburg	dataset	protein, interaction	http://www.agklebe.de/affinity	yes						^\d+$	5	N/A			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
affymetrix	affx			MIR:00000394			affy.probeset		Affymetrix probesets	An Affymetrix ProbeSet is a collection of up to 11 short (~22 nucleotide) microarray probes designed to measure a single gene or a family of genes as a unit.		Affymetrix	dataset	genome, gene expression	http://www.affymetrix.com/	yes				Need to request permission to print or reprint Affymetrix material.	permission required for all uses		185061_at	https://www.affymetrix.com/LinkServlet?probeset=$id			no resolving URL	present as MIR:00000394				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
aftol				MIR:00000411			aftol.taxonomy	AFTOL	Assembling the Fungal Tree of Life	The Assembling the Fungal Tree of Life (AFTOL) project is dedicated to significantly enhancing our understanding of the evolution of the Kingdom Fungi, which represents one of the major clades of life. 	17486962	AFTOL	dataset	classification	http://aftol.org	yes							mushroom	http://aftol.org/category/			no resolving URL	present as MIR:00000411		2019	http://web.archive.org/web/20191204045059/http://aftol.org/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agbase								AgBase	AgBase	AgBase is a curated, open-source, Web-accessible resource for functional analysis of agricultural plant and animal gene products.	21075795	AgBase	dataset	gene	http://www.agbase.msstate.edu	yes						[A-Z]\d+	Q55FF3	http://www.agbase.msstate.edu/cgi-bin/getEntry.pl?db_pick=all&database=UniProtKB&gb_acc=$id			issue (Uniprot subset); issue (proteins but KW listed gene); issue (regex should follow UniProt); action (emailed to ask if they only have uniprot ids)	curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agd				MIR:00000192				AGD	Ashbya Genome Database	The Ashbya Genome Database (AGD) 3.0 is a genome/transcriptome database containing gene annotation and high-density oligonucleotide microarray expression data for protein-coding genes from Ashbya gossypii and the model organism Saccharomyces cerevisiae.	15001715	AGD	terminology	expression,microarray,nucleotide	http://agd.vital-it.ch	no						^AGR\w+$	AGR144C	http://agd.vital-it.ch/Ashbya_gossypii/geneview?gene=$id		x						January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agns								AGNS	Arabidopsis GeneNet Supplementary Database	Arabidopsis GeneNet Supplementary DataBase (AGNS) is an Internet available resource, which provides access to description of the functions of the known Arabidopsis genes at different levels of mRNA, protein, cell, tissue and ultimately at the levels of the organ and organism and in both wild type and mutant backgrounds. Paper: http://dx.doi.org/10.1007/0-387-29455-4_41		AGNS	dataset	classification, RNA, protein, small molecule	http://wwwmgs.bionet.nsc.ru/agns/	no											no resolving URL	omitted		2007	http://web.archive.org/web/20070518115040/http://wwwmgs.bionet.nsc.ru/agns/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agricola				MIR:00000589				AGRICOLA	AGRICultural OnLine Access	AGRICOLA (AGRICultural OnLine Access) serves as the catalog and index to the collections of the National Agricultural Library, as well as a primary public source for world-wide access to agricultural information. The database covers materials in all formats and periods, including printed works from as far back as the 15th century.		National Agriculture Library	dataset		http://agricola.nal.usda.gov	yes							TP248.2 P76 v.14	https://agricola.nal.usda.gov/vwebv/search?searchArg=$id			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agricola.bib																	agricola						0000-05160				no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agricola.id																							TP248.2 P76 v.14				no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agricola.nal																							TP248.2 P76 v.14				no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agris								AGRIS	The Arabidopsis Gene Regulatory Information Server 	The Arabidopsis Gene Regulatory Information Server (AGRIS) is a new information resource of Arabidopsis promoter sequences, transcription factors and their target genes. AGRIS currently contains two databases, AtcisDB (Arabidopsis thaliana cis-regulatory database) and AtTFDB (Arabidopsis thaliana transcription factor database). The two databases, used in tandem, provide a powerful tool for use in continuous research.	21059685	AGRIS	warehouse	regulation, genome	http://arabidopsis.med.ohio-state.edu	yes		atcisdb, attfdb									no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agris.atcisdb								AtcisDB	Arabidopsis thaliana cis-regulatory database	AtcisDB consists of approximately 33,000 upstream regions of annotated Arabidopsis genes (TAIR9 release) with a description of experimentally validated and predicted cis-regulatory elements.	21059685	AGRIS	dataset	regulation, genome	https://agris-knowledgebase.org/AtcisDB/	yes							At1g06180	https://agris-knowledgebase.org/AtcisDB/atcisview.html?id=$id								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
atfdb.family	agris.attfdb						atfdb.family	AtTFDB	Arabidopsis thaliana transcription factor database	AtTFDB contains information on approximately 1,770 transcription factors (TFs). These TFs are grouped into 50 families, based on the presence of conserved domains.	21059685	AGRIS	dataset	regulation, genome	https://agris-knowledgebase.org/AtTFDB	yes							At1g06180	https://agris-knowledgebase.org/AtTFDB/tfsummary.html?locusid=$id								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
agsd								Animal Genome Size Database	Animal Genome Size Database	The Animal Genome Size Database (AGSD) is a comprehensive catalogue of animal genome size data where haploid DNA contents (C-values, in picograms) are currently available for 4972 species (3231 vertebrates and 1741 non-vertebrates) based on 6518 records from 669 published sources.		University of Guelph	dataset	DNA, genome	http://www.genomesize.com	yes						^\d+$	4779	http://www.genomesize.com/result_species.php?id=$id				curation				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
ahd								Arabidopsis Hormone Database	Arabidopsis Hormone Database	The aim of the Arabidopsis Hormone Database (AHD) is to provide a systematic and comprehensive view of morphological phenotypes regulated by plant hormones, as well as regulatory genes participating in numerous plant hormone responses. 	21045062	Peking University	dataset	regulation, gene	http://ahd.cbi.pku.edu.cn	no							AT1G16540	http://ahd.cbi.pku.edu.cn/cgi-bin/get_gene_detail.pl?type=LA&name=$id			no resolving URL	omitted		2018	http://web.archive.org/web/20181115030212/http://ahd.cbi.pku.edu.cn/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
ahdb					biodbcore-000006			AH-DB	AH-DB: collecting apo and holo structure pairs of proteins 		22084200	National Cheng Kung University	dataset		http://ahdb.ee.ncku.edu.tw/	no														2018	http://web.archive.org/web/20181106020351/http://ahdb.ee.ncku.edu.tw/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
ahfs	ahfs.ptcs							AHFS	AHFS Pharmacologic-Therapeutic Classification System	The AHFS Pharmacologic-Therapeutic classification originated as an adaptation of the drug classification used to organize the University of Michigan's Hospital Formulary of Selected Drugs. The principal change reflected in the 1959 adaptation was the incorporation of a hierarchical numeric structure to the alpha description of the drug classes and subclasses. The AHFS classification allows the grouping of drugs with similar pharmacologic, therapeutic, and/or chemical characteristics in a 4-tier hierarchy. There are 31 classifications in the first tier, 185 in the second tier, 256 in the third tier, and 94 in the fourth tier		American Society of Health-System Pharmacists	terminology		http://www.ahfsdruginformation.com/class/index.aspx	yes			http://www.ahfsdruginformation.com/class/index.aspx	The AHFS Pharmacologic-Therapeutic Classification System may be licensed from the American Society of Health-System Pharmacists. A fee for commercial use may apply. Changes to the classification system are published each year coinciding with the release of each annual edition of the printed AHFS Drug Information. Intermediate updates may also be published throughout the year. All material distributed as part of AHFS Drug Information is copyrighted. Reproduction, storage on a retrieval system, or transmission of this material or any part thereof in any form or by any means without the express written permission of the American Society of Health-System Pharmacists is prohibited.							no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
ai.rheum	air					1430		AI/RHEUM	AI/RHEUM	AI/RHEUM is used for the diagnosis of rheumatologic diseases. AI/RHEUM contains findings, such as clinical signs, symptoms, laboratory test results, radiologic observations, tissue biopsy results, and intermediate diagnosis hypotheses. Findings and hypotheses, which include definitions, are used to reach diagnostic conclusions with definite, probable, or possible certainty. Last updated in 1995.	9755285	NLM	terminology		http://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/AIR/	yes											issue (looks like subset of UMLS); no resolving location	omitted				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
airs	asc_airs							AIRS	Auto Immune Related Sequences	AIRS is a database of Auto Immune Related Sequences. The collected information comes from the literature and each entry reports the peptide sequence, information about its biological activity, the reference (with hyperlink to Medline or other similar service).	12520027	CNR, Italy	dataset	protein	http://bioinformatica.isa.cnr.it/AIRS/	yes								N/A			no resolving URL	omitted				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
alfred								ALFRED	The ALlele FREquency Database	ALFRED has been designed to make allele frequency data on anthropologically defined human population samples readily available to the scientific community and to link these polymorphism data to the molecular genetics-human genome databases.	12519999	ALFRED	dataset	classification, genome	http://alfred.med.yale.edu	yes			http://alfred.med.yale.edu/alfred/fullcopyrightpage.asp		Copyright. All rights reserved. Free to use.	[A-Z]+\d+	LO362836C	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=$id			issue (regex wrong);	curation				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
allergome				MIR:00000334			allergome	ALLERGOME	Allergome: a platform for allergen knowledge	Allergome aims to supply information on Allergenic Molecules (Allergens) causing an IgE-mediated (allergic, atopic) disease (anaphylaxis, asthma, atopic dermatitis, conjunctivitis, rhinitis, urticaria).	17393720, 17434469	Allergy Data Laboratories s.c. 	dataset	allergen	http://www.allergome.org	yes			http://creativecommons.org/licenses/by-nc-sa/2.5/deed.en		attribution, non-commerical, share alike	^\d+$	1948	http://www.allergome.org/script/refArray_view.php?idMol=$id		x						January 19, 2022	Michel Dumontier	0000-0003-4727-9435
allfuse								AllFuse	AllFuse	Allfuse is a method to create protein interaction maps for complete genomes based on gene fusion events. The data are in the supplementary materials of the paper.                     	11820254	EBI	dataset	gene fusion, protein interaction		yes											no resolving URL	omitted				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
alpsbase								ALPSbase	Autoimmune Lymphoproliferative Syndrome Database	Autoimmune Lymphoproliferative Syndrome (ALPS) is an inherited disorder of the immune system that  affects both children and adults. ALPSbase is a database of mutations related to ALPS.		NIAID	dataset		http://www3.niaid.nih.gov/topics/ALPS/research/mutationDatabase.htm	no											no resolving URL	omitted		2010	https://web.archive.org/web/20100323171239/http://www3.niaid.nih.gov/topics/ALPS/research/mutationDatabase.htm	January 19, 2022	Michel Dumontier	0000-0003-4727-9435
alterorf								AlterORF	Alternate Open Reading Frame (ORF)	AlterORF provides a database of  such potentially mis-annotated ORFs. It has warehoused all alternate ORFs in fully sequenced microbial genomes that have   significant hits with  one or more of the protein features decribed in  CDD, COG, KOG, PFAM, PRK and SMART in which the corresponding annotated genes that have been deposited in the databases have no such characteristics.	18096612	Center for Bioinformatics and Genome Biology, Chile	dataset	DNA, protein	http://alterorf.cl/	no						N[W/P]_\d+	NP_107992.1	http://www.alterorf.cl/SearchResults/SearchResult.aspx?variable1=$id				omitted		2014	https://web.archive.org/web/20140727183816/http://www.alterorf.cl/	January 19, 2022	Michel Dumontier	0000-0003-4727-9435
alzgene								AlzGene	Alzheimer Gene Database	The AlzGene database provides a comprehensive, unbiased and regularly updated field synopsis of genetic association studies performed in Alzheimer’s disease. In addition, hundreds of up-to-date meta-analyses are available for all eligible polymorphisms with sufficient data.	17192785	Alzheimer Research Forum	dataset	gene	http://www.alzgene.org							^\d+$	88	http://www.alzgene.org/geneoverview.asp?geneid=$id				curation				January 19, 2022	Michel Dumontier	0000-0003-4727-9435
amaze								aMAZE	aMAZE	The aMAZE database manages information on the molecular functions of genes and proteins, their interactions and the biochemical processes in which they participate.	14681453	Université libre de Bruxelles	dataset	protein	http://www.amaze.ulb.ac.be	no											no resolving URL	omitted		2006	https://web.archive.org/web/20060823094800/http://www.amaze.ulb.ac.be/	January 19, 2022	Michel Dumontier	0000-0003-4727-9435
