prefix	name	homepage	description
AWS	Ontology for Meteorological sensors		This ontology is part of the Agriculture Meteorology example showcasing the ontology developed by the W3C Semantic Sensor Networks incubator group (SSN-XG). It is published here in order to generalize the potential usage and the alignment with other standardization efforts of the SSN ontology.
BDG	BigDataGrapes Ontology		Ontology, semantic model and semantic data for the H2020 BigDataGrapes EU project. BigDataGrapes ontology is used for representing observations about soil, weather, agriculture, viticulture, wine making, etc. It also contains extra units of measure based on QUDT 2.0.
BIODIVTHES	Biodiversity Thesaurus		
BIOREFINERY	Biorefinery	https://www6.inra.fr/cati-icat-atweb/Ontologies/Biorefinery	The biorefinery ontology (BIOREFINERY) is dedicated to the description of biomass transformation processes and characterisation of samples.
C3PO	Crop Planning and Production Process Ontology		
CASO	Context-Aware System Ontology	https://w3id.org/def/caso	CASO (Context Aware System Observation) is an ontology for context aware system and observation services. Its goal is to describe all the processing of the context.
CD	Crop Disease		A basic ontology for crop-disease-pesticide information, mostly pertaining to Indian Agriculture
CGO	Common Greenhouse Ontology		
CIQUAL	CIQUAL		
CLC	Corine Land Cover Nomenclature	https://www.w3.org/2015/03/corine	This is the human-readable version of the SKOS concept scheme developed from the Corine Land Cover Classes published by the European Environment Agency. In any variance between the EEA documentation and this document, the original documentation is authoritative.
CO_020	Multi-Crop Passport Ontology		
CO_121	Wheat Plant Anatomy and Development Ontology	http://www.cropontology.org/	Defines growth stages of wheat
CO_125	Banana Anatomy		
CO_715	Crop Research Ontology	http://www.cropontology.org/	Describes experimental design, environmental conditions and methods associated with the crop study/experiment/trail and their evaluation
CROPUSAGE	French Crop Usage (Classification des plantes cultivées en France en fonction des usages)		
CVO	Crop Vocabulary	http://www.cavoc.org/cvo.php	Crop Vocabulary provides taxonomy of crops in farming. Terms are mainly collected in agricultural documents published by Japanese Government. Crop is basically classified by plant but some are classified by cultivation method, edible parts, and and so on. Links to AGROVOC and NCBI taxonomy are included.
DATA4CPLUS	Thesaurus to define land management practices in agriculture and forestry for soil carbon storage		
DEMETER-AIM	DEMETER Agriculture Information Model		
DSW	Darwin-SW		
DURUM_WHEAT	Durum Wheat		
E-PHY	Catalogue des produits phytopharmaceutiques et de leurs usages, des matières fertilisantes et des supports de culture autorisés en France		
FLAIR	Wine descriptors ontology		
FOODIE	FOODIE core ontology	http://foodie-cloud.github.io/model/FOODIE.html	This release 4.6.3 added missing crop property; release 4.6.2 fixes model regarding DoseUnit that cannot be a codelist, and is defined as datatype, FOODIE ontology has been generated from FOODIE application schema (UML model), Revision 4.6.1, and translated into an ontology according to ISO/DIS 19150-2 using ShapeChange plus several pre and post processing changes. This is a revision of v4.3.2, manually updated to v4.6.1.
GACS	Global Agricultural Concept Scheme	http://agrisemantics.org/gacs/	The Global Agricultural Concept Scheme (GACS) is a hub for concepts related to agriculture, in multiple languages, for use in Linked Data. The idea for GACS emerged out of discussions at the World Congress of IAALD, the International Association of Agricultural Information Specialists, in July 2013. The Food and Agricultural Organization of the United Nations (FAO), CAB International (CABI), and the National Agricultural Library of the USA (NAL) agreed in October 2013 to explore the feasibility of developing a shared concept scheme by integrating their three thesauri: the AGROVOC Concept Scheme, the CAB Thesaurus (CABT), and NAL Thesaurus (NALT). In the GACS vision, the integration of these three thesauri is but the first step towards the realization of a hub that links to and from the concept schemes beyond the initial three, and in multiple language areas.
GAO	Grapevine anatomy ontology		Describes a list of organs classified by biological function, Décrit une liste d'organes classé par fonction biologique, Describes a list of organs classified by biological function, Décrit une liste d'organes classé par fonction biologique
GECO	Agroecology Knowledge Management (GECO ontology)		
GFVO	Genomic Feature and Variation Ontology		
GR-TAX	Gramene Taxonomy Ontology	http://www.gramene.org/	It is a representation of the taxonomy tree in the ontology format. Each term in this ontology can represent subspecies, species, genus, order, class or any rank in the classification. Primarily derived from NCBI Taxonomy, the revisions were made as and when/where required in the rankings. The rank of genome types was added by this project. This taxonomy ontology focuses on the Poaceae (Gramineae) family of plant taxonomy only.
ICC	Indicative Crop Classification	http://www.fao.org/world-census-agriculture/wcarounds/wca2010/en	The Indicative Crop Classification (ICC) was developed for the 2020 round of agricultural censuses.
INFRARISK	InfraRisk Ontology	http://vocabs.datagraft.net/infrarisk.html	The InfraRisk Ontology: Enabling Semantic Interoperability for Critical Infrastructures at Risk from Natural Hazards. This InfraRisk ontology may be used for representing relevant information about natural hazard events and their impact on infrastructure components. Earthquakes, landslides, and other natural hazard events have severe negative socio-economic impacts.
INIA-RDM	INIA Research Datasets	http://data.inia.es/def/	This ontology is used to describe datasets hosted on Spanish National Institute for Agricultural and Food Research and Technology (INIA) Research Data Repository. It combines terms from dataset ontologies such as DCAT, with some specific terms in Agriculture Research, e.g., keywords based on AGROVOC.
IRRIG	Irrigation Ontology	https://w3id.org/def/irrig	IRRIG is an Irrigation Ontology for experimentation in TSCF, Irstea Clermont-Fd.
LANDVOC	Linked Land Governance Thesaurus	http://landvoc.org	LandVoc is a thesaurus (controlled vocabulary) covering 310 concepts related to all areas of interest to the land community including land administration, land governance, land use and cover etc. It is built by the Land Portal Foundation and relies on a subset of AGROVOC concepts.
LEXEAU	Stratified lexicon of water related geophysical and textual data		
MEAT-T	Meat Thesaurus		The meat thesaurus describes different facets of the meat production chain, such as the meat market, breed, slaughtering, culinary preparations, etc. It contains terms and definitions in French and English. It was derived and adapted from the Dictionnaire de la viande, Académie de la viande (France). Publisher, Autres voix, 2012. ISBN, 2918237086, 9782918237082
MICROFILTRATION	Milk Microfiltration Ontology		
MS2O	Multi-scale Multi-step ontology	http://lovinra.inra.fr/2015/12/16/multi-scale-multi-step-ontology/	The Multi-scale Multi-step ontology (MS²O) is an ontology to describe transformation processes., Multi-scale Multi-step ontology (MS²O) est une ontologie permettant de décrire des processus de transformation.
OBOE	The Extensible Observation Ontology	https://github.com/NCEAS/oboe/	The Extensible Observation Ontology (OBOE) is a formal ontology for capturing the semantics of scientific observation and measurement. The ontology supports researchers to add detailed semantic annotations to scientific data, thereby clarifying the inherent meaning of scientific observations.
OEEV	Ontology of Experimental Events		
OEPO	Ontology for Experimental Phenotypic Objects		The Ontology for Experimental Phenotypic Objects (OEPO), allows assigning types (e.g. Experimental organization and context, Environment type, Germplasm, Physical Object) to objects involved in phenotyping experiments and defining specialization hierarchy between them according to the specificities of the installations and experiments.
OFPE	Ontology for Food Processing Experiment		OFPE is a generic ontology specialized for food processing experiments, where raw ma- terials are transformed into final products. It includes dif- ferent classes that represent products and activities during food transformation processes, which can be classified into four main concepts, i.e., Product, Operation, Attribute, and Observation. OFPE has been developed by 3 INRAE research units: MISTEA, SPO, IATE
ONTOBIOTOPE	OntoBiotope		
OWSD	Ontology for the management of Wine Sensory analysis Descriptors		
PEAO	Plant Experimental Assay Ontology	https://bitbucket.org/PlantExpAssay/ontology	The Plant domain has been the subject of several attempts to structure and formally define terms and corresponding relations, such as their anatomical features, developmental stages, and the application of particular experimental procedures to a biological problem. However, a focus on experimental assays in order to describe the whole experimental procedure, to the best of our knowledge, has only been attempted in the context of a very general description based on classical views of the scientific method. In this study, we focus on the development and proposal of an ontology dedicated to the description of these experimental procedures, regardless of the scientific questions that prompted the assays. This ontology includes entities from three distinct realms (biological, physical and data), which include both experimental products, their relations and the protocols describing their manipulation.
PO2	Process and Observation Ontology	http://lovinra.inra.fr/2016/08/03/process-and-observation-ontology/	A core ontology for modeling transformation processes and their observations. PO2 is part of an interdisciplinary project called Delicious concerning the production and transformation processes in food science. The project combines data from different disciplines like food composition, food structure, sensorial perception and nutrition.
POLAPGEN_BARLEY	Barley Trait POLAPGEN Ontology	http://www.cropontology.org/	Barley Trait Ontology template v 4, 6 June 2013 submitted by the Institute of Plant Genetics Poznan on behalf of Polapgen Consortium Poland
PPDO	BBCH-based Plant Phenological Description Ontology	http://ontology.irstea.fr/pmwiki.php/Site/Ppdo	This RDF file contains an extension of the SKOS model to model the development stages (or phenological stages) of cultivated plants. This model defines classes representing the main stages and the secondary stages (2 and 3 digits). The general BBCH scale is represented as an instance of skos:ConceptScheme. A new scale was created, intitled, BBCH global scale, that gather all the stages existing in all BBCh cales. It was built during the ANR D2KAB project.
PPEO	Plant Phenotype Experiment Ontology	http://purl.org/ppeo	The Plant Phenotyping Experiment Ontology (PPEO) is an implementation of the Minimal Information About Plant Phenotyping Experiment. It lists and organises all the informations necessary to describe and reuse a phenotyping dataset following FAIR principles (Findable Interoperable Accessible Reusable). It has been initiated with experts from Elixir, Emphasis, Bioversity International - CGIAR and RDA.
SAREF	Smart Applications REFerence ontology	https://saref.etsi.org/	The Smart Applications REFerence ontology (SAREF) is intended to enable interoperability between solutions from different providers and among various activity sectors in the Internet of Things (IoT), thus contributing to the development of the global digital market.
SAREF4AGRI	SAREF4AGRI: an extension of SAREF for the agriculture and food domain		SAREF4AGRI is an extension of SAREF for the agriculture and food domain. SAREF4AGRI is specified and published by ETSI in the TS 103 410-6 associated to this ontology file. The list of use cases, standards and requirements that guided the creation of SAREF4AGRI are described in the associated ETSI TR 103 511., This ontology extends the SAREF ontology for the Agricultural domain. This work has been developed in the context of the STF 534 (https://portal.etsi.org/STF/STFs/STFHomePages/STF534.aspx), which was established with the goal to create three SAREF extensions, one of them for the Agricultural domain.
SAREF4ENVI	SAREF4ENVI: an extension of SAREF for the environment domain	https://saref.etsi.org/saref4envi/	The present document is the technical specification of SAREF4ENVI, an extension of SAREF [1] for the environment domain. The extension was created in collaboration with domain experts in the field of light pollution currently working in the STARS4ALL European H2020 project (http://www.stars4all.eu/index.php/lpi/). The STARS4ALL project is composed by partners such as Universidad Politécnica de Madrid, Universidad Complutense de Madrid, ESCP Europe, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Instituto de Astrofísica de Canarias, University of Southampton, Europan Crowdfunding Network, and CEFRIEL (Società Consortile a Responsabilita Limitata). SAREF4ENVI has two main aims: on the one hand, to be the basis for enabling the use of SAREF in the environment domain and, on the other hand, to exemplify how to enable interoperability between environmental devices in cooperation. SAREF4ENVI is an OWL-DL ontology that extends SAREF with 32 classes (24 defined in SAREF4ENVI and 7 reused from the time, SAREF and geo ontologies), 24 object properties (22 defined in SAREF4ENVI and 2 reused from the SAREF and geo ontologies), 13 data type properties (9 defined in SAREF4ENVI and 4 reused from the SAREF ontology), and 24 individuals (9 defined in SAREF4ENVI and 12 reused from the OM ontology). SAREF4ENVI focuses on extending SAREF for photometers to solve the lack of interoperability between sensors that can measure and share information about light pollution. Such extension involves the following use cases (more details can be found in ETSI TR 103 411 [i.1]): Use case 1: Monitor light pollution in a city, through the data collected by photometers about the magnitude of the light emitted in a given area. Use case 2: Adjust lampposts light intensity due to high pollution, after identifying the most contaminating lampposts and therefore the areas where more energy is being thrown away. Use case 3: Register a photometer, in which a new collection of photometers is incorporated into an existing sensor network.
SFWO	Soil Food Web Ontology	https://github.com/nleguillarme/soil_food_web_ontology/	The Soil Food Web Ontology (SFWO) is a OWL ontology which provides a standardised terminology and a logical formalisation of the domain of soil trophic ecology. It proposes a reference vocabulary to describe information about trophic interactions, feeding preferences (diets) and feeding processes of soil biota. By harmonizing the definitions of trophic groups, SFWO provides a common, logically-sound framework for soil-associated consumers classification across taxonomic groups and trophic levels. The Soil Food Web Ontology aims at being a reference ontology for soil trophic ecology, and a resource for ontology-driven applications in the field, including: trophic trait datasets standardization, trophic data integration and knowledge graph construction, automated soil food web reconstruction using OWL reasoning, and trophic information extraction., The Soil Food Web Ontology (SFWO) describes concepts related to the trophic ecology of soil organisms, including feeding preferences, food resources, trophic processes, and trophic groups, across taxonomic groups and trophic levels. SFWO aims at being both a reference ontology -including a standardised vocabulary- for soil trophic ecology, and an application ontology, with a focus on reasoning-based applications.
SNPO	Single-Nucleotide Polymorphism (SNP) Ontology	https://members.loria.fr/ACoulet/files/snpontology1.6_description.html	SNP-Ontology is a domain ontology that provides a formal representation (OWL-DL) of genomic variations. Despite its name, SNP-Ontology, is not limited to the representation of SNPs but it encompasses genomic variations in a broader meaning. SNP-Ontology is general enough to enable the representation of variations observed in genome of various species. Latest versions of SNP-Ontology include the representation of haplotype and of CNV. The unambiguous representation of genomic variations provided by SNP-Ontology enables to integrate heterogeneous data related to genomic variations. To achieve this goal SNP-Ontology enables (1) to represent one variation in accordance with various ways that exist for describing it, (2) to represent the equivalence between two distinct descriptions of one variation, and (3) to represent correspondence between a genomic variation and its outcome at the transcriptome and proteome levels.
SOIL	agINFRA Soil Vocabulary		
SOSA	Sensor, Observation, Sample, and Actuator Ontology	https://www.w3.org/TR/vocab-ssn/	This ontology is based on the SSN Ontology by the W3C Semantic Sensor Networks Incubator Group (SSN-XG), together with considerations from the W3C/OGC Spatial Data on the Web Working Group.
SOY	Soy Ontology		
SPTO	Solanaceae Phenotype Ontology		
SSN	Semantic Sensor Network Ontology	https://www.w3.org/TR/vocab-ssn/	This ontology describes sensors, actuators and observations, and related concepts. It does not describe domain concepts, time, locations, etc. these are intended to be included from other ontologies via OWL imports.
TAXREF-LD	TAXREF-LD		
THESAE	Agroecology thesaurus		Thésaurus d'Agroécologie is a thesaurus in French containing 556 concepts denoting the issues, levers, indicators and agricultural production systems involved in an agro-ecological approach. This thesaurus, based on the results of a territorial watch on the scale of the Midi-Pyrénées region, is the result of expert work carried out by researchers and specialists in scientific and technical information from the Institut National de la Recherche Agronomique, Le Thésaurus d'Agroécologie est un thésaurus en français présentant 556 concepts dénotant les enjeux, leviers, indicateurs et systèmes de production agricoles impliqués dans une démarche agroécologique. Ce thésaurus, basé sur les résultats d'une veille territoriale à l'échelle de la région Midi-Pyrénées est issu d’un travail d’expertise réalisé par des chercheurs et des spécialistes de l’information scientifique et technique de l’Institut National de la Recherche Agronomique
TOP	Thesaurus of Plant Characteristics	http://top-thesaurus.org	The Thesaurus Of Plant characteristics (TOP), aims to harmonize and formalize concepts for plant characteristics widely used in ecology. TOP concentrates on two types of plant characteristics: traits and environmental associations. Characteristics are modelled as the ‘Quality’ of an ‘Entity’ used in the context of Open Biological Ontologies. Whenever possible, the Entities and Qualities are taken from existing terminology standards, mainly the Plant Ontology (PO) and Phenotypic Quality Ontology (PATO) ontologies. TOP provides names, definitions, units, synonyms and related terms for about 850 plant characteristics.
TRANSMAT	Matter Transfer Ontology		
TRIPHASE	Thesaurus for Animal Physiology and Livestock Systems		
UC_SENSE	Unambiguous Characterization of Sensory Experiences Ontology		uc_Sense is an ontology for unambiguous characterization (UC) of sensory experiences and their descriptive terms. The uc_Sense ontology provides terms gathered from food and beverage flavor wheels in order to provide a vocabulary that will distinguish how a sensory event is perceived and how the same event is processed by an individual.
USE	Ontobiotope_Use	http://migale.jouy.inra.fr/florilege/#&searchByUse	"The Use ontology is a subpart of the Ontobiotope ontology. It defines the uses and applications of microorganisms. Microorganisms are linked to the classes of the Use ontology by the relationship ""is studied for"". See examples in the Florilege database."
WCACROPS	FAO WCA Crop	http://stats-class.fao.uniroma2.it/skosmos_demo/WCACrops/en/	The more granular crop classification used in the FAO WCA. Used in the 2010 round of agricultural censuses.
WHEAT_TAX	Wheat Taxa Gold Standard	http://ontology.irstea.fr/pmwiki.php/Site/AgronomicTaxon	Manually built by Catherine Roussey, inspired by https://fr.wikipedia.org/wiki/Taxonomiedublé. Each species proposed into the wheat species table have been validated with European Wheat data base http://genbank.vurv.cz/ewdb/. The taxon name and its ranking was firstly validated with the use of taxref reference table from INPN. NCBI's taxonomy have been used when not found in taxref. Then links to agrovoc's thesaurus, NAL and CABI Have been added. Links to ITIS database have been added, and also the links to DBpedia. Be warned : DBpedia contains two missing species :triticum zhukovsyi and triticum compactum erinaceum which are not in taxref. triticum zhukovsyi is in European Wheat data base. Links to TAXREF-LD have also been added.
WHEATPHENOTYPE	Wheat Trait and Phenotype Ontology		
XEO	XEML Environment Ontology	https://xeo.codeplex.com/	XeO has been created to help plant scientists in documenting and sharing metadata describing the abiotic environment.
