prefix	name	description
1184	ChEBI concept ID	An identifier of a concept from the ChEBI ontology.
1185	MGED concept ID	An identifier of a concept from the MGED ontology.
1186	myGrid concept ID	An identifier of a concept from the myGrid ontology.
1187	PubMed ID	PubMed unique identifier of an article.
1188	DOI	Digital Object Identifier (DOI) of a published article.
1189	Medline UI	Medline UI (unique identifier) of an article.
1794	Gene ID (PlasmoDB)	Identifier of a gene from PlasmoDB Plasmodium Genome Resource.
1795	Gene ID (EcoGene)	Identifier of a gene from EcoGene Database.
1796	Gene ID (FlyBase)	Gene identifier from FlyBase database.
1802	Gene ID (Gramene)	Gene identifier from Gramene database.
1803	Gene ID (Virginia microbial)	Gene identifier from Virginia Bioinformatics Institute microbial database.
1804	Gene ID (SGN)	Gene identifier from Sol Genomics Network.
1805	Gene ID (WormBase)	Gene identifier used by WormBase database.
1873	iHOP organism ID	A unique identifier for an organism used in the iHOP database.
1885	Gene ID (GeneFarm)	Identifier of a gene from the GeneFarm database.
1886	Blattner number	The blattner identifier for a gene.
1891	iHOP symbol	A unique identifier of a protein or gene used in the iHOP database.
1895	Locus ID (AGI)	Locus identifier for Arabidopsis Genome Initiative (TAIR, TIGR and MIPS databases)
1896	Locus ID (ASPGD)	Identifier for loci from ASPGD (Aspergillus Genome Database).
1897	Locus ID (MGG)	Identifier for loci from Magnaporthe grisea Database at the Broad Institute.
1898	Locus ID (CGD)	Identifier for loci from CGD (Candida Genome Database).
1899	Locus ID (CMR)	Locus identifier for Comprehensive Microbial Resource at the J. Craig Venter Institute.
1900	NCBI locus tag	Identifier for loci from NCBI database.
1901	Locus ID (SGD)	Identifier for loci from SGD (Saccharomyces Genome Database).
1902	Locus ID (MMP)	Identifier of loci from Maize Mapping Project.
1903	Locus ID (DictyBase)	Identifier of locus from DictyBase (Dictyostelium discoideum).
1904	Locus ID (EntrezGene)	Identifier of a locus from EntrezGene database.
1905	Locus ID (MaizeGDB)	Identifier of locus from MaizeGDB (Maize genome database).
1907	Gene ID (KOME)	Identifier of a gene from the KOME database.
1908	Locus ID (Tropgene)	Identifier of a locus from the Tropgene database.
2102	KEGG organism code	A three-letter code used in the KEGG databases to uniquely identify organisms.
2104	BioCyc ID	Identifier of an object from one of the BioCyc databases.
2105	Compound ID (BioCyc)	Identifier of a compound from the BioCyc chemical compounds database.
2106	Reaction ID (BioCyc)	Identifier of a biological reaction from the BioCyc reactions database.
2107	Enzyme ID (BioCyc)	Identifier of an enzyme from the BioCyc enzymes database.
2112	FlyBase primary	Primary identifier of an object from the FlyBase database.
2114	WormBase wormpep ID	Protein identifier used by WormBase database.
2174	FlyBase secondary	Secondary identifier of an object from the FlyBase database.
2209	Mutation ID	A unique identifier of a specific mutation catalogued in a database.
2220	Sequence cluster ID (SYSTERS)	Unique identifier of a sequence cluster from the SYSTERS database.
2285	Gene ID (MIPS)	Identifier for genetic elements in MIPS database.
2290	EMBL accession	An accession number of an entry from the EMBL sequence database.
2292	GenBank accession	Accession number of an entry from the GenBank sequence database.
2293	Gramene secondary	Secondary (internal) identifier of a Gramene database entry.
2297	Gene ID (ECK)	Identifier of an E. coli K-12 gene from EcoGene Database.
2298	Gene ID (HGNC)	Identifier for a gene approved by the HUGO Gene Nomenclature Committee.
2302	STRING ID	Unique identifier of an entry from the STRING database of protein-protein interactions.
2309	Reaction ID (SABIO-RK)	Identifier of a biological reaction from the SABIO-RK reactions database.
2314	GI number	A series of digits that are assigned consecutively to each sequence record processed by NCBI. The GI number bears no resemblance to the Accession number of the sequence record.
2315	NCBI version	An identifier assigned to sequence records processed by NCBI, made of the accession number of the database record followed by a dot and a version number.
2325	REBASE enzyme number	Identifier of an enzyme from the REBASE enzymes database.
2327	GI number (protein)	A unique identifier assigned to NCBI protein sequence records.
2344	Pathway ID (NCI-Nature)	Identifier of a pathway from the NCI-Nature pathway database.
2345	Pathway ID (ConsensusPathDB)	Identifier of a pathway from the ConsensusPathDB pathway database.
2346	Sequence cluster ID (UniRef)	Unique identifier of an entry from the UniRef database.
2347	Sequence cluster ID (UniRef100)	Unique identifier of an entry from the UniRef100 database.
2348	Sequence cluster ID (UniRef90)	Unique identifier of an entry from the UniRef90 database.
2349	Sequence cluster ID (UniRef50)	Unique identifier of an entry from the UniRef50 database.
2367	ASTD ID	Identifier of an object from the ASTD database.
2368	ASTD ID (exon)	Identifier of an exon from the ASTD database.
2369	ASTD ID (intron)	Identifier of an intron from the ASTD database.
2370	ASTD ID (polya)	Identifier of a polyA signal from the ASTD database.
2371	ASTD ID (tss)	Identifier of a transcription start site from the ASTD database.
2374	Spot serial number	Unique identifier of a spot from a two-dimensional (protein) gel in the SWISS-2DPAGE database.
2375	Spot ID (HSC-2DPAGE)	Unique identifier of a spot from a two-dimensional (protein) gel from a HSC-2DPAGE database.
2380	CABRI accession	A unique identifier of an item from the CABRI database.
2383	EGA accession	Identifier of an entry from the EGA database.
2384	IPI protein ID	Identifier of a protein entry catalogued in the International Protein Index (IPI) database.
2385	RefSeq accession (protein)	Accession number of a protein from the RefSeq database.
2386	EPD ID	Identifier of an entry (promoter) from the EPD database.
2387	TAIR accession	Identifier of an entry from the TAIR database.
2388	TAIR accession (At gene)	Identifier of an Arabidopsis thaliana gene from the TAIR database.
2389	UniSTS accession	Identifier of an entry from the UniSTS database.
2390	UNITE accession	Identifier of an entry from the UNITE database.
2391	UTR accession	Identifier of an entry from the UTR database.
2392	UniParc accession	Accession number of a UniParc (protein sequence) database entry.
2393	mFLJ/mKIAA number	Identifier of an entry from the Rouge or HUGE databases.
2398	Ensembl protein ID	Unique identifier for a protein from the Ensembl database.
2578	ArachnoServer ID	Unique identifier of a toxin from the ArachnoServer database.
2580	BindingDB Monomer ID	Unique identifier of a monomer from the BindingDB database.
2582	GO concept ID (biological process)	An identifier of a 'biological process' concept from the the Gene Ontology.
2583	GO concept ID (molecular function)	An identifier of a 'molecular function' concept from the the Gene Ontology.
2588	BlotBase blot ID	Unique identifier of a blot from a Northern Blot from the BlotBase database.
2591	Brite hierarchy ID	Identifier of an entry from the Brite database of biological hierarchies.
2593	BRENDA organism ID	A unique identifier for an organism used in the BRENDA database.
2605	Compound ID (KEGG)	Unique identifier of a chemical compound from the KEGG database.
2608	Reaction ID (KEGG)	Identifier of a biological reaction from the KEGG reactions database.
2610	Ensembl ID	Identifier of an entry (exon, gene, transcript or protein) from the Ensembl database.
2611	ICD	An identifier of a disease from the International Classification of Diseases (ICD) database.
2612	Sequence cluster ID (CluSTr)	Unique identifier of a sequence cluster from the CluSTr database.
2613	KEGG Glycan ID	Unique identifier of a glycan ligand from the KEGG GLYCAN database (a subset of KEGG LIGAND).
2614	TCDB ID	A unique identifier of a family from the transport classification database (TCDB) of membrane transport proteins.
2615	MINT ID	Unique identifier of an entry from the MINT database of protein-protein interactions.
2616	DIP ID	Unique identifier of an entry from the DIP database of protein-protein interactions.
2617	Signaling Gateway protein ID	Unique identifier of a protein listed in the UCSD-Nature Signaling Gateway Molecule Pages database.
2619	RESID ID	Identifier of a protein modification catalogued in the RESID database.
2620	RGD ID	Identifier of an entry from the RGD database.
2621	TAIR accession (protein)	Identifier of a protein sequence from the TAIR database.
2626	PeptideAtlas ID	Identifier of a peptide from the PeptideAtlas peptide databases.
2631	ACLAME ID	An identifier of a mobile genetic element from the Aclame database.
2632	SGD ID	Identifier of an entry from the Saccharomyces genome database (SGD).
2635	Compound ID (3DMET)	Identifier of a metabolite from the 3DMET database.
2636	MatrixDB interaction ID	A unique identifier of an interaction from the MatrixDB database.
2637	cPath ID	A unique identifier for pathways, reactions, complexes and small molecules from the cPath (Pathway Commons) database.
2638	PubChem bioassay ID	Identifier of an assay from the PubChem database.
2639	PubChem ID	Identifier of an entry from the PubChem database.
2641	Reaction ID (MACie)	Identifier of an enzyme reaction mechanism from the MACie database.
2643	Gene ID (ZFIN)	Identifier for a gene from the Zebrafish information network genome (ZFIN) database.
2645	Pathway ID (Unipathway)	Identifier of a biological pathway from the Unipathway database.
2646	Compound ID (ChEMBL)	Identifier of a small molecular from the ChEMBL database.
2647	LGICdb	Unique identifier of an entry from the Ligand-gated ion channel (LGICdb) database.
2648	Reaction kinetics ID (SABIO-RK)	Identifier of a biological reaction (kinetics entry) from the SABIO-RK reactions database.
2649	PharmGKB ID	Identifier of an entry from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).
2650	Pathway ID (PharmGKB)	Identifier of a pathway from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).
2651	Disease ID (PharmGKB)	Identifier of a disease from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).
2652	Drug ID (PharmGKB)	Identifier of a drug from the pharmacogenetics and pharmacogenomics knowledge base (PharmGKB).
2653	Drug ID (TTD)	Identifier of a drug from the Therapeutic Target Database (TTD).
2654	Target ID (TTD)	Identifier of a target protein from the Therapeutic Target Database (TTD).
2656	NeuronDB ID	A unique identifier of a neuron from the NeuronDB database.
2657	NeuroMorpho ID	A unique identifier of a neuron from the NeuroMorpho database.
2658	Compound ID (ChemIDplus)	Identifier of a chemical from the ChemIDplus database.
2659	Pathway ID (SMPDB)	Identifier of a pathway from the Small Molecule Pathway Database (SMPDB).
2660	BioNumbers ID	Identifier of an entry from the BioNumbers database of key numbers and associated data in molecular biology.
2662	T3DB ID	Unique identifier of a toxin from the Toxin and Toxin Target Database (T3DB) database.
2664	GlycomeDB ID	Identifier of an entry from the GlycomeDB database.
2665	LipidBank ID	Identifier of an entry from the LipidBank database.
2666	CDD ID	Identifier of a conserved domain from the Conserved Domain Database.
2667	MMDB ID	An identifier of an entry from the MMDB database.
2668	iRefIndex ID	Unique identifier of an entry from the iRefIndex database of protein-protein interactions.
2669	ModelDB ID	Unique identifier of an entry from the ModelDB database.
2670	Pathway ID (DQCS)	Identifier of a signaling pathway from the Database of Quantitative Cellular Signaling (DQCS).
2700	CATH	Identifier of a protein domain (or other node) from the CATH database.
2701	CATH node ID (family)	A code number identifying a family from the CATH database.
2702	Enzyme ID (CAZy)	Identifier of an enzyme from the CAZy enzymes database.
2704	Clone ID (IMAGE)	A unique identifier assigned by the I.M.A.G.E. consortium to a clone (cloned molecular sequence).
2705	GO concept ID (cellular component)	An identifier of a 'cellular component' concept from the Gene Ontology.
2709	CleanEx entry name	An identifier of a gene expression profile from the CleanEx database.
2713	Protein ID (CORUM)	Unique identifier for a protein complex from the CORUM database.
2714	CDD PSSM-ID	Unique identifier of a position-specific scoring matrix from the CDD database.
2715	Protein ID (CuticleDB)	Unique identifier for a protein from the CuticleDB database.
2716	DBD ID	Identifier of a predicted transcription factor from the DBD database.
2719	dbProbe ID	Identifier of an oligonucleotide probe from the dbProbe database.
2721	DiProDB ID	Identifier of an dinucleotide property from the DiProDB database.
2723	Protein ID (DisProt)	Unique identifier for a protein from the DisProt database.
2725	Ensembl transcript ID	Unique identifier for a gene transcript from the Ensembl database.
2729	COGEME EST ID	Identifier of an EST sequence from the COGEME database.
2730	COGEME unisequence ID	Identifier of a unisequence from the COGEME database.
2731	Protein family ID (GeneFarm)	Accession number of an entry (family) from the TIGRFam database.
2736	Sequence feature ID (SwissRegulon)	A feature identifier as used in the SwissRegulon database.
2737	FIG ID	A unique identifier of gene in the NMPDR database.
2738	Gene ID (Xenbase)	A unique identifier of gene in the Xenbase database.
2739	Gene ID (Genolist)	A unique identifier of gene in the Genolist database.
2741	ABS ID	Identifier of an entry (promoter) from the ABS database.
2742	AraC-XylS ID	Identifier of a transcription factor from the AraC-XylS database.
2744	Locus ID (PseudoCAP)	Identifier of a locus from the PseudoCAP database.
2745	Locus ID (UTR)	Identifier of a locus from the UTR database.
2746	MonosaccharideDB ID	Unique identifier of a monosaccharide from the MonosaccharideDB database.
2751	GenomeReviews ID	An identifier of a particular genome.
2752	GlycoMap ID	Identifier of an entry from the GlycosciencesDB database.
2756	TCID	Identifier of a membrane transport proteins from the transport classification database (TCDB).
2758	Pfam clan ID	Accession number of a Pfam clan.
2759	Gene ID (VectorBase)	Identifier for a gene from the VectorBase database.
2766	HAMAP ID	Name of a protein family from the HAMAP database.
2770	HIT ID	Identifier of an RNA transcript from the H-InvDB database.
2771	HIX ID	A unique identifier of gene cluster in the H-InvDB database.
2772	HPA antibody id	Identifier of a antibody from the HPA database.
2773	IMGT/HLA ID	Identifier of a human major histocompatibility complex (HLA) or other protein from the IMGT/HLA database.
2774	Gene ID (JCVI)	A unique identifier of gene assigned by the J. Craig Venter Institute (JCVI).
2776	ConsensusPathDB entity ID	Identifier of a physical entity from the ConsensusPathDB database.
2778	CCAP strain number	The number of a strain of algae and protozoa from the CCAP database.
2780	Stock number (TAIR)	A stock number from The Arabidopsis information resource (TAIR).
2781	REDIdb ID	Identifier of an entry from the RNA editing database (REDIdb).
2783	Protein family ID (PANTHER)	Accession number of an entry (family) from the PANTHER database.
2784	RNAVirusDB ID	A unique identifier for a virus from the RNAVirusDB database.
2786	NCBI Genome Project ID	An identifier of a genome project assigned by NCBI.
2787	NCBI genome accession	A unique identifier of a whole genome assigned by the NCBI.
2789	Protein ID (TopDB)	Unique identifier for a membrane protein from the TopDB database.
2792	Protein ID (PeroxiBase)	Unique identifier for a peroxidase protein from the PeroxiBase database.
2793	SISYPHUS ID	Identifier of an entry from the SISYPHUS database of tertiary structure alignments.
2794	ORF ID	Accession of an open reading frame (catalogued in a database).
2796	Linucs ID	Identifier of an entry from the GlycosciencesDB database.
2797	Protein ID (LGICdb)	Unique identifier for a ligand-gated ion channel protein from the LGICdb database.
2798	MaizeDB ID	Identifier of an EST sequence from the MaizeDB database.
2799	Gene ID (MfunGD)	A unique identifier of gene in the MfunGD database.
2800	Orpha number	An identifier of a disease from the Orpha database.
2802	Protein ID (EcID)	Unique identifier for a protein from the EcID database.
2803	Clone ID (RefSeq)	A unique identifier of a cDNA molecule catalogued in the RefSeq database.
2804	Protein ID (ConoServer)	Unique identifier for a cone snail toxin protein from the ConoServer database.
2805	GeneSNP ID	Identifier of a GeneSNP database entry.
2835	Gene ID (VBASE2)	Identifier for a gene from the VBASE2 database.
2836	DPVweb ID	A unique identifier for a virus from the DPVweb database.
2837	Pathway ID (BioSystems)	Identifier of a pathway from the BioSystems pathway database.
2915	Gramene	Identifier of a Gramene database entry.
2916	DDBJ accession	An identifier of an entry from the DDBJ sequence database.
3021	UniProt accession	Accession number of a UniProt (protein sequence) database entry.
3022	NCBI genetic code ID	Identifier of a genetic code in the NCBI list of genetic codes.
3029	Protein ID (EMBL/GenBank/DDBJ)	EMBL/GENBANK/DDBJ coding feature protein identifier, issued by International collaborators.
3103	ATC code	Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).
3238	Cell type ontology ID	Cell type ontology concept ID.
3264	COSMIC ID	Identifier of a COSMIC database entry.
3265	HGMD ID	Identifier of a HGMD database entry.
3270	Ensembl gene tree ID	Unique identifier for a gene tree from the Ensembl database.
3274	MGI accession	Identifier of an object from the MGI database.
3757	Unimod ID	Identifier of a protein modification catalogued in the Unimod database.
3769	BRENDA ontology concept ID	An identifier of a concept from the BRENDA ontology.
3856	RNA central ID	Identifier of an entry from the RNA central database of annotated human miRNAs.
3952	Pathway ID (WikiPathways)	Identifier of a pathway from the WikiPathways pathway database.
