identifier	name	description	resources	contributor_names	contributor_orcids	maintainer_names	maintainer_orcids
0000020	KonsortSWD	[KonsortSWD (Strengthen, Widen, Deepen)](https://www.nfdi.de/consortia-konsortswd) is the German National Data Infrastructure (NFDI) consortium for social, educational, behavioral, and economic sciences. This collection reflects the prefixes collected by NFDI Section Metadata for ontologies and controlled vocabularies used by members of the consortium.	cessda|cessda.cdcpublishernames|cessda.cessdadatacataloguecollections|cessda.cessdapersistentidentifiertypes|cessda.countrynamesandcodes|cessda.topicclassification|ddi.aggregationmethod|ddi.analysisunit|ddi.characterset|ddi.commonalitytype|ddi.contributorrole|ddi.datasourcetype|ddi.datatype|ddi.datetype|ddi.generaldataformat|ddi.languageproficiency|ddi.lifecycleeventtype|ddi.modeofcollection|ddi.numerictype|ddi.responseunit|ddi.samplingprocedure|ddi.softwarepackage|ddi.summarystatistictype|ddi.timemethod|ddi.timezone|ddi.typeofaddress|ddi.typeofconceptgroup|ddi.typeoffrequency|ddi.typeofinstrument|ddi.typeofnote|ddi.typeoftelephone|ddi.typeoftranslationmethod|gesis.kategorienschemawahlstudien|gesis.rexconcepts|gesis.rexdatatype|gesis.rexgroups|gesis.variables-relations	Charles Tapley Hoyt	0000-0003-4423-4370	Noemi Betancort	0000-0002-0156-3556
0000021	NFDI4Energy Collection	Prefixes for ontologies relevant for the NFDI4Energy	bonsai|brick|cim|digitalconstruction.energy|docbias|dogont|energymarketroles|meno|oeo|openadr|saref.ener|saref.grid|sargon|tib.re|udsaes.fmi|udsaes.sms|zbw.stw	Charles Tapley Hoyt	0000-0003-4423-4370	Amanda Wein	0009-0009-2960-3474
0000022	NFDI4Ing Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Ing Consortium seeded from corresponding the [TIB OLS collection](https://service.tib.eu/terminology/collections/nfdi4ing). The [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/) is in the process of identifying NFDI4Ing Consortium members appropriate for maintaining this collection.	afo|atomistic|battinfo|bfo|bonsai|bot|brick|building|cc|commoncoreontology|condo|cora|credit|dcterms|dfg.fo|digitalconstruction.energy|digitalconstruction.lifecycle|digitalconstruction.occupancy|dogont|dpvocab|duo|edam|emmo|fabio|fair|fidbaudigital.subject|fiesta.iot|findex.bau|findex.raum|ftonto|geosparql|gist|iao|idsa|iirds.core|iirds.mch|iirds.sft|infosecsos|iofcore|kdsf.ffk|kit.mtxx|kpio|listdb.onto|m4i|mathmoddb|mobivoc|modsci|oeo|okn.sd|om|panet|physh|pmdco|polymat|pror|prov|rosetta|saref|saref.auto|saref.building|saref.ehaw|saref.ener|saref.environment|saref.industry|saref.lift|saref.system|saref.water|saref.wearable|sepio|sh|si|sio|sosa|ssn|ssn.system|sweet|swo|t4fs|tib.bk|tib.bo|tib.dot|tib.dr|tib.gpo|tib.hpont|tib.ifc|tib.io|tib.ioc|tib.lis|tib.mat|tib.mdo|tib.mdv|tib.mt|tib.n0|tib.ofm|tib.sto|tib.tso|tribain|uat|uo|vssocore|woc.ontology|wot.td				
0000023	DataPLANT Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the DataPLANT Consortium seeded from corresponding the [TIB OLS collection](https://service.tib.eu/terminology/collections/dataplant). The [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/) is in the process of identifying DataPLANT Consortium members appropriate for maintaining this collection.	agro|bao|bco|bfo|bioportal.bof|bioportal.geospecies|bto|chebi|chmo|cob|dpbo|edam|efo|envo|eo|flopo|gaz|go|mmo|mod|ms|msio|ncbitaxon|ncit|obi|omp|pato|pco|peco|po|ppeo|ppo|pso|ro|stato|swo|to|uo			Kathryn Dumschott|Angela Kranz|Hannah Dörpholz	0000-0002-9905-4011|0000-0002-8000-0400|0000-0002-0476-9699
0000024	FAIRmat Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the FAIRmat Consortium seeded from corresponding the [TIB OLS collection](https://service.tib.eu/terminology/collections/fairmat). The [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/) is in the process of identifying FAIRmat Consortium members appropriate for maintaining this collection.	bfo|nexus|tfsco|voc4cat				
0000025	NFDI4Culture Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Culture Consortium seeded from corresponding the [TIB OLS collection](https://service.tib.eu/terminology/collections/nfdi4culture). The [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/) is in the process of identifying NFDI4Culture Consortium members appropriate for maintaining this collection.	bfo|cidoc.crm|dbo|dcat|dcterms|doap|fabio|foaf|frapo|geonames|gnd|iao|iconclass|lido|modsci|nfdi4culture.cto|obi|okn.sd|org|schema|skos|swo|vcard|viaf|vivo|wikidata	Charles Tapley Hoyt|Etienne Posthumus	0000-0003-4423-4370|0000-0002-0006-7542	Tabea Tietz	0000-0002-1648-1684
0000026	DAPHNE4NFDI Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the DAPHNE4NFDI Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying DAPHNE4NFDI Consortium members appropriate for maintaining this collection.	emg				
0000027	MaRDI Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the MaRDI Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying MaRDI Consortium members appropriate for maintaining this collection.	amv|codemeta|mathalgodb|mathmoddb|msc|physh|qudt|tib.bk			 Björn Schembera	0000-0003-2860-6621
0000028	BERD@NFDI Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the BERD@NFDI Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying BERD@NFDI Consortium members appropriate for maintaining this collection.	jel|zbw.stw				
0000029	NFDI4DataScience Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4DataScience Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4DataScience Consortium members appropriate for maintaining this collection.	nfdi.core|schema				
0000030	NFDI4Earth Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Earth Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Earth Consortium members appropriate for maintaining this collection.	bco|chebi|dcat|dcterms|envo|flopo|foaf|gaz|geonames|geosparql|legacy.ao|ncbitaxon|oboe|pato|po|prov|schema|skos|sosa|ssn|sweet|t4fs|tdwg.abcd|to|vcard|wlmo				
0000031	NFDI-MatWerk Collection	A collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI-MatWerk Consortium created in cooperation with the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/).	bfo|chebi|mwo|nfdi.core|pmdco|prima			Ebrahim Nourouzi|Heike Fliegl	0000-0002-2691-6995|0000-0002-7541-115X
0000032	PUNCH4NFDI Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the PUNCH4NFDI Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying PUNCH4NFDI Consortium members appropriate for maintaining this collection.	bioregistry				
0000033	FAIRagro Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the FAIRagro Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying FAIRagro Consortium members appropriate for maintaining this collection.	bco|chebi|dcat|dcterms|envo|flopo|foaf|gaz|geonames|legacy.ao|ncbitaxon|oboe|pato|po|prov|schema|skos|sosa|ssn|sweet|tdwg.abcd|to|wlmo				
0000034	NFDI4BIOIMAGE Collection	A collection of ontologies, controlled vocabularies, database, and schemas relevant for NFDI4BIOIMAGE	bioregistry|chebi|cl|clo|cmpo|dicom|doid|edam|efo|fbbi|go|mesh|mondo|mp|mpath|ncbitaxon|obi|radlex|snomedct|swo|uberon|uo	Charles Tapley Hoyt	0000-0003-4423-4370	Damien Goutte-Gattat	0000-0002-6095-8718
0000035	NFDIxCS Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDIxCS Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDIxCS Consortium members appropriate for maintaining this collection.	bioregistry				
0000036	NFDI4Objects Collection	"A collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Objects Consortium imported from the consortium's official BARTOC record [https://bartoc.org/en/node/18961](https://bartoc.org/en/node/18961).

Note: this collection is a subset of the BARTOC collection until all ontologies and controlled vocabularies in the BARTOC collection are also curated in the Semantic Farm."	amh.material|bibo|bioregistry|cidoc.crm|dai.thesauri|datacite.contributor|datacite.date|datacite.description|datacite.identifier|datacite.name|datacite.relation|datacite.resource|fish.aoe|fish.as|fish.bm|fish.event|fish.mc|fish.mt|geonames|geosparql|getty.att|getty.tgn|getty.ulan|gnd|hessische.systematik|iconclass|kenom.material|lado|lido.actor|lido.event|lido.identifier|lido.recordmetadatadate|lido.recordtype|lido.repositoryset|lido.resourcerepresentation|lido.termmaterialstech|lv|oeai.ctp|oeai.material|orcid|ror|skos|time|unesco.thesaurus|viaf|whg|wikidata			Jakob Voß|Anja Gerber|Florian Thiery|Kristina Fischer	0000-0002-7613-4123|0000-0003-2576-1511|0000-0002-3246-3531|0009-0005-3991-1025
0000037	NFDI4Memory Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Memory Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Memory Consortium members appropriate for maintaining this collection.	cidoc.crm|edm|factgrid|geonames|getty.att|getty.cona|getty.ia|getty.tgn|getty.ulan|gnd|gov.object|hisco|iconclass|kldb|lido|nfdi.core|nfdi4culture.cto|ohdab|ontome|tadirah|wikidata			Tabea Tietz	0000-0002-1648-1684
0000038	Text+ Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the Text+ Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying Text+ Consortium members appropriate for maintaining this collection.	bibframe|cessda.topicclassification|cidoc.crm|geonames|getty.att|getty.cona|getty.ia|getty.tgn|getty.ulan|gnd|iconclass|lido|ontolex|ontome				
0000039	GHGA Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the GHGA Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying GHGA Consortium members appropriate for maintaining this collection.	bioregistry				
0000040	NFDI4Biodiversity Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Biodiversity Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Biodiversity Consortium members appropriate for maintaining this collection.	abcd|ahol|aism|apto|atol|bco|bfo|biodivthes|bohlmann|bspo|caro|chebi|cl|cob|codata.rdmt|colao|dcat|dfg.fo|eco|edam|envo|envthes|eol|flopo|geonames|gfbio.biobank|gfbio.biol|gfbio.botany|gfbio.ets|gfbio.iho|gfbio.kingdom|gfbio.top|iadopt|inbio|iso.3166|itis|lepao|lpt|ncbitaxon|nfdi.core|oba|oboe|odm2.methodtype|odm2.specimentype|oim|om|pato|pco|po|prov|qudt|ro|schema|sosa|sumso|sweet|swo|taxonconcept|taxrank|tib.bk|to|uberon|unesco.thesaurus|vbo|vt			Naouel Karam|Ralph Schäfermeier	0000-0002-6762-6417|0000-0002-4349-6726
0000041	NFDI4Health Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Health Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Health Consortium members appropriate for maintaining this collection.	bioregistry			Matthias Löbe	0000-0002-2344-0426
0000042	NFDI4Microbiota Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Microbiota Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Microbiota Consortium members appropriate for maintaining this collection.	bioregistry				
0000043	NFDI4Immuno Collection	A placeholder collection of ontologies, controlled vocabularies, and schemas relevant for the NFDI4Immuno Consortium created by the [NFDI Section Metadata WG Ontology Harmonization and Mapping](https://github.com/nfdi-de/section-metadata-wg-onto/). The working group is in the process of identifying NFDI4Immuno Consortium members appropriate for maintaining this collection.	bioregistry			Ulrik Stervbo|Sebastian Böhm	0000-0002-2831-8868|0009-0006-4599-6309
